model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location
602122 St Madoes LP,W:\Scotland Networks_471\North_471\602122 St Madoes LP\FY1\602122 - St Madoes - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602122 St Madoes LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,27.22,6.02122E+13
602123 Kilconquhar LP,W:\Scotland Networks_471\North_471\602123 Kilconquhar LP\FY-1\602123_KILCONQUHAR_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\602123 Kilconquhar LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,45.67,6.02123E+13
606003 Aberdeen LP,W:\Scotland Networks_471\North_471\606003 Aberdeen LP\FY1\606003 - Aberdeen - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606003 Aberdeen LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.65,6.06003E+13
606004 Inverness LP,W:\Scotland Networks_471\North_471\606004 Inverness LP\FY1\606004_INVERNESS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606004 Inverness LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.13,6.06004E+13
606006 Forres LP,W:\Scotland Networks_471\North_471\606006 Forres LP\FY1\606006 - Forres - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606006 Forres LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.43,6.06006E+13
606007 Elgin LP,W:\Scotland Networks_471\North_471\606007 Elgin LP\FY1\606007- Elgin - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606007 Elgin LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.07,6.06007E+13
606008 Peterhead LP,W:\Scotland Networks_471\North_471\606008 Peterhead LP\FY-1\606008_PETERHEAD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606008 Peterhead LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.23,6.06008E+13
606009 Stonehaven LP,W:\Scotland Networks_471\North_471\606009 Stonehaven LP\FY-1\606009 - Stonehaven - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606009 Stonehaven LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.89,6.06009E+13
606010 Nairn LP,W:\Scotland Networks_471\North_471\606010 Nairn LP\FY-1\606010NAIRN-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606010 Nairn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.23,6.0601E+13
606011 Fraserburgh LP,W:\Scotland Networks_471\North_471\606011 Fraserburgh LP\FY1\606011_FRASERBURGH_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606011 Fraserburgh LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.95,6.06011E+13
606012 Huntly LP,W:\Scotland Networks_471\North_471\606012 Huntly LP\FY1\606012_Huntly_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606012 Huntly LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.15,6.06012E+13
606013 Banff LP,W:\Scotland Networks_471\North_471\606013 Banff LP\FY1\606013 - BANFF - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606013 Banff LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.25,6.06013E+13
606015 MacDuff LP,W:\Scotland Networks_471\North_471\606015 MacDuff LP\FY1\606015_Macduff_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606015 MacDuff LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.87,6.06015E+13
606016 Keith LP,W:\Scotland Networks_471\North_471\606016 Keith LP\FY-1\606016KEITH-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606016 Keith LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,16.09,6.06016E+13
606017 Turriff LP,W:\Scotland Networks_471\North_471\606017 Turriff LP\FY-1\606017TURRIFF-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606017 Turriff LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.39,6.06017E+13
606018 Banchory LP,W:\Scotland Networks_471\North_471\606018 Banchory LP\FY1\606018 - Banchory - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606018 Banchory LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.01,6.06018E+13
606019 Dingwall LP,W:\Scotland Networks_471\North_471\606019 Dingwall LP\FY-1\606019_Dingwall_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606019 Dingwall LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,18.55,6.06019E+13
606020 Inverurie LP,W:\Scotland Networks_471\North_471\606020 Inverurie LP\FY1\606020 - Inverurie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606020 Inverurie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.09,6.0602E+13
606021 Laurencekirk LP,W:\Scotland Networks_471\North_471\606021 Laurencekirk LP\FY-1\606021LAURENCEKIRK_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606021 Laurencekirk LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.58,6.06021E+13
606022 Portknockie LP,W:\Scotland Networks_471\North_471\606022 Portknockie LP\FY1\606022 - Portknockie - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606022 Portknockie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.1,6.06022E+13
606024 Whitehills LP,W:\Scotland Networks_471\North_471\606024 Whitehills LP\FY1\606024 - WHITEHILLS - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606024 Whitehills LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,34.41,6.06024E+13
606025 Findochty LP,W:\Scotland Networks_471\North_471\606025 Findochty LP\FY1\606025 - Findochty - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606025 Findochty LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.27,6.06025E+13
606026 Cullen LP,W:\Scotland Networks_471\North_471\606026 Cullen LP\FY1\606026_CULLEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606026 Cullen LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.17,6.06026E+13
606028 Old Meldrum LP,W:\Scotland Networks_471\North_471\606028 Old Meldrum LP\FY-1\606028OLD_MELDRUM-YR1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606028 Old Meldrum LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.52,6.06028E+13
606029 Newtonhill LP,W:\Scotland Networks_471\North_471\606029 Newtonhill LP\FY-1\606029 - Newtonhill - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606029 Newtonhill LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.69,6.06029E+13
606030 Portlethen LP,W:\Scotland Networks_471\North_471\606030 Portlethen LP\FY1\606030 - Portlethen - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606030 Portlethen LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.91,6.0603E+13
606031 Ellon LP,W:\Scotland Networks_471\North_471\606031 Ellon LP\FY-1\606031_Ellon_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606031 Ellon LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.69,6.06031E+13
606032 Bridge Of Don LP,W:\Scotland Networks_471\North_471\606032 Bridge Of Don LP\FY1\606032_Bridge of Don_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606032 Bridge Of Don LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.56,6.06032E+13
606033 Westhill LP,W:\Scotland Networks_471\North_471\606033 Westhill LP\FY1\606033 - Westhill - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606033 Westhill LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.45,6.06033E+13
606034 Lossiemouth LP,W:\Scotland Networks_471\North_471\606034 Lossiemouth LP\FY-1\606034 Lossiemouth - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606034 Lossiemouth LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.77,6.06034E+13
606035 Cruden Bay LP,W:\Scotland Networks_471\North_471\606035 Cruden Bay LP\FY-1\606035 - Cruden Bay - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606035 Cruden Bay LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.91,6.06035E+13
606036 Newburgh (North) LP,W:\Scotland Networks_471\North_471\606036 Newburgh (North) LP\FY1\606036 - NEWBURGH - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606036 Newburgh (North) LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.47,6.06036E+13
606037 Peterculter - Cults LP,W:\Scotland Networks_471\North_471\606037 Peterculter - Cults LP\FY-1\606037 Peterculter-Cults - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606037 Peterculter - Cults LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,16.86,6.06037E+13
606038 Fochabers LP,W:\Scotland Networks_471\North_471\606038 Fochabers LP\FY-1\606038-FOCHABER-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606038 Fochabers LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.44,6.06038E+13
606039 Mosstodloch LP,W:\Scotland Networks_471\North_471\606039 Mosstodloch LP\FY1\606039MOSSTODLOCH-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606039 Mosstodloch LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.05,6.06039E+13
606040 Lhanbryde LP,W:\Scotland Networks_471\North_471\606040 Lhanbryde LP\FY-1\606040LHANBRYDE-YR1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606040 Lhanbryde LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.3,6.0604E+13
606041 Cove Bay LP,W:\Scotland Networks_471\North_471\606041 Cove Bay LP\FY1\606041 - Cove Bay - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606041 Cove Bay LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.57,6.06041E+13
606042 Dyce LP,W:\Scotland Networks_471\North_471\606042 Dyce LP\FY1\606042 - Dyce - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606042 Dyce LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.51,6.06042E+13
606043 Culloden LP,W:\Scotland Networks_471\North_471\606043 Culloden LP\FY-1\606043 - Culloden - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606043 Culloden LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.43,6.06043E+13
606044 Balmedie LP,W:\Scotland Networks_471\North_471\606044 Balmedie LP\FY1\606044_BALMEDIE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606044 Balmedie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,16.07,6.06044E+13
606045 Boddam LP,W:\Scotland Networks_471\North_471\606045 Boddam LP\FY1\606045 - Boddam - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606045 Boddam LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,41.24,6.06045E+13
606046 Rothes LP,W:\Scotland Networks_471\North_471\606046 Rothes LP\FY1\606046 - ROTHES - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606046 Rothes LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,36.42,6.06046E+13
606047 Kintore LP,W:\Scotland Networks_471\North_471\606047 Kintore LP\FY1\606047-KINTORE-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606047 Kintore LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.8,6.06047E+13
606048 Kingswells LP,W:\Scotland Networks_471\North_471\606048 Kingswells LP\FY1\606048 - Kingswells - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606048 Kingswells LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.69,6.06048E+13
606049 Aberlour LP,W:\Scotland Networks_471\North_471\606049 Aberlour LP\FY-1\606049ABERLOUR-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606049 Aberlour LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,43.24,6.06049E+13
606050 Craigellachie LP,W:\Scotland Networks_471\North_471\606050 Craigellachie LP\FY-1\606050 - CRAIGELLACHIE - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606050 Craigellachie LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,32.78,6.0605E+13
606051 Dufftown LP,W:\Scotland Networks_471\North_471\606051 Dufftown LP\FY-1\606051 - Dufftown - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606051 Dufftown LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.74,6.06051E+13
606052 Auldearn LP,W:\Scotland Networks_471\North_471\606052 Auldearn LP\FY1\606052 - AULDEARN - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606052 Auldearn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.88,6.06052E+13
606053 Newmill LP,W:\Scotland Networks_471\North_471\606053 Newmill LP\FY-1\606053 - Newmill - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606053 Newmill LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.07,6.06053E+13
606054 Blackburn LP,W:\Scotland Networks_471\North_471\606054 Blackburn LP\FY1\606054_BLACKBURN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606054 Blackburn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23,6.06054E+13
606055 Potterton LP,W:\Scotland Networks_471\North_471\606055 Potterton LP\FY-1\606055POTTERTON-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606055 Potterton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,30.42,6.06055E+13
606056 Mintlaw LP,W:\Scotland Networks_471\North_471\606056 Mintlaw LP\FY-1\606056MINTLAW-YR1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606056 Mintlaw LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.23,6.06056E+13
606057 Kinloss LP,W:\Scotland Networks_471\North_471\606057 Kinloss LP\FY-1\606057 - Kinloss - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606057 Kinloss LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,35.99,6.06057E+13
606058 Netherly LP,W:\Scotland Networks_471\North_471\606058 Netherly LP\FY-1\606058_NETHERLEY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606058 Netherly LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,36.88,6.06058E+13
606059 Cammachmore LP,W:\Scotland Networks_471\North_471\606059 Cammachmore LP\FY-1\606059 - Cammachmore - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606059 Cammachmore LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,38.42,6.06059E+13
606060 Balloch LP,W:\Scotland Networks_471\North_471\606060 Balloch LP\FY-1\606060 - Balloch - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606060 Balloch LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,31.98,6.0606E+13
606061 Portsoy LP,W:\Scotland Networks_471\North_471\606061 Portsoy LP\FY-1\606061PORTSOY-YR1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606061 Portsoy LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,44.59,6.06061E+13
606062 Inverallochy LP,W:\Scotland Networks_471\North_471\606062 Inverallochy LP\FY-1\606062_INVERALLOCHY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606062 Inverallochy LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,17.48,6.06062E+13
606063 St Combs LP,W:\Scotland Networks_471\North_471\606063 St Combs LP\FY-1\606063ST__COMBS-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606063 St Combs LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,40.4,6.06063E+13
606064 St Fergus LP,W:\Scotland Networks_471\North_471\606064 St Fergus LP\FY-1\606064 - ST FERGUS - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606064 St Fergus LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,31.23,6.06064E+13
606065 Crimond LP,W:\Scotland Networks_471\North_471\606065 Crimond LP\FY1\606065 - Crimond - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606065 Crimond LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,46.38,6.06065E+13
606066 Smithton LP,W:\Scotland Networks_471\North_471\606066 Smithton LP\FY-1\606066SMITHTON-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\606066 Smithton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,26.08,6.06066E+13
