",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,643065 East Craigs LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643065 East Craigs LP\FY-1\643065EASTCRAIGS-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643065 East Craigs LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2917,64300588800044"
" ,643066 Longridge LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643066 Longridge LP\FY-1\643066 - Longridge - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643066 Longridge LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3027,64306600000078"
" ,643067 Newton Stewart LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643067 Newton Stewart LP\FY1\643067_NEWTON_STEWART_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643067 Newton Stewart LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.8233,64306700000085"
" ,643070 Direlton LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643070 Direlton LP\FY-1\643070DIRLETON-FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\643070 Direlton LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5457,64307000000031"
" ,643071 Pencaitland LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643071 Pencaitland LP\FY-1\643071 - Pencaitland - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643071 Pencaitland LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,38.2433,64307100000067"
" ,643072 Whitecraig LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643072 Whitecraig LP\FY1\643072 - WHITECRAIG - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643072 Whitecraig LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,38.0575,64307200000038"
" ,643073 Clovenfords LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643073 Clovenfords LP\FY-1\643073 - Clovenfords - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643073 Clovenfords LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,46.1615,64307300000015"
" ,643074 Twynholm LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643074 Twynholm LP\FY-1\643074 - TWYNHOLM - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643074 Twynholm LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,61.3561,64307400000016"
" ,643075 Lochfoot LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643075 Lochfoot LP\FY-1\643075 - Lochfoot - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643075 Lochfoot LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,28.3186,64307500000011"
" ,643076 Haugh Of Urr LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643076 Haugh Of Urr LP\FY-1\643076 - Haugh of Urr - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643076 Haugh Of Urr LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,49.1024,64307600000019"
