"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60606510000012","Nodes","10000012","21.000000","58.230688","DDS demands","Known Flow","405174.313407","856640.788309","","0.000000","","-40.200001","-7.840000","","","","-42.958231","-48.040000","","","","C2 PROFILE","D1 PROFILE","","",""
"60606500008003","Nodes","8003","21.000000","60.297404","Default Known Flow Node","Known Flow","405006.302362","856773.397345","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500116120","Nodes","116120","21.000000","50.651217","DDS demands","Known Flow","405356.403457","856825.892360","","0.000000","-3.849999","","","","","","-3.442738","-3.849999","","","C1 PROFILE","","","","",""
"60606500116119","Nodes","116119","21.000000","64.543401","DDS demands","Known Flow","405157.236403","856830.828361","","0.000000","","","-2.779999","","","","-2.485925","-2.779999","","","","","D1 PROFILE","","",""
"60606500116118","Nodes","116118","21.000000","64.584226","Default Known Flow Node","Known Flow","405152.548402","856813.736356","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500008024","Nodes","8024","21.000000","52.988102","Default Known Flow Node","Known Flow","405285.543438","856598.690298","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500008045","Nodes","8045","21.000000","50.640614","DDS demands","Known Flow","405364.010459","856848.208366","","0.000000","","","-2.349999","","","","-2.101411","-2.349999","","","","","D1 PROFILE","","",""
"60606503704604","Nodes","3704604","21.000000","48.179209","Default Known Flow Node","Known Flow","405487.935493","856711.663329","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606503704603","Nodes","3704603","21.000000","48.510402","Default Known Flow Node","Known Flow","405484.697752","856713.503401","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500008015","Nodes","8015","21.000000","58.303905","Default Known Flow Node","Known Flow","404914.408337","856803.867354","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606500008030","Nodes","8030","21.000000","57.795005","Default Known Flow Node","Known Flow","405098.431387","856661.894315","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60606510000001","Nodes","Crimond DG, Logger 1242","21.000000","69.999999","Default Known Pressure Node","Known Pressure","405139.882398","856871.240372","","999998.967025","","","","","","","399.178866","446.400004","","","","","","","",""
"60606502990696","Nodes","2990696","21.000000","66.817285","DDS demands","Known Flow","405018.486365","856923.651386","","0.000000","","","-0.270000","","-5.469999","","-12.036172","-13.459999","","","","","D1 PROFILE","","DM PROFILE",""
