"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60206300000148","Nodes","148","21.000000","30.096276","DDS demands","Known Flow","313284.832149","717759.019152","","0.000000","","","","","","","-10.100000","","","-9.031600","-10.100000","","","","","","","","","D1 PROFILE","",""
"60206300000151","Nodes","151","21.000000","30.081695","DDS demands","Known Flow","313293.544406","717830.187538","","0.000000","","","","","","","-11.979999","","","-10.712730","-11.979999","","","","","","","","","D1 PROFILE","",""
"60206300002395","Nodes","-84","21.000000","30.002020","Default Known Flow Node","Known Flow","313283.411403","717851.785544","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000147","Nodes","147","21.000000","30.184815","Default Known Flow Node","Known Flow","313313.428411","717803.365530","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000146","Nodes","146","21.000000","30.360196","Default Known Flow Node","Known Flow","313358.025423","717822.526536","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002394","Nodes","-79","21.000000","29.365861","Default Known Flow Node","Known Flow","313371.100999","717763.726357","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000055","Nodes","55","21.000000","31.459416","DDS demands","Known Flow","313353.424422","717881.791552","","0.000000","","","","","","","-3.859999","","","-3.451680","-3.859999","","","","","","","","","D1 PROFILE","",""
"60206300000167","Nodes","167","21.000000","31.439813","Default Known Flow Node","Known Flow","313358.477423","717882.845552","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000036","Nodes","36","21.000000","31.082264","DDS demands","Known Flow","313365.600425","717881.916552","","0.000000","","","","","","","-3.390000","","","-3.031398","-3.390000","","","","","","","","","D1 PROFILE","",""
"60206300000166","Nodes","166","21.000000","29.746163","DDS demands","Known Flow","313385.714431","717918.239562","","0.000000","","","","","","","-3.790000","","","-3.389085","-3.790000","","","","","","","","","D1 PROFILE","",""
"60206300000100","Nodes","100","21.000000","27.222850","DDS demands","Known Flow","313403.489436","717638.044485","","0.000000","","","","","","","-1.970000","","","-1.761609","-1.970000","","","","","","","","","D1 PROFILE","",""
"60206300002375","Nodes","-40","21.000000","26.076090","Default Known Flow Node","Known Flow","313426.921725","717542.772523","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000168","Nodes","168","21.000000","29.535601","DDS demands","Known Flow","313452.995449","717870.312549","","0.000000","","","","","","","-16.569999","","","-14.817190","-16.569999","","","","","","","","","D1 PROFILE","",""
"60206300002350","Nodes","-1462504","21.000000","23.955268","Default Known Flow Node","Known Flow","313218.504312","717606.117950","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000152","Nodes","152","21.000000","29.366286","DDS demands","Known Flow","313217.433385","717844.524542","","0.000000","","","","","","","-7.690000","","","-6.876535","-7.690000","","","","","","","","","D1 PROFILE","",""
"60206300002340","Nodes","-1462477","21.000000","30.002020","Default Known Flow Node","Known Flow","313289.388405","717854.227544","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002391","Nodes","-74","21.000000","28.212684","Default Known Flow Node","Known Flow","313388.980435","717696.185826","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002392","Nodes","-75","21.000000","28.229434","Default Known Flow Node","Known Flow","313408.427437","717701.561503","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002349","Nodes","-1462499","21.000000","28.229434","Default Known Flow Node","Known Flow","313426.543442","717706.235504","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002385","Nodes","-58","21.000000","26.992325","Default Known Flow Node","Known Flow","313468.132453","717653.472490","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002353","Nodes","-1462518","21.000000","27.132935","Default Known Flow Node","Known Flow","313448.470448","717616.734480","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002390","Nodes","-73","21.000000","26.868455","Default Known Flow Node","Known Flow","313473.989455","717688.092499","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002387","Nodes","-66","21.000000","26.874414","DDS demands","Known Flow","313472.382454","717676.568496","","0.000000","","","","","","","-7.309999","","","-6.536732","-7.309999","","","","","","","","","D1 PROFILE","",""
"60206300002361","Nodes","-1462542","21.000000","26.992325","Default Known Flow Node","Known Flow","313471.745454","717638.478485","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002399","Nodes","-94","21.000000","23.865190","Default Known Flow Node","Known Flow","313184.207308","717958.439652","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300002402","Nodes","-99","21.000000","23.996115","Default Known Flow Node","Known Flow","313196.274934","717991.304576","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000170","Nodes","170","21.000000","29.283837","DDS demands","Known Flow","313514.699466","717926.518564","","0.000000","","","","","","","-4.670000","","","-4.175997","-4.670000","","","","","","","","","D1 PROFILE","",""
"60206300000169","Nodes","169","21.000000","28.805326","DDS demands","Known Flow","313579.094483","717852.800544","","0.000000","","","","","","","-16.430000","","","-14.692001","-16.430000","","","","","","","","","D1 PROFILE","",""
"60206300002386","Nodes","-64","21.000000","26.796901","DDS demands","Known Flow","313504.638672","717666.343921","","0.000000","","","","","","","-8.709999","","","-7.788637","-8.709999","","","","","","","","","D1 PROFILE","",""
"60206300002388","Nodes","-71","21.000000","26.822288","Default Known Flow Node","Known Flow","313500.059719","717682.500524","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000101","Nodes","101","21.000000","26.788684","DDS demands","Known Flow","313509.092255","717664.110897","","0.000000","","","","","","","-13.560000","","","-12.125594","-13.560000","","","","","","","","","D1 PROFILE","",""
"60206300002382","Nodes","-52","21.000000","26.788137","Default Known Flow Node","Known Flow","313504.872463","717626.100482","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60206300000171","Nodes","171","21.000000","28.543890","DDS demands","Known Flow","313520.393467","717919.493562","","0.000000","","","","","","","-5.739999","","","-5.132810","-5.739999","","","","","","","","","D1 PROFILE","",""
"60206300002346","Nodes","-1462494","21.000000","26.822288","Default Known Flow Node","Known Flow","313512.154012","717701.639915","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
