"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60207700000069","Nodes","69","21.000000","21.485647","DDS demands","Known Flow","319675.500000","736707.250000","","0.000000","","","","","","-2.049999","","","-1.833146","-2.049999","","","","","","","","D1 PROFILE","",""
"60207700000100","Nodes","100","21.000000","21.580805","DDS demands","Known Flow","319332.500000","736778.250000","","0.000000","","","","","","-2.209999","","","-1.976221","-2.209999","","","","","","","","D1 PROFILE","",""
"60207700000028","Nodes","28","21.000000","21.424745","DDS demands","Known Flow","319767.750000","736763.125000","","0.000000","","","","","","-8.229999","","","-7.359412","-8.229999","","","","","","","","D1 PROFILE","",""
"60207700000201","Nodes","-311823","21.000000","21.424745","Default Known Flow Node","Known Flow","319765.375000","736761.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000202","Nodes","-311824","21.000000","21.424252","Default Known Flow Node","Known Flow","319768.625000","736761.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000027","Nodes","27","21.000000","21.370797","DDS demands","Known Flow","319867.750000","736818.000000","","0.000000","","","","","","-18.209999","","","-16.283707","-18.209999","","","","","","","","D1 PROFILE","",""
"60207700000056","Nodes","56","21.000000","25.867025","DDS demands","Known Flow","319973.625000","736882.750000","","0.000000","","","-6.000000","","","-11.230000","","","-15.407374","-17.230000","","","","","C3 PROFILE","","","D1 PROFILE","",""
"60207700000057","Nodes","57","21.000000","25.812197","DDS demands","Known Flow","319953.875000","736871.750000","","0.000000","","","","","","-2.609999","","","-2.333908","-2.609999","","","","","","","","D1 PROFILE","",""
"60207700000215","Nodes","-311838","21.000000","25.865989","Default Known Flow Node","Known Flow","319960.625000","736812.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000024","Nodes","24","21.000000","24.817009","DDS demands","Known Flow","319993.500000","736938.750000","","0.000000","-9.720000","","","","","","","","-8.691797","-9.720000","","","C1 PROFILE","","","","","","",""
"60207700000218","Nodes","-311841","21.000000","24.817009","Default Known Flow Node","Known Flow","319986.500000","736898.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000203","Nodes","-311825","21.000000","21.424252","Default Known Flow Node","Known Flow","319771.000000","736762.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207700000058","Nodes","58","21.000000","25.865883","DDS demands","Known Flow","319959.250000","736804.875000","","0.000000","","","","","","-2.779999","","","-2.485925","-2.779999","","","","","","","","D1 PROFILE","",""
