"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60600700000586","Nodes","-486","21.000000","44.338780","Default Known Flow Node","Known Flow","321336.103594","864406.387422","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600700000194","Nodes","","21.000000","32.569609","Default Known Flow Node","Known Flow","322447.603897","862262.511839","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906930","Nodes","","21.000000","30.831632","Default Known Flow Node","Known Flow","320199.532285","862169.522814","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906934","Nodes","","21.000000","31.333475","Default Known Flow Node","Known Flow","320246.932298","862257.491838","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906946","Nodes","","21.000000","35.434096","Default Known Flow Node","Known Flow","320265.912303","862465.746894","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906978","Nodes","","21.000000","31.989501","Default Known Flow Node","Known Flow","320232.489294","862064.652785","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906980","Nodes","","21.000000","33.676339","Default Known Flow Node","Known Flow","320361.818329","862357.605865","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906981","Nodes","","21.000000","34.001145","Default Known Flow Node","Known Flow","320428.502347","862282.578844","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906984","Nodes","","21.000000","32.829942","Default Known Flow Node","Known Flow","320318.105317","862328.747857","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906985","Nodes","","21.000000","33.238840","Default Known Flow Node","Known Flow","320275.792306","862118.061800","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906987","Nodes","","21.000000","34.019028","Default Known Flow Node","Known Flow","320438.949350","862268.064840","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704906979","Nodes","","21.000000","32.841227","Default Known Flow Node","Known Flow","320272.345305","862110.483798","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907005","Nodes","","21.000000","34.021716","Default Known Flow Node","Known Flow","320441.096733","862269.630946","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907006","Nodes","","21.000000","33.650831","Default Known Flow Node","Known Flow","320351.679326","862368.753868","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907019","Nodes","","21.000000","33.690181","Default Known Flow Node","Known Flow","320349.659326","862370.975868","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907031","Nodes","","21.000000","35.454615","Default Known Flow Node","Known Flow","320268.243304","862465.257894","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907039","Nodes","","21.000000","34.758860","Default Known Flow Node","Known Flow","320578.535388","862366.534867","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907040","Nodes","","21.000000","34.758881","Default Known Flow Node","Known Flow","320580.822389","862363.301866","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907071","Nodes","","21.000000","34.145129","Default Known Flow Node","Known Flow","320329.046320","862394.713875","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907072","Nodes","","21.000000","34.564514","Default Known Flow Node","Known Flow","320307.165314","862417.940881","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907364","Nodes","S11125607, Elgin Academy","21.000000","32.598362","Point Loads","Known Flow","320893.712907","863495.901502","","0.000000","","","","","","","","","","","-200.309994","","-179.120789","-200.309994","","","","","","","","","","","","","PL-AF PROFILE",""
"60600704907112","Nodes","","21.000000","26.424416","Default Known Flow Node","Known Flow","320714.337028","863847.382017","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907113","Nodes","","21.000000","26.424403","Default Known Flow Node","Known Flow","320716.201242","863847.347319","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907117","Nodes","","21.000000","24.490156","Default Known Flow Node","Known Flow","320566.219385","863741.415241","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907279","Nodes","","21.000000","22.688158","Default Known Flow Node","Known Flow","321434.418621","862842.234997","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60600704907280","Nodes","","21.000000","22.688158","Default Known Flow Node","Known Flow","321436.851622","862842.843997","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
