"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60601500000115","Nodes","115","21.000000","28.340471","DDS demands","Known Flow","370320.732923","864148.966352","","0.000000","","","","","","-15.920000","","","","","-14.235949","-15.920000","","","","","","","","D1 PROFILE","","","",""
"60601500000189","Nodes","189","21.000000","28.328541","DDS demands","Known Flow","370126.549871","863920.196290","","0.000000","","","","","","-7.320000","","","","","-6.545675","-7.320000","","","","","","","","D1 PROFILE","","","",""
"60601500000185","Nodes","185","21.000000","32.160129","DDS demands","Known Flow","370445.918957","864036.618322","","0.000000","","","","","","-16.509999","","","","","-14.763537","-16.509999","","","","","","","","D1 PROFILE","","","",""
"60601500000040","Nodes","40","21.000000","32.334244","Default Known Flow Node","Known Flow","370404.346946","864070.371331","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000003","Nodes","3","21.000000","47.649437","Default Known Flow Node","Known Flow","370043.330848","864379.181415","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000197","Nodes","197","21.000000","32.508960","DDS demands","Known Flow","370182.241886","864399.584420","","0.000000","-7.840000","","","","","-3.289999","","","","","-9.952644","-11.130000","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"60601500000006","Nodes","6","21.000000","33.298918","Default Known Flow Node","Known Flow","370296.463917","864332.829402","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000004","Nodes","4","21.000000","30.074332","Default Known Flow Node","Known Flow","370315.349922","864277.003387","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000005","Nodes","5","21.000000","30.074332","Default Known Flow Node","Known Flow","370303.126919","864318.376398","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60601500000009","Nodes","9","21.000000","31.970233","Default Known Flow Node","Known Flow","370442.286957","864201.587367","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
