"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601100000434","Nodes","434","21.000000","34.326669","DDS demands","Known Flow","398903.000701","865264.669656","","0.000000","","","","","","","-9.859999","","","","","","-8.816988","-9.859999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000433","Nodes","433","21.000000","34.506227","DDS demands","Known Flow","398867.344691","865282.982661","","0.000000","","","","","","","-12.489999","","","","","","-11.168782","-12.489999","","","","","","","","","D1 PROFILE","","","","",""
"60601100004083","Nodes","4083","21.000000","22.947905","Default Known Flow Node","Known Flow","398607.249621","865041.887595","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000544","Nodes","544","21.000000","22.947905","DDS demands","Known Flow","398616.124623","865056.387599","","0.000000","","","","","","","-10.840000","","","","","","-9.693321","-10.840000","","","","","","","","","D1 PROFILE","","","","",""
"60601100004056","Nodes","4056","21.000000","34.018724","Default Known Flow Node","Known Flow","398758.146662","865472.866713","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000327","Nodes","327","21.000000","34.018724","DDS demands","Known Flow","398758.443218","865469.371425","","0.000000","","","","","","","-6.439999","","","","","","-5.758763","-6.439999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000429","Nodes","429","21.000000","26.377996","DDS demands","Known Flow","398701.759646","865351.016679","","0.000000","","","","","","","-11.220000","","","","","","-10.033124","-11.220000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000428","Nodes","428","21.000000","26.427003","DDS demands","Known Flow","398697.639645","865410.365696","","0.000000","","","","","","","-16.520000","","","","","","-14.772480","-16.520000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000427","Nodes","427","21.000000","26.751694","DDS demands","Known Flow","398691.988644","865488.899717","","0.000000","","","","","","","-10.329999","","","","","","-9.237270","-10.329999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000476","Nodes","476","21.000000","33.691915","DDS demands","Known Flow","398764.499663","865397.988692","","0.000000","","","","","","","-6.409999","","","","","","-5.731936","-6.409999","","","","","","","","","D1 PROFILE","","","","",""
