"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"62102000000102","Nodes","102,",21.000000,65.333935,"Default Known Flow Node","Known Flow",252609.959893,686382.963981,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102001411348","Nodes","1411348,",21.000000,48.481589,"Default Known Flow Node","Known Flow",252234.209791,685596.963767,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000383339","Nodes","383339,",21.000000,33.628418,"DDS demands","Known Flow",251996.638977,685658.892637,,0.000000,,,,,-9.939999,,-8.888526,-9.939999,,"",,,,,"D1 PROFILE",
"62102000108394","Nodes","108394,",21.000000,45.317846,"Default Known Flow Node","Known Flow",252045.164740,685996.403875,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000108397","Nodes","108397,",21.000000,49.459385,"DDS demands","Known Flow",252036.318305,686141.169010,,0.000000,,,,,-8.220000,,-7.350471,-8.220000,,"",,,,,"D1 PROFILE",
"62102000115706","Nodes","115706,",21.000000,42.644895,"DDS demands","Known Flow",252886.709969,685225.088666,,0.000000,,,,,-13.000000,,-11.624833,-13.000000,,"",,,,,"D1 PROFILE",
"62102000115709","Nodes","115709,",21.000000,42.530295,"DDS demands","Known Flow",252921.459978,685238.088669,,0.000000,,,,,-8.869999,,-7.931712,-8.869999,,"",,,,,"D1 PROFILE",
"62102000000107","Nodes","107,",21.000000,39.158561,"DDS demands","Known Flow",252498.834863,685429.713721,,0.000000,,,,,-7.030000,,-6.286352,-7.030000,,"",,,,,"D1 PROFILE",
"62102000000105","Nodes","105,",21.000000,39.449146,"DDS demands","Known Flow",252503.459864,685477.463734,,0.000000,,,,,-5.820000,,-5.204348,-5.820000,,"",,,,,"D1 PROFILE",
"62102000000123","Nodes","123,",21.000000,46.985947,"DDS demands","Known Flow",251974.586046,686097.081930,,0.000000,,,,,-9.999999,,-8.942178,-9.999999,,"",,,,,"D1 PROFILE",
"62102000115758","Nodes","115758,",21.000000,57.423428,"Default Known Flow Node","Known Flow",253019.836423,685886.465204,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62102000000194","Nodes","194,",21.000000,57.101737,"DDS demands","Known Flow",253136.710037,685854.713837,,0.000000,,,,-7.089999,-5.739999,,-11.472815,-12.830000,,"",,,,"C4 PROFILE","D1 PROFILE",
"62102000119259","Nodes","119259,",21.000000,34.683737,"DDS demands","Known Flow",252127.131084,684691.193185,,0.000000,,,,,-18.090000,,-16.176402,-18.090000,,"",,,,,"D1 PROFILE",
"62102000000034","Nodes","BRANZIERT RD DG, TEL, Site ID 3939",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",252650.584904,684994.838603,,999998.967025,,,,,,,112.072331,125.330000,,"",,,,,,
"62102000000106","Nodes","106,",21.000000,39.138896,"DDS demands","Known Flow",252447.959849,685456.963729,,0.000000,,,,,-5.530000,,-4.945025,-5.530000,,"",,,,,"D1 PROFILE",
"62102000001003","Nodes","1003,",21.000000,57.016118,"DDS demands","Known Flow",252357.084825,685726.838802,,0.000000,,-17.620001,,,,,-15.756120,-17.620001,,"",,"C2 PROFILE",,,,
