"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500400005773","Nodes","5773",21.000000,27.450880,"DDS demands","Known Flow",245341.000000,661727.125000,,0.000000,,,,,,-23.530000,,,,,,,,,-21.040948,-23.530000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400002043","Nodes","2043",21.000000,33.337608,"DDS demands","Known Flow",245405.000000,661922.125000,,0.000000,,-4.550000,,,,-55.629999,,,,,,,,,-53.814033,-60.180001,,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,,,,,,
"62500400006583","Nodes","6583",21.000000,28.475786,"DDS demands","Known Flow",251082.375000,667318.875000,,0.000000,,,,,,-3.039999,,,,,,,,,-2.718422,-3.039999,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001077","Nodes","1077, ""324295"", ""HIGH ST RENFREW"", 87.70",24.399999,28.390052,"CSEP DDS Matched","Known Flow",251099.906250,667338.000000,,0.000000,,,,,,,-88.000003,,,,,,,,-78.691181,-88.000003,,,"",,,,,,,"DC PROFILE",,,,,,,,
"62500400001747","Nodes","1747",21.000000,28.960963,"DDS demands","Known Flow",246638.250000,662351.500000,,0.000000,,,,,,-45.919996,,,,,,,,,-41.062483,-45.919996,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001174","Nodes","1174",21.000000,28.150733,"Default Known Flow Node","Known Flow",246835.000000,662389.375000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001748","Nodes","1748",21.000000,28.152028,"DDS demands","Known Flow",246846.000000,662401.375000,,0.000000,,,-2.329999,,,-33.470000,,,,,,,,,-32.013001,-35.799999,,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,,,,
"625004-2030","Nodes","-2030",21.000000,33.785647,"Default Known Flow Node","Known Flow",246973.625000,664217.125000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001172","Nodes","1172, P09121843, OAKSHAW STREET EAST, -9.14SCMH",22.999998,22.897585,"CSEP Unmatched","Known Flow",248171.272123,664087.450884,,0.000000,,,,,,,,,,,-9.140000,,,,-8.173152,-9.140000,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"62500400001994","Nodes","1994",21.000000,36.544496,"DDS demands","Known Flow",249268.000000,662948.000000,,0.000000,-13.000000,,,,,-11.799999,,,,,,,,,-22.176603,-24.799999,,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,,,,,
"62500400001169","Nodes","21 MARNOCH TR 9475",21.000000,36.300464,"Val Log Post","Known Flow",249237.109375,662964.312500,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-4431","Nodes","-4431",21.000000,35.559488,"Default Known Flow Node","Known Flow",249158.500000,663003.125000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-3340","Nodes","-3340",21.000000,34.630460,"Default Known Flow Node","Known Flow",247775.000000,663889.750000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001168","Nodes","1168",21.000000,35.170416,"Default Known Flow Node","Known Flow",247660.500000,663918.250000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400006230","Nodes","Building Phase 1 - 1 to 4 & Building Phase 1A 1Marchfield Avenue",21.000000,29.906392,"Point Loads","Known Flow",248197.625000,665591.125000,,0.000000,,,,,,,,,,,-66.830000,,,,-59.760580,-66.830000,,,"",,,,,,,,,,,"PL-AF PROFILE",,,,
"625004-6911","Nodes","-6911",21.000000,27.636857,"Default Known Flow Node","Known Flow",251302.875000,664879.875000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001164","Nodes","1164",21.000000,27.697803,"Default Known Flow Node","Known Flow",251301.796875,664868.875000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-6910","Nodes","-6910",21.000000,27.767612,"Default Known Flow Node","Known Flow",251297.500000,664825.125000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"62500400001071","Nodes","1071",21.000000,36.234731,"DDS demands","Known Flow",251091.750000,664037.750000,,0.000000,,,,,,-9.670000,,,,,,,,,-8.647087,-9.670000,,,"",,,,,,"D1 PROFILE",,,,,,,,,
"62500400001148","Nodes","1148",21.000000,35.274232,"Default Known Flow Node","Known Flow",251231.515625,664024.562500,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
"625004-1809","Nodes","-1809",21.000000,31.305919,"Default Known Flow Node","Known Flow",246903.953125,663625.000000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,
