"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"62505600000032","Nodes","32",21.000000,54.124742,"DDS demands","Known Flow",240839.375000,619987.625000,,0.000000,,,,,-6.500000,,-5.812415,-6.500000,,"",,,,,"D1 PROFILE",
"62505600000030","Nodes","30",21.000000,55.457061,"DDS demands","Known Flow",240777.125000,619926.125000,,0.000000,,,,,-20.700001,,-18.510309,-20.700001,,"",,,,,"D1 PROFILE",
"62505600000048","Nodes","48",21.000000,44.229678,"DDS demands","Known Flow",240567.250000,619592.750000,,0.000000,,,,,-17.010000,,-15.210644,-17.010000,,"",,,,,"D1 PROFILE",
"62505600000047","Nodes","47",21.000000,46.433149,"DDS demands","Known Flow",240623.000000,619470.125000,,0.000000,,,,,-38.439998,,-34.373730,-38.439998,,"",,,,,"D1 PROFILE",
"62505600000020","Nodes","20",21.000000,60.671998,"DDS demands","Known Flow",240790.875000,619758.875000,,0.000000,,,,,-4.480000,,-4.006095,-4.480000,,"",,,,,"D1 PROFILE",
"62505600000070","Nodes","70",21.000000,56.095083,"DDS demands","Known Flow",240872.500000,619932.125000,,0.000000,,,,,-10.810000,,-9.666495,-10.810000,,"",,,,,"D1 PROFILE",
"62505600001056","Nodes","1056",21.000000,56.221051,"Default Known Flow Node","Known Flow",240851.875000,619926.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000016","Nodes","16",21.000000,46.890551,"DDS demands","Known Flow",240706.750000,619518.625000,,0.000000,,,,,-2.339999,,-2.092469,-2.339999,,"",,,,,"D1 PROFILE",
"62505600000028","Nodes","28",21.000000,56.559468,"DDS demands","Known Flow",240881.500000,619876.375000,,0.000000,,,,,-9.319999,,-8.334109,-9.319999,,"",,,,,"D1 PROFILE",
"62505600000097","Nodes","97",21.000000,59.962550,"DDS demands","Known Flow",240618.250000,619713.500000,,0.000000,,,,,-14.020000,,-12.536934,-14.020000,,"",,,,,"D1 PROFILE",
"62505600000098","Nodes","98",21.000000,59.518627,"DDS demands","Known Flow",240692.375000,619659.875000,,0.000000,,,,,-8.209999,,-7.341528,-8.209999,,"",,,,,"D1 PROFILE",
"62505600000102","Nodes","102",21.000000,59.034155,"DDS demands","Known Flow",240631.375000,619687.875000,,0.000000,,,,,-9.399999,,-8.405646,-9.399999,,"",,,,,"D1 PROFILE",
"62505600000103","Nodes","103",21.000000,58.321806,"DDS demands","Known Flow",240562.375000,619631.500000,,0.000000,,,,,-8.250000,,-7.377296,-8.250000,,"",,,,,"D1 PROFILE",
"62505600000010","Nodes","10",21.000000,52.519107,"DDS demands","Known Flow",240752.250000,619649.750000,,0.000000,,,,,-7.829999,,-7.001725,-7.829999,,"",,,,,"D1 PROFILE",
"62505600000013","Nodes","13",21.000000,51.187306,"DDS demands","Known Flow",240851.625000,619579.875000,,0.000000,,,,,-26.450000,,-23.652061,-26.450000,,"",,,,,"D1 PROFILE",
"62505600000039","Nodes","39",21.000000,74.801626,"Default Known Flow Node","Known Flow",240546.875000,619822.375000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000003","Nodes","3",21.000000,70.988357,"Default Known Flow Node","Known Flow",240629.125000,619836.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600001018","Nodes","1018",21.000000,74.182203,"Default Known Flow Node","Known Flow",240596.125000,619861.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000041","Nodes","41",21.000000,74.848352,"Default Known Flow Node","Known Flow",240549.375000,619820.750000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000001","Nodes","COYLTON DG, Site ID 3148",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",240553.500000,619816.375000,,999998.967025,,,,,,,1189.300671,1329.989928,,"",,,,,,
"62505600000042","Nodes","42",21.000000,70.467375,"DDS demands","Known Flow",240520.875000,619783.875000,,0.000000,,,,,-0.739999,,-0.661721,-0.739999,,"",,,,,"D1 PROFILE",
"62505600001029","Nodes","1029",21.000000,74.801626,"Default Known Flow Node","Known Flow",240543.125000,619817.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000040","Nodes","40",21.000000,74.727423,"DDS demands","Known Flow",240517.250000,619856.000000,,0.000000,,,,,-5.940000,,-5.311653,-5.940000,,"",,,,,"D1 PROFILE",
"62505600000044","Nodes","44",21.000000,67.349597,"DDS demands","Known Flow",240532.875000,619757.875000,,0.000000,,,,,-7.099999,,-6.348945,-7.099999,,"",,,,,"D1 PROFILE",
"62505600000045","Nodes","45",21.000000,67.431473,"Default Known Flow Node","Known Flow",240568.625000,619786.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000004","Nodes","4",21.000000,71.038798,"DDS demands","Known Flow",240649.500000,619878.875000,,0.000000,,,,,-4.889999,,-4.372724,-4.889999,,"",,,,,"D1 PROFILE",
"62505600000033","Nodes","33",21.000000,54.124310,"DDS demands","Known Flow",240855.250000,619990.500000,,0.000000,,,,,-1.529999,,-1.368153,-1.529999,,"",,,,,"D1 PROFILE",
"62505600000031","Nodes","31",21.000000,54.626877,"DDS demands","Known Flow",240758.125000,619817.125000,,0.000000,,,,,-8.270000,,-7.395181,-8.270000,,"",,,,,"D1 PROFILE",
"62505600001053","Nodes","1053",21.000000,57.310250,"Default Known Flow Node","Known Flow",240799.375000,619868.125000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000026","Nodes","26",21.000000,59.088661,"DDS demands","Known Flow",240827.875000,619831.625000,,0.000000,,,,,-7.809999,,-6.983840,-7.809999,,"",,,,,"D1 PROFILE",
"62505600000027","Nodes","27",21.000000,57.299902,"DDS demands","Known Flow",240855.250000,619859.875000,,0.000000,,,,,-4.600000,,-4.113401,-4.600000,,"",,,,,"D1 PROFILE",
"62505600000091","Nodes","91",21.000000,57.158696,"DDS demands","Known Flow",240757.375000,619846.750000,,0.000000,,,,,-6.280000,,-5.615687,-6.280000,,"",,,,,"D1 PROFILE",
"62505600001047","Nodes","1047",21.000000,60.502999,"Default Known Flow Node","Known Flow",240793.125000,619765.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000023","Nodes","23",21.000000,60.163193,"DDS demands","Known Flow",240886.375000,619695.750000,,0.000000,,,,,-7.109999,,-6.357888,-7.109999,,"",,,,,"D1 PROFILE",
"62505600000024","Nodes","24",21.000000,59.607501,"DDS demands","Known Flow",240808.250000,619801.000000,,0.000000,,,,,-8.120000,,-7.261048,-8.120000,,"",,,,,"D1 PROFILE",
"62505600000025","Nodes","25",21.000000,58.069814,"DDS demands","Known Flow",240946.625000,619763.250000,,0.000000,,,,,-13.829999,,-12.367032,-13.829999,,"",,,,,"D1 PROFILE",
"62505600000029","Nodes","29",21.000000,57.056215,"DDS demands","Known Flow",240936.875000,619826.875000,,0.000000,,,,,-5.270000,,-4.712527,-5.270000,,"",,,,,"D1 PROFILE",
"62505600001031","Nodes","1031",21.000000,56.527125,"Default Known Flow Node","Known Flow",240899.250000,619888.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000011","Nodes","11",21.000000,52.443021,"DDS demands","Known Flow",240752.250000,619701.375000,,0.000000,,,,,-6.199999,,-5.544150,-6.199999,,"",,,,,"D1 PROFILE",
"62505600000012","Nodes","12",21.000000,52.224432,"DDS demands","Known Flow",240752.250000,619601.625000,,0.000000,,,,,-11.079999,,-9.907933,-11.079999,,"",,,,,"D1 PROFILE",
"62505600001026","Nodes","1026",21.000000,51.187306,"Default Known Flow Node","Known Flow",240851.875000,619572.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600001044","Nodes","1044",21.000000,51.102484,"Default Known Flow Node","Known Flow",240848.375000,619580.000000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000014","Nodes","14",21.000000,48.052642,"DDS demands","Known Flow",240758.375000,619519.000000,,0.000000,,,,,-3.240000,,-2.897265,-3.240000,,"",,,,,"D1 PROFILE",
"62505600000053","Nodes","53",21.000000,46.704764,"Default Known Flow Node","Known Flow",240698.250000,619518.625000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000018","Nodes","18",21.000000,46.691067,"DDS demands","Known Flow",240681.625000,619519.625000,,0.000000,,,,,-11.589999,,-10.363984,-11.589999,,"",,,,,"D1 PROFILE",
"62505600001036","Nodes","1036",21.000000,46.691067,"Default Known Flow Node","Known Flow",240676.125000,619519.875000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000019","Nodes","19",21.000000,46.233312,"DDS demands","Known Flow",240689.125000,619626.000000,,0.000000,,,,,-8.960000,,-8.012191,-8.960000,,"",,,,,"D1 PROFILE",
"62505600000068","Nodes","68",21.000000,54.338420,"DDS demands","Known Flow",240715.250000,619971.125000,,0.000000,,,,,-7.849999,,-7.019609,-7.849999,,"",,,,,"D1 PROFILE",
"62505600000086","Nodes","86",21.000000,54.225357,"DDS demands","Known Flow",240696.375000,619964.625000,,0.000000,,,,,-3.619999,,-3.237068,-3.619999,,"",,,,,"D1 PROFILE",
"62505600000088","Nodes","88",21.000000,54.220952,"DDS demands","Known Flow",240673.500000,619951.000000,,0.000000,,,,,-1.519999,,-1.359210,-1.519999,,"",,,,,"D1 PROFILE",
"62505600000087","Nodes","87",21.000000,54.079680,"DDS demands","Known Flow",240680.625000,619923.750000,,0.000000,,,-3.049999,,-2.400000,,-4.873487,-5.449999,,"",,,"C3  PROFILE",,"D1 PROFILE",
"62505600001054","Nodes","1054",21.000000,56.221051,"Default Known Flow Node","Known Flow",240839.875000,619922.250000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"62505600000071","Nodes","71",21.000000,47.424905,"DDS demands","Known Flow",241828.000000,619685.625000,,0.000000,,,,,-17.520000,,-15.666696,-17.520000,,"",,,,,"D1 PROFILE",
"62505600000072","Nodes","72",21.000000,47.576796,"DDS demands","Known Flow",241821.000000,619511.250000,,0.000000,,,,,-4.929999,,-4.408493,-4.929999,,"",,,,,"D1 PROFILE",
"62505600000073","Nodes","73",21.000000,47.364396,"DDS demands","Known Flow",241838.000000,619687.250000,,0.000000,,,,,-7.190000,,-6.429426,-7.190000,,"",,,,,"D1 PROFILE",
"62505600000074","Nodes","74",21.000000,39.874107,"DDS demands","Known Flow",241960.375000,619728.875000,,0.000000,,,,,-8.270000,,-7.395181,-8.270000,,"",,,,,"D1 PROFILE",
