"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"96110905910195","Nodes","","21.000000","30.813291","Default Known Flow Node","Known Flow","586841.610000","152590.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910393","Nodes","Ashford Road DG, Site ID 5402","21.000000","31.000000","Default Known Pressure Node","Known Pressure","586843.985000","152586.520000","","999998.967025","","","","","","","","","473.828682","529.880634","","","","","","","","","",""
"96110905910489","Nodes","","21.000000","30.713091","Default Known Flow Node","Known Flow","586909.735000","152578.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910415","Nodes","","21.000000","30.724666","DDS demands","Known Flow","586906.360000","152585.020000","","0.000000","","","","","-3.170000","","","","-2.834670","-3.170000","","","","","","","D1 PROFILE","","",""
"96110905910209","Nodes","","21.000000","28.891145","DDS demands","Known Flow","586964.110000","152617.270000","","0.000000","-28.669999","","-5.840000","","-10.520000","","","","-40.266631","-45.030000","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","",""
"96110905910457","Nodes","","21.000000","28.851370","Default Known Flow Node","Known Flow","586659.062712","152735.347564","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910424","Nodes","","21.000000","28.851370","Default Known Flow Node","Known Flow","586663.593078","152743.835776","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910423","Nodes","","21.000000","28.955801","DDS demands","Known Flow","586700.110000","152734.020000","","0.000000","","","","","-14.489999","","","","-12.957217","-14.489999","","","","","","","D1 PROFILE","","",""
"96110905910506","Nodes","","21.000000","29.043744","Default Known Flow Node","Known Flow","586733.235000","152779.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910505","Nodes","","21.000000","29.120725","Default Known Flow Node","Known Flow","586729.110000","152668.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910416","Nodes","","21.000000","30.691361","DDS demands","Known Flow","586895.360000","152573.145000","","0.000000","","","","","-5.709999","","","","-5.105984","-5.709999","","","","","","","D1 PROFILE","","",""
"96110905910519","Nodes","","21.000000","30.691361","Default Known Flow Node","Known Flow","586919.985000","152542.020000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910518","Nodes","","21.000000","30.647526","Default Known Flow Node","Known Flow","586853.110000","152583.020000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910491","Nodes","","21.000000","30.465414","Default Known Flow Node","Known Flow","587072.860000","152503.895000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910467","Nodes","","21.000000","21.960764","Default Known Flow Node","Known Flow","587348.985000","152644.270000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910507","Nodes","","21.000000","23.235817","Default Known Flow Node","Known Flow","587182.110000","152997.395000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910409","Nodes","","21.000000","23.235817","DDS demands","Known Flow","587276.360000","152950.520000","","0.000000","","","","","-9.770000","","","","-8.736509","-9.770000","","","","","","","D1 PROFILE","","",""
"96110905910410","Nodes","","21.000000","26.015546","DDS demands","Known Flow","587194.610000","152750.270000","","0.000000","","","","","-20.540000","","","","-18.367236","-20.540000","","","","","","","D1 PROFILE","","",""
"96110905910492","Nodes","","21.000000","28.262905","Default Known Flow Node","Known Flow","587149.860000","152633.145000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910464","Nodes","","21.000000","26.059794","Default Known Flow Node","Known Flow","587124.360000","152830.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910468","Nodes","","21.000000","24.467560","Default Known Flow Node","Known Flow","587368.985000","152642.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910216","Nodes","","21.000000","21.989835","DDS demands","Known Flow","587354.485000","152642.270000","","0.000000","","","","","-3.190000","","","","-2.852555","-3.190000","","","","","","","D1 PROFILE","","",""
"96110905910217","Nodes","","21.000000","24.999109","DDS demands","Known Flow","587443.842118","152646.920686","","0.000000","","","","","-2.529999","","","","-2.262371","-2.529999","","","","","","","D1 PROFILE","","",""
"96110905910469","Nodes","","21.000000","24.999109","Default Known Flow Node","Known Flow","587442.024113","152646.782171","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910465","Nodes","","21.000000","28.262905","Default Known Flow Node","Known Flow","587149.235000","152631.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910210","Nodes","","21.000000","28.372450","DDS demands","Known Flow","587151.485000","152628.770000","","0.000000","","-5.539999","","","-2.180000","","","","-6.903361","-7.719999","","","","C2 PROFILE","","","D1 PROFILE","","",""
"96110905910466","Nodes","","21.000000","21.856156","Default Known Flow Node","Known Flow","587304.485000","152640.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910508","Nodes","","21.000000","21.365859","Default Known Flow Node","Known Flow","587520.860000","152733.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910509","Nodes","","21.000000","21.455134","Default Known Flow Node","Known Flow","587540.485000","152787.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910407","Nodes","","21.000000","21.410493","Default Known Flow Node","Known Flow","587515.235000","152854.270000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910276","Nodes","","21.000000","21.497220","DDS demands","Known Flow","587542.985000","152883.770000","","0.000000","","","","","-13.910000","","","","-12.438570","-13.910000","","","","","","","D1 PROFILE","","",""
"96110905910406","Nodes","","21.000000","21.455134","Default Known Flow Node","Known Flow","587545.610000","152792.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910213","Nodes","","21.000000","21.541737","DDS demands","Known Flow","587578.485000","152937.770000","","0.000000","","","","","-16.290001","","","","-14.566810","-16.290001","","","","","","","D1 PROFILE","","",""
"96110905910471","Nodes","","21.000000","21.633837","Default Known Flow Node","Known Flow","587581.985000","152851.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910470","Nodes","","21.000000","21.455134","Default Known Flow Node","Known Flow","587561.735000","152792.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910404","Nodes","P14133574, MARLEY ROAD CSEP, 12.65 SCMH","22.999998","21.390779","CSEP Unmatched","Known Flow","587805.647540","152897.977677","","0.000000","","","","","","","","-12.649999","-11.311855","-12.649999","","","","","","","","","","DC PROFILE"
"96110905910403","Nodes","","21.000000","21.898226","DDS demands","Known Flow","587589.235000","152798.645000","","0.000000","","","","","-13.789999","","","","-12.331264","-13.789999","","","","","","","D1 PROFILE","","",""
"96110905910277","Nodes","","21.000000","25.475652","DDS demands","Known Flow","587601.235000","152657.020000","","0.000000","","","","","-5.400000","","","","-4.828776","-5.400000","","","","","","","D1 PROFILE","","",""
"96110905910472","Nodes","","21.000000","25.663386","Default Known Flow Node","Known Flow","587627.235000","152658.270000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910218","Nodes","","21.000000","28.497497","DDS demands","Known Flow","587686.985000","152661.645000","","0.000000","-14.529999","","","","-4.239999","","","","-16.784469","-18.769999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"96110905910475","Nodes","","21.000000","21.388077","Default Known Flow Node","Known Flow","587738.610000","152909.770000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910405","Nodes","","21.000000","21.318331","DDS demands","Known Flow","587738.985000","152812.270000","","0.000000","","","","","-27.510000","","","","-24.599935","-27.510000","","","","","","","D1 PROFILE","","",""
"96110905910476","Nodes","","21.000000","21.430643","DDS demands","Known Flow","587834.139797","152892.321762","","0.000000","","","","","-0.990000","","","","-0.885275","-0.990000","","","","","","","D1 PROFILE","","",""
"96110905910474","Nodes","","21.000000","21.273611","Default Known Flow Node","Known Flow","587724.485000","152800.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910473","Nodes","","21.000000","21.184186","Default Known Flow Node","Known Flow","587649.985000","152820.645000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96110905910401","Nodes","","21.000000","26.680807","Default Known Flow Node","Known Flow","587649.360000","152659.520000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
