"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96105400000641","Nodes","641","21.000000","27.082290","Default Known Flow Node","Known Flow","599548.429298","141792.065793","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000648","Nodes","648","21.000000","27.122383","Default Known Flow Node","Known Flow","599583.429307","141811.315798","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002642","Nodes","5002642","21.000000","27.205944","Default Known Flow Node","Known Flow","599565.679302","141933.315831","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002734","Nodes","5002734","21.000000","27.220642","Default Known Flow Node","Known Flow","599571.179304","141944.940835","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002736","Nodes","5002736","21.000000","27.224324","Default Known Flow Node","Known Flow","599614.500171","141940.363247","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000678","Nodes","678","21.000000","27.224332","Default Known Flow Node","Known Flow","599619.804317","141930.440831","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000593","Nodes","593","21.000000","27.237680","DDS demands","Known Flow","599651.179326","141679.190762","","0.000000","","","","","","","-0.209999","","","","","","","","","-0.187785","-0.209999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400000604","Nodes","604","21.000000","27.237684","Default Known Flow Node","Known Flow","599702.950343","141707.702698","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400000657","Nodes","657","21.000000","27.293562","Default Known Flow Node","Known Flow","599703.929340","141833.565804","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002101","Nodes","5002101","21.000000","27.337237","DDS demands","Known Flow","599669.804331","141820.315801","","0.000000","","","","","","","-7.750000","","","","","","","","","-6.930188","-7.750000","","","","","","","","","D1 PROFILE","","","","","","","",""
