"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"96105650021314","Nodes","","21.000000","32.999676","DDS demands","Known Flow","598647.679053","141544.440726","","0.000000","","","","","-19.650000","","","","-17.571382","-19.650000","","","","","","","D1 PROFILE","","",""
"96105600211891","Nodes","","21.000000","32.678910","DDS demands","Known Flow","598638.679050","141606.190742","","0.000000","","","","","-5.680000","","","","-5.079157","-5.680000","","","","","","","D1 PROFILE","","",""
"96105600211895","Nodes","","21.000000","38.457024","DDS demands","Known Flow","598661.804056","141650.690754","","0.000000","","","","","-5.039999","","","","-4.506857","-5.039999","","","","","","","D1 PROFILE","","",""
"96105600211909","Nodes","","21.000000","38.243378","DDS demands","Known Flow","598703.304068","141641.690752","","0.000000","","","","","-8.159999","","","","-7.296817","-8.159999","","","","","","","D1 PROFILE","","",""
"96105600211897","Nodes","","21.000000","39.398951","Default Known Flow Node","Known Flow","598666.054058","141922.065828","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211899","Nodes","","21.000000","39.562608","DDS demands","Known Flow","598672.429059","141924.815829","","0.000000","","","","","-9.970000","","","","-8.915352","-9.970000","","","","","","","D1 PROFILE","","",""
"96105605002306","Nodes","","21.000000","38.843840","DDS demands","Known Flow","598673.613875","141704.671390","","0.000000","","","","","-3.599999","","","","-3.219184","-3.599999","","","","","","","D1 PROFILE","","",""
"96105600211896","Nodes","","21.000000","38.649115","Default Known Flow Node","Known Flow","598665.054057","141689.565765","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211902","Nodes","","21.000000","37.772727","DDS demands","Known Flow","598674.929060","141986.065846","","0.000000","","","","","-8.770000","","","","-7.842291","-8.770000","","","","","","","D1 PROFILE","","",""
"96105650021313","Nodes","","21.000000","38.746754","DDS demands","Known Flow","598744.554079","141652.315755","","0.000000","","","","","-9.869999","","","","-8.825930","-9.869999","","","","","","","D1 PROFILE","","",""
"96105600211907","Nodes","","21.000000","39.564034","Default Known Flow Node","Known Flow","598688.304064","141909.940825","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600211911","Nodes","","21.000000","39.592875","Default Known Flow Node","Known Flow","598708.804069","141919.440828","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"96105600398256","Nodes","","21.000000","32.105422","DDS demands","Known Flow","598736.304077","141497.815713","","0.000000","","","","","-4.489999","","","","-4.015038","-4.489999","","","","","","","D1 PROFILE","","",""
"96105600211926","Nodes","","21.000000","39.438897","DDS demands","Known Flow","598751.932987","141938.296133","","0.000000","","","","","-19.849999","","","","-17.750225","-19.849999","","","","","","","D1 PROFILE","","",""
"96105600211918","Nodes","","21.000000","38.582334","DDS demands","Known Flow","598728.304075","141610.440743","","0.000000","","","","","-3.940000","","","","-3.523218","-3.940000","","","","","","","D1 PROFILE","","",""
"96105600211920","Nodes","","21.000000","38.579091","DDS demands","Known Flow","598732.804076","141607.940743","","0.000000","","","","","-3.020000","","","","-2.700538","-3.020000","","","","","","","D1 PROFILE","","",""
