"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"96106305203021","Nodes","5203021","21.000000","33.818248","DDS demands","Known Flow","625583.370246","147662.303766","","0.000000","","","","","-5.550000","-4.962909","-5.550000","","","","","","","D1 PROFILE"
"96106305203020","Nodes","5203020","21.000000","33.773057","DDS demands","Known Flow","625694.629858","147879.093750","","0.000000","","","","","-13.319999","-11.910982","-13.319999","","","","","","","D1 PROFILE"
"96106305203019","Nodes","5203019","21.000000","23.357942","DDS demands","Known Flow","625923.155573","147962.026044","","0.000000","","","","","-9.279999","-8.298341","-9.279999","","","","","","","D1 PROFILE"
"96106300170698","Nodes","170698","21.000000","24.800492","Default Known Flow Node","Known Flow","626099.054386","147853.047860","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300132838","Nodes","132838","21.000000","35.097762","Default Known Flow Node","Known Flow","626529.299375","148258.066843","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106305203029","Nodes","5203029","21.000000","36.469480","Default Known Flow Node","Known Flow","626392.125000","148361.906250","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300132813","Nodes","132813","21.000000","24.957438","Default Known Flow Node","Known Flow","626108.145930","147845.936652","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106300132826","Nodes","132826","21.000000","33.156377","DDS demands","Known Flow","626407.214888","148149.802073","","0.000000","","","","","-1.789999","-1.600649","-1.789999","","","","","","","D1 PROFILE"
"96106305203030","Nodes","5203030","21.000000","33.621392","DDS demands","Known Flow","626438.625000","148180.296875","","0.000000","","","","","-5.879999","-5.258001","-5.879999","","","","","","","D1 PROFILE"
"96106300132832","Nodes","132832","21.000000","33.856066","DDS demands","Known Flow","626453.879669","148195.227417","","0.000000","","","","","-1.669999","-1.493343","-1.669999","","","","","","","D1 PROFILE"
"96106300132819","Nodes","132819","21.000000","29.882203","DDS demands","Known Flow","626369.824542","147812.251465","","0.000000","","","","","-4.679999","-4.184939","-4.679999","","","","","","","D1 PROFILE"
"96106300132830","Nodes","132830","21.000000","29.709476","DDS demands","Known Flow","626425.569621","147870.890284","","0.000000","","","","","-12.459999","-11.141954","-12.459999","","","","","","","D1 PROFILE"
"96106300132828","Nodes","132828","21.000000","25.870348","DDS demands","Known Flow","626416.625000","147984.375000","","0.000000","","","","","-3.549999","-3.174473","-3.549999","","","","","","","D1 PROFILE"
"96106300132814","Nodes","132814","21.000000","26.657130","DDS demands","Known Flow","626242.440603","147838.619698","","0.000000","","","","","-9.479999","-8.477185","-9.479999","","","","","","","D1 PROFILE"
