"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96121709709051","Nodes","9709051","21.000000","29.993324","DDS demands","Known Flow","581329.145000","115353.170000","","0.000000","","","","-6.269999","","","-5.606746","-6.269999","","","","","","D1 PROFILE","",""
"96121709709052","Nodes","9709052","21.000000","30.026801","DDS demands","Known Flow","581314.145000","115340.802812","","0.000000","","","","-22.429999","","","-20.057307","-22.429999","","","","","","D1 PROFILE","",""
"96121709709159","Nodes","P105552, Moor Lane, 26.89scmh","21.000000","28.816903","CSEP DDS Matched","Known Flow","581436.895000","115190.552812","","0.000000","","","","","-26.889998","","-24.045518","-26.889998","","","","","","","DC PROFILE",""
"96121709709158","Nodes","-91204","21.000000","28.860343","Default Known Flow Node","Known Flow","581431.395000","115167.302812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709050","Nodes","9709050","21.000000","28.749438","DDS demands","Known Flow","581510.645000","115137.670000","","0.000000","","","0.000000","-6.760000","","","-6.044912","-6.760000","","","","","C4 PROFILE","D1 PROFILE","",""
"96121709709163","Nodes","-91210","21.000000","28.614694","Default Known Flow Node","Known Flow","581552.770000","115101.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709165","Nodes","-91212","21.000000","28.280925","DDS demands","Known Flow","581594.770000","115068.670000","","0.000000","","","-3.380000","-5.929999","","","-8.325168","-9.310000","","","","","C4 PROFILE","D1 PROFILE","",""
"96121709709143","Nodes","-91182","21.000000","30.820189","DDS demands","Known Flow","581260.895000","115598.170000","","0.000000","-22.340001","","-3.880000","-14.649999","","","-36.546688","-40.870001","","","C2 PROFILE","","C4 PROFILE","D1 PROFILE","",""
"96121709709136","Nodes","-91173","21.000000","30.357477","DDS demands","Known Flow","581202.520000","115665.920000","","0.000000","","","","-8.310000","","","-7.430950","-8.310000","","","","","","D1 PROFILE","",""
"96121709709149","Nodes","-91188","21.000000","30.062439","Default Known Flow Node","Known Flow","581286.645000","115503.552812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709148","Nodes","-91187","21.000000","30.062439","Default Known Flow Node","Known Flow","581285.395000","115514.052812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709152","Nodes","-91193","21.000000","30.455557","DDS demands","Known Flow","581302.895000","115658.420000","","0.000000","","","","-0.629999","","","-0.563357","-0.629999","","","","","","D1 PROFILE","",""
"96121709709150","Nodes","-91190","21.000000","28.741441","DDS demands","Known Flow","581294.145000","115733.670000","","0.000000","","","","-5.339999","","","-4.775123","-5.339999","","","","","","D1 PROFILE","",""
"96121709709116","Nodes","-91147","21.000000","22.438661","Default Known Flow Node","Known Flow","581020.395000","115804.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709096","Nodes","-391367","21.000000","22.322951","DDS demands","Known Flow","580963.895000","115801.170000","","0.000000","","","","-6.350000","","","-5.678283","-6.350000","","","","","","D1 PROFILE","",""
"96121709709117","Nodes","-91148","21.000000","22.265655","DDS demands","Known Flow","581024.645000","115804.670000","","0.000000","","","","-3.980000","","","-3.558987","-3.980000","","","","","","D1 PROFILE","",""
"96121709709114","Nodes","-91144","21.000000","22.389830","DDS demands","Known Flow","581004.770000","115777.802812","","0.000000","","","","-4.819999","","","-4.310130","-4.819999","","","","","","D1 PROFILE","",""
"96121709709124","Nodes","-91158","21.000000","22.825567","DDS demands","Known Flow","581111.895000","115893.052812","","0.000000","","","","-3.240000","","","-2.897266","-3.240000","","","","","","D1 PROFILE","",""
"96121709709129","Nodes","-91163","21.000000","23.209763","DDS demands","Known Flow","581151.895000","115937.920000","","0.000000","","","","-6.370000","","","-5.696168","-6.370000","","","","","","D1 PROFILE","",""
"96121709709123","Nodes","-91157","21.000000","23.422559","DDS demands","Known Flow","581109.645000","115978.802812","","0.000000","","","","-1.299999","","","-1.162483","-1.299999","","","","","","D1 PROFILE","",""
