"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64403800145541","Nodes","145541",21.000000,49.902835,"Default Known Flow Node","Known Flow",272535.268415,701819.903098,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000089","Nodes","Balkerach Street RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",272533.840315,701821.093181,,999998.967025,,,,,,,34.266431,38.320001,,"",,,,,,
"64403800576975","Nodes","576975",21.000000,49.992445,"Default Known Flow Node","Known Flow",273094.616155,701323.619862,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800575817","Nodes","575817",21.000000,30.998613,"DDS demands","Known Flow",272618.077848,701672.195528,,0.000000,0.000000,,-2.809999,,-6.150000,,-8.012192,-8.960000,,"","C1 PROFILE",,"C3  PROFILE",,"",
"64403800575812","Nodes","575812",21.000000,32.848798,"Default Known Flow Node","Known Flow",272694.469076,701563.841976,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002632","Nodes","2632",21.000000,32.831863,"Default Known Flow Node","Known Flow",272687.161356,701565.696112,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002702","Nodes","2702",21.000000,33.118661,"Default Known Flow Node","Known Flow",272837.155397,701592.938119,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800002703","Nodes","2703",21.000000,33.102926,"DDS demands","Known Flow",272834.730396,701593.023119,,0.000000,,,,,-1.760000,,-1.573823,-1.760000,,"",,,,,"",
"64403800002730","Nodes","2730",21.000000,34.343978,"DDS demands","Known Flow",272932.400423,701550.249108,,0.000000,,,,,-1.019999,,-0.912102,-1.019999,,"",,,,,"",
"64403800002734","Nodes","2734",21.000000,31.314419,"Default Known Flow Node","Known Flow",272625.011339,701553.910109,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
