"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64405100000005","Nodes","5",21.000000,69.235910,"DDS demands","Known Flow",283987.752708,689189.041689,,0.000000,,,,,-20.820000,,,,,,,,-18.617616,-20.820000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000006","Nodes","6",21.000000,67.857642,"DDS demands","Known Flow",283956.328259,689213.511547,,0.000000,,,,,-16.509999,,,,,,,,-14.763537,-16.509999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000104","Nodes","104",21.000000,67.595228,"DDS demands","Known Flow",283835.367035,689155.232911,,0.000000,,,,,-10.970000,,,,,,,,-9.809570,-10.970000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000027","Nodes","27",21.000000,57.210756,"DDS demands","Known Flow",283894.380883,689247.125404,,0.000000,,,,,-12.780000,,,,,,,,-11.428104,-12.780000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000028","Nodes","28",21.000000,56.780950,"DDS demands","Known Flow",283858.577617,689199.602365,,0.000000,,,,,-13.590000,,,,,,,,-12.152421,-13.590000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100002009","Nodes","2009",21.000000,55.484077,"Default Known Flow Node","Known Flow",283878.238449,689268.204265,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000116","Nodes","116",21.000000,72.155317,"DDS demands","Known Flow",283755.267602,689210.244682,,0.000000,-2.859999,,,,-9.679999,,,,,,,,-11.213492,-12.539999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"64405100002033","Nodes","2033",21.000000,72.114945,"Default Known Flow Node","Known Flow",283732.395561,689225.764995,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100002032","Nodes","2032",21.000000,71.207620,"Default Known Flow Node","Known Flow",283835.883475,689270.045465,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64405100000103","Nodes","103",21.000000,67.377210,"DDS demands","Known Flow",283805.340932,689181.424159,,0.000000,,,,,-10.399999,,,,,,,,-9.299865,-10.399999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000045","Nodes","45",21.000000,63.454925,"DDS demands","Known Flow",283992.847521,689004.157499,,0.000000,,,,,-11.119999,,,,,,,,-9.943702,-11.119999,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000035","Nodes","35",21.000000,65.758230,"DDS demands","Known Flow",284016.837841,689166.029349,,0.000000,,,,,-11.880000,,,,,,,,-10.623308,-11.880000,,"",,,,,"D1 PROFILE",,,,,,,
"64405100000007","Nodes","7",21.000000,64.553572,"DDS demands","Known Flow",284026.847886,689303.538122,,0.000000,,,,,-16.229999,,,,,,,,-14.513155,-16.229999,,"",,,,,"D1 PROFILE",,,,,,,
