"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64301100001115","Nodes","1115",21.000000,32.595156,"Default Known Flow Node","Known Flow",332075.227516,666263.509506,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001094","Nodes","1094",21.000000,33.165539,"Default Known Flow Node","Known Flow",332177.975544,666271.042508,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001116","Nodes","1116",21.000000,32.503194,"Default Known Flow Node","Known Flow",332232.115559,666225.550496,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001117","Nodes","1117",21.000000,34.098551,"Default Known Flow Node","Known Flow",332249.106564,666385.677539,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001118","Nodes","1118",21.000000,34.142785,"Default Known Flow Node","Known Flow",332249.672564,666383.639539,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001119","Nodes","1119",21.000000,32.498959,"Default Known Flow Node","Known Flow",332250.016564,666209.616491,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001120","Nodes","1120",21.000000,33.619590,"Default Known Flow Node","Known Flow",332231.367559,666334.637525,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001138","Nodes","1138",21.000000,33.729384,"Default Known Flow Node","Known Flow",332238.782561,666343.545528,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001114","Nodes","1114",21.000000,31.652871,"Default Known Flow Node","Known Flow",332048.192509,666122.865468,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100001130","Nodes","1130",21.000000,32.694705,"Default Known Flow Node","Known Flow",332075.348516,666262.215506,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
