"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64306400000365","Nodes","365",21.000000,30.638107,"DDS demands","Known Flow",306848.724652,667071.583726,,0.000000,,,,,-17.229999,,,,-15.407373,-17.229999,,"",,,,,"D1 PROFILE",,,
"64306400000366","Nodes","366",21.000000,30.378923,"DDS demands","Known Flow",306897.224665,667032.958715,,0.000000,,,,,-9.220000,,,,-8.244689,-9.220000,,"",,,,,"D1 PROFILE",,,
"64306400001062","Nodes","-1462545",21.000000,30.352203,"Default Known Flow Node","Known Flow",306900.349666,667094.458732,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000353","Nodes","353",21.000000,22.923611,"DDS demands","Known Flow",306806.599641,667196.083760,,0.000000,,,,,-14.310000,,,,-12.796258,-14.310000,,"",,,,,"D1 PROFILE",,,
"64306400001166","Nodes","-434",21.000000,22.738390,"Default Known Flow Node","Known Flow",306794.449006,667221.735848,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000357","Nodes","357",21.000000,22.051046,"DDS demands","Known Flow",306871.849658,667193.708759,,0.000000,,,,,-10.660000,,,,-9.532363,-10.660000,,"",,,,,"D1 PROFILE",,,
"64306400000358","Nodes","358",21.000000,21.539163,"DDS demands","Known Flow",306830.599647,667127.083741,,0.000000,,,,,-12.069999,,,,-10.793209,-12.069999,,"",,,,,"D1 PROFILE",,,
"64306400000354","Nodes","354",21.000000,22.322708,"DDS demands","Known Flow",306841.474650,667260.958777,,0.000000,,,,,-10.790000,,,,-9.648611,-10.790000,,"",,,,,"D1 PROFILE",,,
"64306400001061","Nodes","-1462538",21.000000,22.738390,"Default Known Flow Node","Known Flow",306777.974633,667219.333766,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400001187","Nodes","-4904554",21.000000,74.856480,"Default Known Flow Node","Known Flow",307057.720448,666953.711077,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
