"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64303200020380","Nodes","20380, Works, Bonnington Road",21.000000,38.874419,"Val Log Cath","Known Flow",325225.495652,639022.141093,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020381","Nodes",,21.000000,39.113573,"DDS demands","Known Flow",325218.252651,639013.180091,,0.000000,,,,,,-1.019999,,,,,,,,-0.912102,-1.019999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200020383","Nodes",,21.000000,41.102736,"Default Known Flow Node","Known Flow",325325.010680,639416.737201,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020384","Nodes",,21.000000,41.101129,"Default Known Flow Node","Known Flow",325336.922683,639497.949223,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020387","Nodes",,21.000000,43.638476,"Default Known Flow Node","Known Flow",325497.686727,639636.835261,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020389","Nodes",,21.000000,40.450938,"Default Known Flow Node","Known Flow",325652.330769,639440.047207,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020392","Nodes",,21.000000,39.158330,"Default Known Flow Node","Known Flow",325541.397738,639404.691197,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020394","Nodes",,21.000000,37.511118,"Default Known Flow Node","Known Flow",325558.781743,639332.183178,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020395","Nodes",,21.000000,39.191433,"Default Known Flow Node","Known Flow",325176.310639,639129.595123,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200020397","Nodes",,21.000000,39.158528,"Default Known Flow Node","Known Flow",325544.236960,639413.064527,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
