"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"62404200000043","Nodes","43",21.000000,33.096272,"DDS demands","Known Flow",262158.750000,673914.250000,,0.000000,,,-2.667000,,,-2.384879,-2.667000,,,"",,,"D1 PROFILE",,,
"624042-551817","Nodes","-551817",21.000000,32.372307,"Default Known Flow Node","Known Flow",262143.000000,673805.000000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-173418","Nodes","-173418",21.000000,32.703068,"Default Known Flow Node","Known Flow",262183.750000,673867.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000135","Nodes","135",21.000000,32.335865,"DDS demands","Known Flow",262203.125000,673860.500000,,0.000000,,,-11.225999,,,-10.038489,-11.225999,,,"",,,"D1 PROFILE",,,
"624042-551815","Nodes","-551815",21.000000,32.703068,"Default Known Flow Node","Known Flow",262179.750000,673860.500000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000042","Nodes","42",21.000000,31.933875,"DDS demands","Known Flow",262281.125000,673875.500000,,0.000000,,,-9.086000,,,-8.124864,-9.086000,,,"",,,"D1 PROFILE",,,
"624042-551814","Nodes","-551814",21.000000,32.335865,"Default Known Flow Node","Known Flow",262200.625000,673831.125000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-551811","Nodes","-551811",21.000000,32.953114,"Default Known Flow Node","Known Flow",262261.750000,673934.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-173515","Nodes","-173515",21.000000,31.900643,"Default Known Flow Node","Known Flow",262328.375000,673960.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-551803","Nodes","-551803",21.000000,32.160797,"Default Known Flow Node","Known Flow",262316.125000,673969.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-173522","Nodes","-173522",21.000000,31.871411,"Default Known Flow Node","Known Flow",262342.125000,673975.375000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-551801","Nodes","-551801",21.000000,31.871411,"Default Known Flow Node","Known Flow",262329.875000,673984.750000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-173523","Nodes","-173523",21.000000,31.523267,"Default Known Flow Node","Known Flow",262354.250000,673992.500000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"624042-164773","Nodes","-164773",21.000000,36.015616,"Default Known Flow Node","Known Flow",261494.875000,674331.875000,,0.000000,,,,,,0.000000,0.000000,,,"",,,,,,
"62404200000128","Nodes","128",21.000000,35.463077,"DDS demands","Known Flow",261497.750000,674327.250000,,0.000000,,,-8.670999,,,-7.753762,-8.670999,,,"",,,"D1 PROFILE",,,
"62404200000127","Nodes","127",21.000000,68.222451,"DDS demands","Known Flow",261859.250000,674041.875000,,0.000000,,,-21.093000,,,-18.861738,-21.093000,,,"",,,"D1 PROFILE",,,
"62404200000031","Nodes","31",21.000000,36.163689,"DDS demands","Known Flow",261545.000000,674359.625000,,0.000000,,,-18.953999,,,-16.949006,-18.953999,,,"",,,"D1 PROFILE",,,
