"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"64306100000195","Nodes","195",21.000000,30.015933,"DDS demands","Known Flow",344320.312735,676559.686230,,0.000000,,-8.879999,,-7.940654,-8.879999,,"",,"D1 PROFILE",
"64306100000197","Nodes","197",21.000000,28.740232,"DDS demands","Known Flow",344443.351591,676624.071357,,0.000000,,-6.610000,,-5.910780,-6.610000,,"",,"D1 PROFILE",
"64306100000199","Nodes","199",21.000000,28.370837,"DDS demands","Known Flow",344478.350669,676568.392047,,0.000000,,-1.360000,,-1.216136,-1.360000,,"",,"D1 PROFILE",
"64306100000010","Nodes","-10",21.000000,48.417212,"Default Known Flow Node","Known Flow",342608.863778,675346.239668,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000318","Nodes",,21.000000,35.955353,"Default Known Flow Node","Known Flow",343943.382746,676075.199176,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000319","Nodes",,21.000000,35.815548,"Default Known Flow Node","Known Flow",343946.157794,676067.739831,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000320","Nodes",,21.000000,35.154684,"DDS demands","Known Flow",343965.457752,676035.839165,,0.000000,,-10.069999,,-9.004774,-10.069999,,"",,"D1 PROFILE",
"64306100000322","Nodes",,21.000000,30.378046,"DDS demands","Known Flow",344024.427768,676018.736160,,0.000000,,-10.159999,,-9.085253,-10.159999,,"",,"D1 PROFILE",
"64306100000332","Nodes",,21.000000,31.855341,"Default Known Flow Node","Known Flow",344132.673412,676443.474955,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000354","Nodes",,21.000000,31.384282,"Default Known Flow Node","Known Flow",343934.927542,676500.910612,,0.000000,,,,0.000000,0.000000,,"",,,
"64306111000196","Nodes","-196",21.000000,33.558267,"Default Known Flow Node","Known Flow",344277.970371,676399.059845,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000001","Nodes",,21.000000,23.729222,"Default Known Flow Node","Known Flow",343531.472407,675996.250197,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000007","Nodes",,21.000000,23.646062,"DDS demands","Known Flow",343529.480452,675994.995017,,0.000000,,-4.030000,,-3.603698,-4.030000,,"",,"D1 PROFILE",
"64306100000005","Nodes",,21.000000,21.405856,"DDS demands","Known Flow",343529.344767,675911.451405,,0.000000,,-11.799999,,-10.551771,-11.799999,,"",,"D1 PROFILE",
"64306100000006","Nodes",,21.000000,21.156294,"DDS demands","Known Flow",343511.794332,675927.943601,,0.000000,,-5.429999,,-4.855602,-5.429999,,"",,"D1 PROFILE",
"64306100000014","Nodes",,21.000000,22.291126,"DDS demands","Known Flow",343530.766645,675954.149484,,0.000000,,-6.280000,,-5.615688,-6.280000,,"",,"D1 PROFILE",
"64306100000008","Nodes",,21.000000,23.660918,"Default Known Flow Node","Known Flow",343439.952609,675938.464139,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000013","Nodes",,21.000000,23.207835,"DDS demands","Known Flow",343414.609224,675922.629306,,0.000000,,-7.600000,,-6.796056,-7.600000,,"",,"D1 PROFILE",
"64306100000218","Nodes",,21.000000,31.110027,"Default Known Flow Node","Known Flow",344266.810598,676100.106336,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000145","Nodes",,21.000000,33.368085,"DDS demands","Known Flow",344085.111908,675991.376359,,0.000000,,-7.790000,,-6.965957,-7.790000,,"",,"D1 PROFILE",
"64306100000217","Nodes",,21.000000,34.994636,"Default Known Flow Node","Known Flow",343992.382434,676009.011214,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000144","Nodes",,21.000000,25.599412,"Default Known Flow Node","Known Flow",343796.631820,675936.829066,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000400","Nodes",,21.000000,47.103818,"Default Known Flow Node","Known Flow",342523.055359,675253.520952,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000404","Nodes",,21.000000,48.417566,"Default Known Flow Node","Known Flow",342610.016383,675343.928977,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000405","Nodes",,21.000000,48.375603,"Default Known Flow Node","Known Flow",342623.411387,675382.337987,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000401","Nodes",,21.000000,48.142321,"DDS demands","Known Flow",342598.910380,675212.101941,,0.000000,,-9.399999,,-8.405647,-9.399999,,"",,"D1 PROFILE",
"64306100000411","Nodes",,21.000000,24.946515,"Default Known Flow Node","Known Flow",343525.921632,675522.382025,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000412","Nodes",,21.000000,24.411980,"Default Known Flow Node","Known Flow",343400.528598,675793.742099,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000413","Nodes",,21.000000,24.793494,"Default Known Flow Node","Known Flow",343498.551625,675533.676028,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000414","Nodes",,21.000000,24.447386,"Default Known Flow Node","Known Flow",343451.522612,675727.211081,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000410","Nodes",,21.000000,24.611562,"Default Known Flow Node","Known Flow",343423.362604,675620.017052,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000428","Nodes",,21.000000,24.488095,"Default Known Flow Node","Known Flow",343607.690655,675719.096079,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000422","Nodes",,21.000000,24.693497,"Default Known Flow Node","Known Flow",343442.970610,675456.631007,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000424","Nodes",,21.000000,24.775352,"Default Known Flow Node","Known Flow",343493.852624,675469.851011,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000425","Nodes",,21.000000,24.775352,"Default Known Flow Node","Known Flow",343478.741619,675490.244017,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000426","Nodes",,21.000000,24.784116,"Default Known Flow Node","Known Flow",343488.157622,675527.399027,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000431","Nodes",,21.000000,24.513096,"Default Known Flow Node","Known Flow",343526.534632,675602.260047,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000434","Nodes",,21.000000,23.823224,"DDS demands","Known Flow",343533.687334,675997.726137,,0.000000,,-6.429999,,-5.749820,-6.429999,,"",,"D1 PROFILE",
"64306100000437","Nodes",,21.000000,26.344219,"Default Known Flow Node","Known Flow",343673.300672,675865.573119,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000441","Nodes",,21.000000,25.320136,"Default Known Flow Node","Known Flow",343719.251685,676042.289167,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000442","Nodes",,21.000000,24.278492,"Default Known Flow Node","Known Flow",343352.719585,675861.308118,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000446","Nodes",,21.000000,25.294708,"Default Known Flow Node","Known Flow",343594.910651,675959.837144,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000439","Nodes",,21.000000,26.771033,"Default Known Flow Node","Known Flow",343395.816597,676023.217162,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000435","Nodes",,21.000000,21.429114,"Default Known Flow Node","Known Flow",343530.601634,675912.234131,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000447","Nodes",,21.000000,25.264232,"Default Known Flow Node","Known Flow",343650.978666,675997.583155,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000452","Nodes",,21.000000,25.215979,"Default Known Flow Node","Known Flow",343637.394663,676073.613175,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000454","Nodes",,21.000000,26.791357,"Default Known Flow Node","Known Flow",343773.518700,675757.357089,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000461","Nodes",,21.000000,26.764744,"Default Known Flow Node","Known Flow",343746.106692,675685.622070,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000459","Nodes",,21.000000,26.808344,"Default Known Flow Node","Known Flow",343725.657687,675660.226063,,0.000000,,,,0.000000,0.000000,,"",,,
"64306100000463","Nodes",,21.000000,28.200579,"Default Known Flow Node","Known Flow",343780.592711,675860.587565,,0.000000,,,,0.000000,0.000000,,"",,,
