"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64304100000073","Nodes","-73",21.000000,29.152102,"Default Known Flow Node","Known Flow",357425.740000,638611.950000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000035","Nodes","35",21.000000,29.200585,"DDS demands","Known Flow",357447.365015,638604.450026,,0.000000,,,,,-8.539999,,,,-7.636620,-8.539999,,"",,,,,"D1 PROFILE",,,
"64304100000154","Nodes","154",21.000000,29.359602,"DDS demands","Known Flow",357494.115000,638579.700000,,0.000000,,,,,-0.839999,,,,-0.751143,-0.839999,,"",,,,,"D1 PROFILE",,,
"64304100000189","Nodes","189",21.000000,26.179755,"DDS demands","Known Flow",357382.407403,638534.550961,,0.000000,,,,,-2.300000,,,,-2.056701,-2.300000,,"",,,,,"D1 PROFILE",,,
"64304100000034","Nodes","34",21.000000,26.099121,"DDS demands","Known Flow",357441.931419,638578.505973,,0.000000,,,,,-5.500000,,,,-4.918198,-5.500000,,"",,,,,"D1 PROFILE",,,
"64304100000187","Nodes","187",21.000000,29.176361,"DDS demands","Known Flow",357454.240000,638653.200000,,0.000000,,,,,-5.889999,,,,-5.266943,-5.889999,,"",,,,,"D1 PROFILE",,,
"64304100000155","Nodes","155",21.000000,34.073748,"DDS demands","Known Flow",357439.933418,638507.541953,,0.000000,-4.210000,,,,-5.489999,,,,-8.673913,-9.699999,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"64304100000057","Nodes","-57",21.000000,29.869921,"Default Known Flow Node","Known Flow",357495.740000,638571.950000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64304100000157","Nodes","157",21.000000,29.588062,"DDS demands","Known Flow",357495.240000,638575.825000,,0.000000,,,-3.020000,,,,,,-2.700538,-3.020000,,"",,,"C3  PROFILE",,,,,
"64304100000178","Nodes","178",21.000000,23.690764,"DDS demands","Known Flow",357056.490000,638678.075000,,0.000000,,,,,-15.129999,,,,-13.529516,-15.129999,,"",,,,,"D1 PROFILE",,,
"64304100000082","Nodes","-82",21.000000,23.690856,"Default Known Flow Node","Known Flow",357057.490000,638679.450000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
