"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"64303700000365","Nodes","365",21.000000,33.057280,"DDS demands","Known Flow",334808.114369,661634.215540,,0.000000,,,,,-18.120000,,,,-16.203228,-18.120000,,"",,,,,"D1 PROFILE",,,
"64303700000423","Nodes","423",21.000000,33.554192,"DDS demands","Known Flow",334583.065163,661547.211520,,0.000000,,,-4.619999,,-20.649998,,,,-21.357498,-23.883998,,"",,,"C4 PROFILE",,"D1 PROFILE",,,
"64303700000373","Nodes","373",21.000000,30.049056,"DDS demands","Known Flow",334841.604632,661460.620928,,0.000000,,,,,-19.030000,,,,-17.016967,-19.030000,,"",,,,,"D1 PROFILE",,,
"64303700000479","Nodes","479",21.000000,31.506711,"Default Known Flow Node","Known Flow",334798.721662,661515.884779,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000392","Nodes","392",21.000000,29.818200,"Default Known Flow Node","Known Flow",334933.417897,661518.989118,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000393","Nodes","393",21.000000,29.681147,"Default Known Flow Node","Known Flow",334959.296951,661550.836524,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000396","Nodes","396",21.000000,29.675165,"Default Known Flow Node","Known Flow",334966.161458,661552.234204,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000153","Nodes","153",21.000000,34.357688,"Default Known Flow Node","Known Flow",334515.006780,661512.920985,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000352","Nodes","352",21.000000,32.859204,"DDS demands","Known Flow",334839.211174,661890.935139,,0.000000,,,,,-18.360000,,,,-16.417840,-18.360000,,"",,,,,"D1 PROFILE",,,
"64303700000034","Nodes","34",21.000000,43.866148,"DDS demands","Known Flow",333484.797272,662087.529434,,0.000000,,,,,-10.979999,,,,-9.818512,-10.979999,,"",,,,,"D1 PROFILE",,,
"64303700000411","Nodes","411",21.000000,37.075074,"Default Known Flow Node","Known Flow",333988.079830,662346.878306,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000445","Nodes","445",21.000000,37.788923,"DDS demands","Known Flow",333894.857012,662431.332463,,0.000000,,,,,-19.050000,,,,-17.034851,-19.050000,,"",,,,,"D1 PROFILE",,,
"64303700000323","Nodes","323",21.000000,39.193574,"DDS demands","Known Flow",333957.254965,662056.169877,,0.000000,,,,,-16.690000,,,,-14.924497,-16.690000,,"",,,,,"D1 PROFILE",,,
"64303700000324","Nodes","324",21.000000,39.280792,"Default Known Flow Node","Known Flow",333982.446234,662071.412221,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000325","Nodes","325",21.000000,39.052065,"DDS demands","Known Flow",333988.338088,662008.630530,,0.000000,,,,,-7.050000,,,,-6.304236,-7.050000,,"",,,,,"D1 PROFILE",,,
"64303700000326","Nodes","326",21.000000,39.052065,"Default Known Flow Node","Known Flow",333996.181428,662000.397272,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000022","Nodes","22",21.000000,37.801782,"DDS demands","Known Flow",333889.193328,662421.890006,,0.000000,,,,,-6.300000,,,,-5.633573,-6.300000,,"",,,,,"D1 PROFILE",,,
"64303700000463","Nodes","463",21.000000,36.610957,"DDS demands","Known Flow",333824.520790,662381.695710,,0.000000,,,,,-8.970000,,,,-8.021135,-8.970000,,"",,,,,"D1 PROFILE",,,
"64303700000464","Nodes","464",21.000000,35.076512,"DDS demands","Known Flow",333776.473274,662341.610763,,0.000000,,,,,-7.900000,,,,-7.064321,-7.900000,,"",,,,,"D1 PROFILE",,,
"64303700000466","Nodes","466",21.000000,33.987267,"DDS demands","Known Flow",333801.233730,662305.516125,,0.000000,,,,,-4.860000,,,,-4.345898,-4.860000,,"",,,,,"D1 PROFILE",,,
"64303700000410","Nodes","410",21.000000,37.073578,"Default Known Flow Node","Known Flow",334017.333353,662349.296385,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000041","Nodes","41",21.000000,34.150971,"DDS demands","Known Flow",334446.431728,662344.278461,,0.000000,,,,,-8.020000,,,,-7.171628,-8.020000,,"",,,,,"D1 PROFILE",,,
"64303700000040","Nodes","40",21.000000,33.979991,"DDS demands","Known Flow",334381.561311,662302.022421,,0.000000,,,,,-14.270000,,,,-12.760490,-14.270000,,"",,,,,"D1 PROFILE",,,
"64303700000356","Nodes",,21.000000,32.623755,"DDS demands","Known Flow",334472.047347,662139.302819,,0.000000,,,,,-8.069999,,,,-7.216338,-8.069999,,"",,,,,"D1 PROFILE",,,
"64303700000419","Nodes","419",21.000000,38.255851,"Default Known Flow Node","Known Flow",334027.633752,662307.460880,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000430","Nodes","430",21.000000,38.638652,"DDS demands","Known Flow",334002.846716,662275.779609,,0.000000,-2.949999,,,,,,,,-2.637942,-2.949999,,"","C1 PROFILE",,,,,,,
"64303700000039","Nodes","39",21.000000,34.811480,"DDS demands","Known Flow",334441.009791,662194.460645,,0.000000,,,,,-12.810000,,,,-11.454931,-12.810000,,"",,,,,"D1 PROFILE",,,
"64303700000194","Nodes","194",21.000000,36.601989,"DDS demands","Known Flow",334309.388132,662120.331003,,0.000000,,,,,-7.580000,,,,-6.778171,-7.580000,,"",,,,,"D1 PROFILE",,,
"64303700000189","Nodes","189",21.000000,35.605211,"DDS demands","Known Flow",334378.011679,662159.333011,,0.000000,,,,,-9.699999,,,,-8.673912,-9.699999,,"",,,,,"D1 PROFILE",,,
"64303700000190","Nodes","190",21.000000,35.493122,"DDS demands","Known Flow",334357.226565,662231.257543,,0.000000,,,,,-5.070000,,,,-4.533684,-5.070000,,"",,,,,"D1 PROFILE",,,
"64303700000036","Nodes","36",21.000000,39.461619,"DDS demands","Known Flow",334108.869225,662131.229540,,0.000000,-16.110000,,-4.839999,,-6.380000,,,,-23.140572,-25.878000,,"","C1 PROFILE",,"C4 PROFILE",,"D1 PROFILE",,,
"64303700000329","Nodes","329",21.000000,39.164873,"DDS demands","Known Flow",334049.093042,662066.524523,,0.000000,,,,,-17.350000,,,,-15.514680,-17.350000,,"",,,,,"D1 PROFILE",,,
"64303700000331","Nodes","331",21.000000,39.033477,"Default Known Flow Node","Known Flow",334020.088270,662040.661702,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000330","Nodes","330",21.000000,39.161598,"DDS demands","Known Flow",334081.955808,662031.634609,,0.000000,,,,,-5.160000,,,,-4.614164,-5.160000,,"",,,,,"D1 PROFILE",,,
"64303700000332","Nodes","332",21.000000,39.164873,"Default Known Flow Node","Known Flow",334030.343647,662031.002364,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000414","Nodes","414",21.000000,38.607965,"Default Known Flow Node","Known Flow",334012.940725,662274.785132,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000416","Nodes","416",21.000000,38.355661,"Default Known Flow Node","Known Flow",334033.902606,662271.561870,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000415","Nodes","415",21.000000,38.237119,"Default Known Flow Node","Known Flow",334022.071407,662264.803296,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000431","Nodes","431",21.000000,38.656869,"Default Known Flow Node","Known Flow",334012.789484,662270.413642,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000192","Nodes","192",21.000000,30.793725,"DDS demands","Known Flow",334329.482206,662363.848060,,0.000000,,,,,-13.020000,,,,-11.642717,-13.020000,,"",,,,,"D1 PROFILE",,,
"64303700000461","Nodes","461",21.000000,29.883133,"DDS demands","Known Flow",334289.462282,662371.286414,,0.000000,,,,,-2.209999,,,,-1.976221,-2.209999,,"",,,,,"D1 PROFILE",,,
"64303700000432","Nodes","432",21.000000,32.564279,"Default Known Flow Node","Known Flow",334979.204508,662013.750149,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000335","Nodes","335",21.000000,34.360606,"DDS demands","Known Flow",334513.223023,662206.584724,,0.000000,,,,,-5.610000,,,,-5.016562,-5.610000,,"",,,,,"D1 PROFILE",,,
"64303700000336","Nodes",,21.000000,34.263385,"DDS demands","Known Flow",334557.559664,662088.005559,,0.000000,,,,,-13.739999,,,,-12.286554,-13.739999,,"",,,,,"D1 PROFILE",,,
"64303700000334","Nodes","P07113421, Plots 1-32, Burnside Road CSEP, -31.57SCMH",24.000000,34.303532,"CSEP DDS Matched","Known Flow",334557.619192,662222.422406,,0.000000,,,,,,-31.570000,,,-19.761321,-22.098999,,"",,,,,,"DC PROFILE",,
"64303700000348","Nodes","348",21.000000,33.455716,"Default Known Flow Node","Known Flow",334691.032071,662184.283820,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000342","Nodes","P07114396, Barleyknowe Crescent CSEP, -52.06SCMH",24.000000,32.345560,"CSEP DDS Matched","Known Flow",334418.020330,662391.858899,,0.000000,,,,,,-52.060001,,,-32.587089,-36.442001,,"",,,,,,"DC PROFILE",,
"64303700000337","Nodes","337",21.000000,35.206806,"DDS demands","Known Flow",334611.200743,661930.157536,,0.000000,,,,,-8.329999,,,,-7.448834,-8.329999,,"",,,,,"D1 PROFILE",,,
"64303700000343","Nodes","343",21.000000,33.650428,"DDS demands","Known Flow",334658.371391,662129.951818,,0.000000,,,,,-5.709999,,,,-5.105984,-5.709999,,"",,,,,"D1 PROFILE",,,
"64303700000344","Nodes","344",21.000000,33.508017,"DDS demands","Known Flow",334702.273690,662120.112081,,0.000000,,,,,-9.750000,,,,-8.718624,-9.750000,,"",,,,,"D1 PROFILE",,,
"64303700000345","Nodes","345",21.000000,33.624470,"DDS demands","Known Flow",334729.787377,662143.934316,,0.000000,,,,,-15.630000,,,,-13.976626,-15.630000,,"",,,,,"D1 PROFILE",,,
"64303700000346","Nodes","346",21.000000,33.587223,"Default Known Flow Node","Known Flow",334752.930388,662126.837098,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64303700000347","Nodes","347",21.000000,33.537205,"DDS demands","Known Flow",334785.692524,662103.836421,,0.000000,,,,,-4.230000,,,,-3.782541,-4.230000,,"",,,,,"D1 PROFILE",,,
"64303700000446","Nodes",,21.000000,37.396645,"DDS demands","Known Flow",333773.638781,662634.164559,,0.000000,,,,,-27.670000,,,,-24.743009,-27.670000,,"",,,,,"D1 PROFILE",,,
"64303700000447","Nodes",,21.000000,36.932853,"DDS demands","Known Flow",333682.386742,662771.666143,,0.000000,,,,,-16.120001,,,,-14.414793,-16.120001,,"",,,,,"D1 PROFILE",,,
"64303700000183","Nodes","183",21.000000,25.701464,"DDS demands","Known Flow",334374.444541,660908.746380,,0.000000,,,,,-2.259999,,,,-2.020932,-2.259999,,"",,,,,"D1 PROFILE",,,
"64303700000473","Nodes","473",21.000000,32.862851,"DDS demands","Known Flow",334327.845544,661461.501507,,0.000000,,,,,-10.430000,,,,-9.326693,-10.430000,,"",,,,,"D1 PROFILE",,,
"64303700000307","Nodes","307",21.000000,29.179388,"DDS demands","Known Flow",334956.318665,661469.118510,,0.000000,,,,,-7.909999,,,,-7.073263,-7.909999,,"",,,,,"D1 PROFILE",,,
"64303700000306","Nodes","306",21.000000,29.433681,"DDS demands","Known Flow",334894.162986,661487.584479,,0.000000,,,,,-18.830000,,,,-16.838123,-18.830000,,"",,,,,"D1 PROFILE",,,
"64303700000424","Nodes","424",21.000000,31.756766,"DDS demands","Known Flow",334647.397505,661482.872494,,0.000000,,,,,-1.070000,,,,-0.956813,-1.070000,,"",,,,,"D1 PROFILE",,,
"64303700000421","Nodes","421",21.000000,29.660903,"DDS demands","Known Flow",334722.322737,661444.245977,,0.000000,,,,,-20.490000,,,,-18.322526,-20.490000,,"",,,,,"D1 PROFILE",,,
"64303700000475","Nodes","475",21.000000,33.567869,"DDS demands","Known Flow",334328.651353,661537.095487,,0.000000,,,,,-15.109999,,,,-13.511631,-15.109999,,"",,,,,"D1 PROFILE",,,
"64303700000304","Nodes","304",21.000000,44.493580,"Default Known Flow Node","Known Flow",333484.877641,662048.609374,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
