"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64303400000096","Nodes","96",21.000000,41.799666,"DDS demands","Known Flow",356032.119035,634219.084786,,0.000000,,,,,,-1.339999,,,,,-1.198251,-1.339999,,"",,,,,,"D1 PROFILE",,,,
"64303400002245","Nodes","2245",21.000000,32.383249,"Default Known Flow Node","Known Flow",356240.376092,634283.581804,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000003","Nodes","NEWSTEAD DG, Clocked, Site ID 6300",21.000000,43.000001,"Default Known Pressure Node","Known Pressure",356033.887036,634194.587780,,999998.967025,,,,,,,,,,,86.542410,96.779997,,"",,,,,,,,,,
"64303400000214","Nodes","214",21.000000,32.920270,"DDS demands","Known Flow",356247.117094,634150.818768,,0.000000,,,,,,-11.310000,,,,,-10.113604,-11.310000,,"",,,,,,"D1 PROFILE",,,,
"64303400000233","Nodes","233",21.000000,28.962968,"Default Known Flow Node","Known Flow",356452.723150,634221.571787,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000234","Nodes","234",21.000000,28.942537,"Default Known Flow Node","Known Flow",356461.756152,634222.687787,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000235","Nodes","235",21.000000,28.338328,"Default Known Flow Node","Known Flow",356479.602157,634195.964780,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000236","Nodes","236",21.000000,28.185457,"Default Known Flow Node","Known Flow",356481.348158,634188.576778,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000237","Nodes","237",21.000000,26.971935,"DDS demands","Known Flow",356412.902139,634157.829770,,0.000000,,,,,,-11.340000,,,,,-10.140432,-11.340000,,"",,,,,,"D1 PROFILE",,,,
"64303400000261","Nodes","261",21.000000,26.732707,"DDS demands","Known Flow",356353.687903,634153.699956,,0.000000,,,,,,-4.130000,,,,,-3.693120,-4.130000,,"",,,,,,"D1 PROFILE",,,,
"64303400002321","Nodes","2321",21.000000,26.732707,"Default Known Flow Node","Known Flow",356352.452122,634153.613769,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000010","Nodes","10",21.000000,26.446482,"DDS demands","Known Flow",356324.762115,634174.684774,,0.000000,,,,,,-4.389999,,,,,-3.925616,-4.389999,,"",,,,,,"D1 PROFILE",,,,
"64303400002243","Nodes","2243",21.000000,26.446482,"Default Known Flow Node","Known Flow",356315.771113,634174.526774,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002306","Nodes","2306",21.000000,29.443735,"Default Known Flow Node","Known Flow",356406.728629,634221.504333,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002241","Nodes","2241",21.000000,29.978193,"Default Known Flow Node","Known Flow",356367.712127,634259.482797,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002228","Nodes","2228",21.000000,29.405783,"DDS demands","Known Flow",356385.855132,634198.985781,,0.000000,,,,,,-0.639999,,,,,-0.572299,-0.639999,,"",,,,,,"D1 PROFILE",,,,
