"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64404000010220","Nodes",,21.000000,27.388905,"Default Known Flow Node","Known Flow",278314.969888,701692.411146,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010224","Nodes",,21.000000,25.695585,"Default Known Flow Node","Known Flow",278396.993910,703709.634695,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010225","Nodes",,21.000000,25.916907,"Default Known Flow Node","Known Flow",278456.148926,703716.082697,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010226","Nodes","10226",21.000000,25.485768,"DDS demands","Known Flow",278381.039906,703870.838739,,0.000000,,,,,,-3.170000,,,,,,-2.834670,-3.170000,,"",,,,,,"D1 PROFILE",,,,,
"64404000010228","Nodes",,21.000000,31.462061,"Default Known Flow Node","Known Flow",278735.857002,700975.437951,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010309","Nodes",,21.000000,31.418211,"Default Known Flow Node","Known Flow",278737.157667,700973.387077,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010318","Nodes","10318",21.000000,33.513817,"DDS demands","Known Flow",278946.433060,701104.790987,,0.000000,,,,,,-14.519999,,,,,,-12.984044,-14.519999,,"",,,,,,"D1 PROFILE",,,,,
"64404000010232","Nodes",,21.000000,32.911194,"Default Known Flow Node","Known Flow",278951.142061,700880.335925,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010234","Nodes",,21.000000,32.950829,"Default Known Flow Node","Known Flow",278957.691063,700885.754927,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010238","Nodes",,21.000000,32.043086,"Default Known Flow Node","Known Flow",278864.514354,700729.713046,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010239","Nodes",,21.000000,32.030995,"Default Known Flow Node","Known Flow",278863.875037,700728.859884,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010240","Nodes",,21.000000,32.487025,"Default Known Flow Node","Known Flow",278883.542042,700839.217914,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010241","Nodes",,21.000000,32.487025,"Default Known Flow Node","Known Flow",278885.962043,700834.845913,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010244","Nodes",,21.000000,30.764272,"Default Known Flow Node","Known Flow",278941.235058,700646.406862,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010243","Nodes",,21.000000,30.330541,"Default Known Flow Node","Known Flow",279205.059130,700478.209816,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010231","Nodes",,21.000000,33.209580,"Default Known Flow Node","Known Flow",278958.708063,700915.841935,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010245","Nodes",,21.000000,32.913243,"Default Known Flow Node","Known Flow",278999.206074,700910.699934,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010273","Nodes",,21.000000,31.741098,"Default Known Flow Node","Known Flow",278814.635594,700833.632992,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010248","Nodes",,21.000000,32.084523,"Default Known Flow Node","Known Flow",278831.875028,700792.857902,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010251","Nodes",,21.000000,32.043811,"Default Known Flow Node","Known Flow",278863.138037,700731.710885,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010250","Nodes",,21.000000,31.931547,"Default Known Flow Node","Known Flow",278866.828038,700728.887884,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010252","Nodes",,21.000000,31.440119,"Default Known Flow Node","Known Flow",278774.818013,700923.169937,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010253","Nodes","10253",21.000000,31.699162,"DDS demands","Known Flow",278777.692014,700930.044939,,0.000000,,,,,,-1.019999,,,,,,-0.912102,-1.019999,,"",,,,,,"D1 PROFILE",,,,,
"64404000010254","Nodes","10254",21.000000,30.694318,"DDS demands","Known Flow",278978.415068,700632.916858,,0.000000,,,,,,-7.580000,,,,,,-6.778171,-7.580000,,"",,,,,,"D1 PROFILE",,,,,
"64404000010255","Nodes",,21.000000,30.517702,"Default Known Flow Node","Known Flow",278972.471067,700622.303855,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010532","Nodes",,21.000000,31.995819,"Default Known Flow Node","Known Flow",279023.302080,700826.822911,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010258","Nodes",,21.000000,32.532497,"Default Known Flow Node","Known Flow",278898.507046,700842.381915,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010260","Nodes",,21.000000,32.934403,"Default Known Flow Node","Known Flow",278955.283062,700883.153926,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010262","Nodes",,21.000000,30.565635,"Default Known Flow Node","Known Flow",278983.837070,700578.830843,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010264","Nodes",,21.000000,32.997122,"Default Known Flow Node","Known Flow",278959.695063,700890.792928,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010267","Nodes",,21.000000,32.532497,"Default Known Flow Node","Known Flow",278896.064218,700846.509625,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010268","Nodes",,21.000000,33.198823,"Default Known Flow Node","Known Flow",278959.140063,700910.030934,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010269","Nodes",,21.000000,32.487025,"Default Known Flow Node","Known Flow",278902.542048,700805.451905,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010270","Nodes",,21.000000,30.497508,"Default Known Flow Node","Known Flow",279011.168077,700558.281838,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010246","Nodes",,21.000000,31.740414,"Default Known Flow Node","Known Flow",278818.814025,700823.676910,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010272","Nodes",,21.000000,31.741098,"Default Known Flow Node","Known Flow",278808.003022,700829.798912,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010275","Nodes",,21.000000,30.510730,"Default Known Flow Node","Known Flow",279000.769074,700566.174840,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010276","Nodes",,21.000000,32.315283,"Default Known Flow Node","Known Flow",279064.904092,700943.502943,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010286","Nodes",,21.000000,32.749067,"Default Known Flow Node","Known Flow",278911.532050,701210.180015,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010287","Nodes",,21.000000,33.771750,"Default Known Flow Node","Known Flow",278930.067055,701167.243004,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010288","Nodes",,21.000000,33.787820,"Default Known Flow Node","Known Flow",278929.767055,701168.518004,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010289","Nodes",,21.000000,32.781489,"Default Known Flow Node","Known Flow",278914.351051,701208.213015,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010333","Nodes",,21.000000,33.698579,"Default Known Flow Node","Known Flow",278929.591055,701170.684004,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010290","Nodes",,21.000000,33.449812,"Default Known Flow Node","Known Flow",278951.831332,701062.582994,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
