"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401500001031","Nodes","1031",21.000000,25.871149,"Default Known Flow Node","Known Flow",269307.323492,655791.554731,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000604","Nodes","604",21.000000,25.871357,"Default Known Flow Node","Known Flow",269308.464437,655790.705656,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000600","Nodes","600",21.000000,25.869661,"DDS demands","Known Flow",269286.339431,655808.830661,,0.000000,,,,,,,-4.079999,,,,,,,,-3.648408,-4.079999,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500031624","Nodes","31624",21.000000,41.570684,"Default Known Flow Node","Known Flow",271525.746769,656656.221442,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500001103","Nodes","P00004427, Bothwell Road, Hamilton, 50.96 ( CT 78.37 )",26.000000,42.714770,"CSEP DDS Matched","Known Flow",271549.926187,656670.806278,,0.000000,,,,,,0.000000,,-51.729999,,,,,,,-46.257893,-51.729999,,"",,,,,,"CT PROFILE",,"DC PROFILE",,,,,,
"64401500033906","Nodes","33906",21.000000,40.425820,"Default Known Flow Node","Known Flow",272127.215204,654588.955329,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500030247","Nodes","30247",21.000000,36.084735,"Default Known Flow Node","Known Flow",269890.588735,656722.078106,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500032488","Nodes","32488",21.000000,36.060986,"Default Known Flow Node","Known Flow",269895.339597,656715.955908,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000177","Nodes","177,",21.000000,42.263824,"DDS demands","Known Flow",268760.714288,657689.956173,,0.000000,-5.480000,-85.120006,,,,,-8.130000,,,,,,,,-88.286136,-98.730004,,"","C1 PROFILE","C2 PROFILE",,,,,"D1 PROFILE",,,,,,,
"64401500001032","Nodes","1032",21.000000,39.907863,"Default Known Flow Node","Known Flow",268844.781774,657632.476358,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500031947","Nodes","31947",21.000000,37.912749,"Default Known Flow Node","Known Flow",268918.964331,657580.081143,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500000682","Nodes","682",21.000000,39.733637,"DDS demands","Known Flow",269933.755607,655002.867442,,0.000000,,,,,,,-16.780000,,,,,,,,-15.004977,-16.780000,,"",,,,,,,"D1 PROFILE",,,,,,,
"64401500001012","Nodes","1012",21.000000,39.863126,"Default Known Flow Node","Known Flow",269903.455902,654986.202070,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"64401500034450","Nodes","34450",21.000000,49.139663,"Default Known Flow Node","Known Flow",272667.215351,661551.457224,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
