"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64403200000051","Nodes","51",21.000000,27.699785,"DDS demands","Known Flow",287539.742931,696870.845956,,0.000000,,,,,-6.229999,,,,-5.570977,-6.229999,,"",,,,,"D1 PROFILE",,,
"64403200005039","Nodes","5039",21.000000,28.438900,"Default Known Flow Node","Known Flow",287511.752612,696911.489038,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000058","Nodes","58",21.000000,25.544870,"DDS demands","Known Flow",287546.227671,696807.846313,,0.000000,,,,,-13.990000,,,,-12.510108,-13.990000,,"",,,,,"D1 PROFILE",,,
"64403200005043","Nodes","5043",21.000000,25.445068,"Default Known Flow Node","Known Flow",287528.526411,696829.837019,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000056","Nodes","56",21.000000,25.490126,"DDS demands","Known Flow",287579.786409,696886.662839,,0.000000,,,,,-11.419999,,,,-10.211968,-11.419999,,"",,,,,"D1 PROFILE",,,
"64403200000218","Nodes","218",21.000000,26.740285,"DDS demands","Known Flow",287654.931429,696966.650860,,0.000000,,,,,-9.549999,,,,-8.539781,-9.549999,,"",,,,,"D1 PROFILE",,,
"64403200000057","Nodes","57",21.000000,25.238861,"DDS demands","Known Flow",287580.045409,696807.901817,,0.000000,,,,,-8.660000,,,,-7.743927,-8.660000,,"",,,,,"D1 PROFILE",,,
"64403200000467","Nodes","467",21.000000,24.524085,"DDS demands","Known Flow",287620.188420,696808.496817,,0.000000,,,,,-0.880000,,,,-0.786911,-0.880000,,"",,,,,"D1 PROFILE",,,
"64403200000468","Nodes","468",21.000000,24.399221,"DDS demands","Known Flow",287620.204420,696795.063814,,0.000000,,,,,-2.109999,,,,-1.886799,-2.109999,,"",,,,,"D1 PROFILE",,,
"64403200005050","Nodes","5050",21.000000,23.937897,"Default Known Flow Node","Known Flow",287658.958929,696808.952363,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000463","Nodes","463",21.000000,23.854244,"DDS demands","Known Flow",287676.433435,696809.114818,,0.000000,,,,,-0.730000,,,,-0.652779,-0.730000,,"",,,,,"D1 PROFILE",,,
"64403200000464","Nodes","464",21.000000,23.582488,"DDS demands","Known Flow",287676.077435,696794.007814,,0.000000,,,,,-3.130000,,,,-2.798902,-3.130000,,"",,,,,"D1 PROFILE",,,
"64403200000420","Nodes","420",21.000000,23.811882,"DDS demands","Known Flow",287696.919441,696811.454818,,0.000000,,,,,-8.729999,,,,-7.806521,-8.729999,,"",,,,,"D1 PROFILE",,,
"64403200000421","Nodes","421",21.000000,23.624493,"DDS demands","Known Flow",287743.342453,696771.485807,,0.000000,,,,,-3.569999,,,,-3.192357,-3.569999,,"",,,,,"D1 PROFILE",,,
"64403200005053","Nodes","5053",21.000000,23.292799,"DDS demands","Known Flow",287771.518461,696771.036807,,0.000000,,,,,-2.430000,,,,-2.172949,-2.430000,,"",,,,,"D1 PROFILE",,,
"64403200000461","Nodes","461",21.000000,23.856611,"DDS demands","Known Flow",287743.184453,696842.596827,,0.000000,,,,,-0.680000,,,,-0.608068,-0.680000,,"",,,,,"D1 PROFILE",,,
"64403200000462","Nodes","462",21.000000,23.835492,"DDS demands","Known Flow",287748.784455,696823.919822,,0.000000,,,,,-3.380000,,,,-3.022456,-3.380000,,"",,,,,"D1 PROFILE",,,
"64403200000459","Nodes","459",21.000000,23.908589,"Default Known Flow Node","Known Flow",287770.274461,696854.523830,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000460","Nodes","460",21.000000,23.845868,"DDS demands","Known Flow",287776.036462,696858.880831,,0.000000,,,,,-2.030000,,,,-1.815262,-2.030000,,"",,,,,"D1 PROFILE",,,
"64403200000458","Nodes","458",21.000000,23.914342,"DDS demands","Known Flow",287755.429457,696867.924834,,0.000000,,,,,-2.450000,,,,-2.190834,-2.450000,,"",,,,,"D1 PROFILE",,,
"64403200005051","Nodes","5051",21.000000,23.861008,"Default Known Flow Node","Known Flow",287744.402988,696844.380227,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000060","Nodes","60",21.000000,23.959866,"Default Known Flow Node","Known Flow",287757.181457,696878.588837,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000455","Nodes","455",21.000000,24.092407,"DDS demands","Known Flow",287755.073456,696911.010845,,0.000000,,,,,-4.909999,,,,-4.390609,-4.909999,,"",,,,,"D1 PROFILE",,,
"64403200000457","Nodes","457",21.000000,23.220815,"DDS demands","Known Flow",287773.013461,696905.948844,,0.000000,,,,,-4.650000,,,,-4.158113,-4.650000,,"",,,,,"D1 PROFILE",,,
"64403200000453","Nodes","453",21.000000,24.493078,"DDS demands","Known Flow",287741.084453,696937.208852,,0.000000,,,,,-6.710000,,,,-6.000202,-6.710000,,"",,,,,"D1 PROFILE",,,
"64403200005052","Nodes","5052",21.000000,24.120056,"Default Known Flow Node","Known Flow",287754.325456,696913.749846,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000454","Nodes","454",21.000000,24.415337,"DDS demands","Known Flow",287734.611451,696965.041860,,0.000000,,,,,-4.650000,,,,-4.158113,-4.650000,,"",,,,,"D1 PROFILE",,,
"64403200000451","Nodes","451",21.000000,26.126225,"DDS demands","Known Flow",287676.305435,696967.615861,,0.000000,,,,,-3.130000,,,,-2.798902,-3.130000,,"",,,,,"D1 PROFILE",,,
"64403200000452","Nodes","452",21.000000,26.107223,"DDS demands","Known Flow",287705.538443,696981.522865,,0.000000,,,,,-2.519999,,,,-2.253428,-2.519999,,"",,,,,"D1 PROFILE",,,
"64403200000480","Nodes","480",21.000000,26.281180,"DDS demands","Known Flow",287576.524408,696956.656858,,0.000000,,,,,-10.620000,,,,-9.496594,-10.620000,,"",,,,,"D1 PROFILE",,,
"64403200000357","Nodes","357",21.000000,27.913939,"DDS demands","Known Flow",287967.934514,696968.489861,,0.000000,,,,,-14.680000,,,,-13.127118,-14.680000,,"",,,,,"D1 PROFILE",,,
"64403200005064","Nodes","5064",21.000000,28.174263,"Default Known Flow Node","Known Flow",287990.570520,696986.516866,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005063","Nodes","5063",21.000000,27.906132,"Default Known Flow Node","Known Flow",287968.021383,696966.639352,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000356","Nodes","356",21.000000,27.720323,"DDS demands","Known Flow",287909.635498,696943.185854,,0.000000,,,,,-5.480000,,,,-4.900314,-5.480000,,"",,,,,"D1 PROFILE",,,
"64403200005057","Nodes","5057",21.000000,27.720323,"Default Known Flow Node","Known Flow",287909.402498,696938.269853,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200000222","Nodes","222",21.000000,27.642656,"DDS demands","Known Flow",287939.174121,696938.505957,,0.000000,,,,,-5.369999,,,,-4.801949,-5.369999,,"",,,,,"D1 PROFILE",,,
"64403200005059","Nodes","5059",21.000000,27.642656,"Default Known Flow Node","Known Flow",287937.441506,696938.415853,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64403200005058","Nodes","5058",21.000000,27.642656,"Default Known Flow Node","Known Flow",287926.933503,696934.019852,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
