"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64301500000198","Nodes","198",21.000000,36.093000,"DDS demands","Known Flow",294962.226938,577480.055010,,0.000000,,,,,,,-6.280000,,,,,,,-5.615688,-6.280000,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001068","Nodes","1068",21.000000,24.247879,"Default Known Flow Node","Known Flow",299837.935767,576330.180300,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500001071","Nodes","1071",21.000000,24.246636,"DDS demands","Known Flow",299818.566978,576364.678996,,0.000000,,,,,,,-1.019999,,,,,,,-0.912102,-1.019999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001034","Nodes","1034",21.000000,24.246636,"Default Known Flow Node","Known Flow",299816.904012,576376.432501,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500009194","Nodes","9194",21.000000,24.205561,"DDS demands","Known Flow",299835.755759,576273.680302,,0.000000,,,,,,,-1.399999,,,,,,,-1.251905,-1.399999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001069","Nodes","Low Point, Brownrigg Loaning, ID: 6446",21.000000,24.205442,"Low Point","Known Flow",299836.552903,576288.681099,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500000274","Nodes","274",21.000000,35.774099,"DDS demands","Known Flow",298646.239420,578403.638598,,0.000000,,,,,,,-10.889999,,,,,,,-9.738032,-10.889999,,"",,,,,,,"D1 PROFILE",,,,,,
"64301500001046","Nodes","1046",21.000000,35.774099,"Default Known Flow Node","Known Flow",298650.378097,578399.620263,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500158695","Nodes","158695",21.000000,35.774099,"Default Known Flow Node","Known Flow",298661.543424,578388.779594,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64301500002178","Nodes","2178",21.000000,30.218661,"Default Known Flow Node","Known Flow",296729.721898,577224.684278,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
