"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64400800001028","Nodes","Logger 7001, Falkland Drive",21.000000,30.114680,"Val Log Cath","Known Flow",262432.657982,654398.208742,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800002186","Nodes","2186, P08118915, St Bides High School, 37.57scm/h",24.000000,32.163975,"CSEP DDS Matched","Known Flow",264149.972220,654003.172699,,0.000000,,,,,,,,-37.569999,,,,,,,,,-33.595766,-37.569999,,,"",,,,,,,,"DC PROFILE",,,,,,,,,
"64400800001114","Nodes","1114",21.000000,39.382657,"DDS demands","Known Flow",262237.587513,652905.079871,,0.000000,,,,,,,-6.550000,,,,,,,,,,-5.857127,-6.550000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800001027","Nodes","Logger 9875, Laburnam Avenue",21.000000,39.326195,"Val Log Cath","Known Flow",262275.573195,652943.065554,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001112","Nodes","1112",21.000000,39.309083,"DDS demands","Known Flow",262287.087526,652954.579884,,0.000000,,,,,,,-3.549999,,,,,,,,,,-3.174473,-3.549999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800001619","Nodes","1619",21.000000,33.740739,"DDS demands","Known Flow",259978.586898,653681.830082,,0.000000,,,,,,,-5.650000,,,,,,,,,,-5.052331,-5.650000,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800001026","Nodes","Logger 9891, Gardenhall",21.000000,33.644511,"Val Log Cath","Known Flow",259969.877420,653700.833515,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800001622","Nodes","1622",21.000000,33.638128,"DDS demands","Known Flow",259965.388696,653717.336957,,0.000000,,,,,,,-1.259999,,,,,,,,,,-1.126714,-1.259999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"64400800000091","Nodes","91",21.000000,25.983004,"DDS demands","Known Flow",264154.588035,655130.705477,,0.000000,,-1.409999,,,,,-20.079999,,,,,,,,,,-19.216742,-21.489999,,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,,,,,
"64400800001025","Nodes","Logger 7042, Logie Park",21.000000,25.882222,"Val Log Cath","Known Flow",264182.815752,655143.794204,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800002268","Nodes","2268",21.000000,25.811196,"Default Known Flow Node","Known Flow",264206.713049,655174.955489,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
"64400800000302","Nodes","302",21.000000,38.188725,"Default Known Flow Node","Known Flow",261668.771041,653197.932563,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,,
