"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82060300000271","Nodes","271",21.000000,52.005345,"DDS demands","Known Flow",480031.415777,97089.068629,,0.000000,,,,,-2.509999,,,,,,,-2.244486,-2.509999,,"",,,,,"D1 PROFILE",,,,,,
"82060300062351","Nodes","62351",21.000000,52.134465,"Default Known Flow Node","Known Flow",480872.160006,97001.306605,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300062352","Nodes","62352",21.000000,52.134465,"Default Known Flow Node","Known Flow",480888.599010,97035.217614,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000201","Nodes","201",21.000000,69.803240,"Default Known Flow Node","Known Flow",480095.389794,97815.981827,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000202","Nodes","202",21.000000,69.762834,"DDS demands","Known Flow",480129.572804,97780.768817,,0.000000,-0.389999,,,,,,,,-0.230000,,,-0.533848,-0.596999,,"","C1 PROFILE",,,,,,,,"I2 PROFILE",,
"82060300000203","Nodes","203",21.000000,69.738629,"DDS demands","Known Flow",480151.789164,97757.564660,,0.000000,-2.630000,,,,-1.070000,,,,,,,-3.308606,-3.700000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,
"82060300000205","Nodes","205",21.000000,69.737987,"Default Known Flow Node","Known Flow",480162.701813,97746.166808,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000208","Nodes","208",21.000000,69.736163,"DDS demands","Known Flow",480196.977822,97720.095801,,0.000000,,,,,,,,,-2.609999,,,-2.100517,-2.348999,,"",,,,,,,,,"I2 PROFILE",,
"82060300000209","Nodes","209",21.000000,69.736163,"Default Known Flow Node","Known Flow",480210.321157,97731.757691,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043595","Nodes","43595",21.000000,69.803240,"Default Known Flow Node","Known Flow",480089.126793,97810.403825,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043601","Nodes","43601",21.000000,69.762834,"Default Known Flow Node","Known Flow",480123.700802,97774.240815,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000204","Nodes","204",21.000000,69.700154,"DDS demands","Known Flow",480169.151814,97774.334815,,0.000000,,,,,,,,,-5.630000,,,-4.531002,-5.066999,,"",,,,,,,,,"I2 PROFILE",,
"82060300043605","Nodes","43605",21.000000,69.737987,"Default Known Flow Node","Known Flow",480156.232811,97740.753806,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043606","Nodes","43606",21.000000,69.737724,"Default Known Flow Node","Known Flow",480161.152812,97735.396805,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043614","Nodes","43614",21.000000,69.736574,"Default Known Flow Node","Known Flow",480180.825818,97715.840799,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043617","Nodes","43617",21.000000,69.736163,"Default Known Flow Node","Known Flow",480202.719824,97712.953799,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043620","Nodes","43620",21.000000,69.736163,"Default Known Flow Node","Known Flow",480216.881827,97725.605802,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000211","Nodes","211",21.000000,69.736163,"Default Known Flow Node","Known Flow",480212.116826,97762.342812,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008004","Nodes","Logger 13, Coney Road",21.000000,57.767960,"Val Log Cath","Known Flow",479854.695304,96917.503188,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300008003","Nodes","Logger 1120, Farm Road",21.000000,48.880553,"Val Log Cath","Known Flow",480996.515175,96254.993055,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000321","Nodes","321",21.000000,43.275903,"DDS demands","Known Flow",481090.494065,96443.553453,,0.000000,,,,,-3.170000,,,,,,,-2.834670,-3.170000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000317","Nodes","S205511 (809788), Woodborough Close, 60.00",22.999998,43.662180,"CSEP DDS Matched","Known Flow",481104.394069,96375.309435,,0.000000,,,,,-2.269999,-31.260999,,,,,,-29.984019,-33.531000,,"",,,,,"D1 PROFILE","DC PROFILE",,,,,
"82060300000007","Nodes","7",21.000000,67.101468,"Default Known Flow Node","Known Flow",480544.157936,96703.157179,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
