"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82011400000287","Nodes","287",21.000000,42.366922,"DDS demands","Known Flow",446047.199998,147972.126680,,0.000000,,,,,,-13.409999,,,,,-11.991461,-13.409999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000288","Nodes","288",21.000000,45.648154,"DDS demands","Known Flow",446282.487813,147982.228961,,0.000000,,,,,,-1.279999,,,,,-1.144598,-1.279999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000054","Nodes","54",21.000000,48.928738,"DDS demands","Known Flow",446447.090097,147641.631467,,0.000000,,,,,,-6.510000,,,,,-5.821358,-6.510000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000057","Nodes","57",21.000000,49.042956,"DDS demands","Known Flow",446492.799651,147796.571427,,0.000000,,,,,,-2.069999,,,,,-1.851031,-2.069999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000056","Nodes","56",21.000000,49.043067,"DDS demands","Known Flow",446491.694650,147788.615425,,0.000000,,,,,,-6.449999,,,,,-5.767705,-6.449999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000286","Nodes","286",21.000000,42.348712,"DDS demands","Known Flow",445988.982514,147980.253477,,0.000000,-3.829999,,,,,-3.680000,,,,,-6.715576,-7.510000,,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"82011400000118","Nodes","118",21.000000,41.236076,"DDS demands","Known Flow",446017.707521,147781.332423,,0.000000,,,,,,-11.050000,,,,,-9.881108,-11.050000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000081","Nodes","81",21.000000,45.853852,"DDS demands","Known Flow",446297.869598,147927.850463,,0.000000,-2.419999,,,,,-7.170000,,,,,-8.575549,-9.590000,,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"82011400000290","Nodes","290",21.000000,46.071007,"DDS demands","Known Flow",446304.301964,147899.085545,,0.000000,,,,,,-1.120000,,,,,-1.001524,-1.120000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000291","Nodes","291",21.000000,46.298786,"DDS demands","Known Flow",446312.170602,147873.304448,,0.000000,,,,,,-7.320000,,,,,-6.545675,-7.320000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000080","Nodes","80",21.000000,48.952561,"DDS demands","Known Flow",446321.091925,147656.256776,,0.000000,,,,-4.119999,,-21.770001,,,,,-23.151301,-25.890001,,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,
"82011400000055","Nodes","55",21.000000,48.953461,"DDS demands","Known Flow",446458.319613,147703.599447,,0.000000,,,,,,-7.210000,,,,,-6.447311,-7.210000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000211","Nodes","211",21.000000,48.369188,"DDS demands","Known Flow",446482.856648,147901.827455,,0.000000,,,,,,-6.500000,,,,,-5.812416,-6.500000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000074","Nodes","74",21.000000,48.800868,"DDS demands","Known Flow",446518.838658,147619.382379,,0.000000,,,,,,-4.689999,,,,,-4.193881,-4.689999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000058","Nodes","58",21.000000,49.134830,"DDS demands","Known Flow",446526.100660,147786.683424,,0.000000,,,,,,-6.599999,,,,,-5.901837,-6.599999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000061","Nodes","61",21.000000,49.185920,"DDS demands","Known Flow",446570.373672,147792.881426,,0.000000,,,,,,-4.119999,,,,,-3.684177,-4.119999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000075","Nodes","75",21.000000,48.924653,"DDS demands","Known Flow",446545.419665,147611.255376,,0.000000,,,,,,-1.070000,,,,,-0.956813,-1.070000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000643","Nodes","643",21.000000,47.747500,"DDS demands","Known Flow",446563.158670,147829.179436,,0.000000,,,,,,-4.010000,,,,,-3.585814,-4.010000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000063","Nodes","63",21.000000,49.322071,"DDS demands","Known Flow",446577.231111,147794.437656,,0.000000,,,,,,-1.609999,,,,,-1.439690,-1.609999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000064","Nodes","64",21.000000,49.526943,"DDS demands","Known Flow",446627.088687,147804.823429,,0.000000,,,,,,-4.139999,,,,,-3.702062,-4.139999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000072","Nodes","72",21.000000,47.291278,"DDS demands","Known Flow",446594.885678,147581.188368,,0.000000,,0.000000,,,,-10.869999,,,,,-9.720147,-10.869999,,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,,
"82011400000462","Nodes","462",21.000000,47.292691,"DDS demands","Known Flow",446693.908705,147530.162354,,0.000000,,,,,,-6.119999,,,,,-5.472613,-6.119999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000460","Nodes","460",21.000000,48.047069,"DDS demands","Known Flow",446618.548685,147896.071454,,0.000000,,,,,,-1.500000,,,,,-1.341326,-1.500000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000677","Nodes","677",21.000000,49.084163,"Default Known Flow Node","Known Flow",446658.710672,147922.242965,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000069","Nodes","69",21.000000,47.292864,"DDS demands","Known Flow",446702.746708,147525.556353,,0.000000,,,,,,-21.160000,,,,,-18.921652,-21.160000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000059","Nodes","59",21.000000,49.096126,"DDS demands","Known Flow",446509.039857,147700.458879,,0.000000,,,,,,-6.439999,,,,,-5.758763,-6.439999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000067","Nodes","67",21.000000,48.938625,"DDS demands","Known Flow",446570.803299,147649.750435,,0.000000,,,,,,-11.949999,,,,,-10.685903,-11.949999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000642","Nodes","642",21.000000,47.668473,"DDS demands","Known Flow",446561.417669,147876.055448,,0.000000,,,,,,-2.190000,,,,,-1.958337,-2.190000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000062","Nodes","62",21.000000,49.439976,"DDS demands","Known Flow",446585.479676,147745.554413,,0.000000,,,,,,-8.579999,,,,,-7.672389,-8.579999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000066","Nodes","66",21.000000,49.561484,"DDS demands","Known Flow",446629.409622,147699.352153,,0.000000,,,,,,-12.080000,,,,,-10.802152,-12.080000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000068","Nodes","68",21.000000,48.344846,"DDS demands","Known Flow",446732.283058,147581.903746,,0.000000,,,,,,-17.649999,,,,,-15.782945,-17.649999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000457","Nodes","457",21.000000,49.505137,"DDS demands","Known Flow",446658.004696,147816.980432,,0.000000,,,,,,-2.430000,,,,,-2.172949,-2.430000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000219","Nodes","219",21.000000,49.873184,"DDS demands","Known Flow",446655.340405,147739.078757,,0.000000,,,,,,-4.829999,,,,,-4.319072,-4.829999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000225","Nodes","225",21.000000,49.503218,"Default Known Flow Node","Known Flow",446663.469697,147818.440433,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000226","Nodes","226",21.000000,49.418240,"DDS demands","Known Flow",446699.737596,147825.772702,,0.000000,,,,,,-3.579999,,,,,-3.201299,-3.579999,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000007","Nodes","7, The Knowlings/Rampton Road DG, SK14D, Site ID 3794",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",446664.080794,147738.153228,,1200.000001,,,,,,,,,,,324.925275,363.362545,,,"",,,,,,,,,,,
"82011400000065","Nodes","65",21.000000,49.501048,"Default Known Flow Node","Known Flow",446671.339699,147820.262433,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000393","Nodes","393",21.000000,46.534816,"DDS demands","Known Flow",445760.594289,148340.062052,,0.000000,,,,,,-4.940000,,,,,-4.417436,-4.940000,,,"",,,,,,"D1 PROFILE",,,,,
"82011400000128","Nodes","128",21.000000,47.603081,"DDS demands","Known Flow",445791.153460,148309.377566,,0.000000,,,,,,-6.350000,,-6.000000,,,-11.043591,-12.350000,,,"",,,,,,"D1 PROFILE",,"I2 PROFILE",,,
"82011400000570","Nodes","570",21.000000,48.007153,"Default Known Flow Node","Known Flow",445887.321486,148305.227565,,0.000000,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,
"82011400000348","Nodes","348",21.000000,48.006865,"DDS demands","Known Flow",445888.127692,148310.447288,,0.000000,,,,,,-3.629999,,,,,-3.246011,-3.629999,,,"",,,,,,"D1 PROFILE",,,,,
