"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"82009000000017","Nodes","17","21.000000","22.237749","DDS demands","Known Flow","460363.722425","87347.648978","","0.000000","","","","","-3.899999","","","-3.487449","-3.899999","","","","","","","D1 PROFILE","",""
"82009000000018","Nodes","18","21.000000","22.161053","DDS demands","Known Flow","460474.576070","87350.705676","","0.000000","","","","","-1.799999","","","-1.609592","-1.799999","","","","","","","D1 PROFILE","",""
"82009000000060","Nodes","60","21.000000","22.061554","DDS demands","Known Flow","460500.166503","87348.741566","","0.000000","","","","","-3.219999","","","-2.879381","-3.219999","","","","","","","D1 PROFILE","",""
"82009000000058","Nodes","58","21.000000","21.935081","DDS demands","Known Flow","460481.534457","87406.104994","","0.000000","","","","","-6.059999","","","-5.418960","-6.059999","","","","","","","D1 PROFILE","",""
"82009000000059","Nodes","59","21.000000","21.929547","DDS demands","Known Flow","460476.423456","87305.130967","","0.000000","","","","","-3.209999","","","-2.870439","-3.209999","","","","","","","D1 PROFILE","",""
"82009000000107","Nodes","107","21.000000","24.240544","DDS demands","Known Flow","460546.595725","87091.977850","","0.000000","","0.000000","","","-7.690000","","","-6.876535","-7.690000","","","","C2 PROFILE","","","D1 PROFILE","",""
"82009000000062","Nodes","62","21.000000","21.869048","DDS demands","Known Flow","460567.087778","87339.168640","","0.000000","","","","","-2.339999","","","-2.092469","-2.339999","","","","","","","D1 PROFILE","",""
"82009000000109","Nodes","109","21.000000","21.779290","Default Known Flow Node","Known Flow","460588.926091","87338.127992","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000011","Nodes","11","21.000000","21.886017","DDS demands","Known Flow","460587.622486","87477.630014","","0.000000","","","","","-4.650000","","","-4.158113","-4.650000","","","","","","","D1 PROFILE","",""
"82009000000496","Nodes","-76","21.000000","22.772017","DDS demands","Known Flow","460615.165021","87210.347296","","0.000000","","","","","-10.119999","","","-9.049484","-10.119999","","","","","","","D1 PROFILE","",""
"82009000000099","Nodes","99","21.000000","21.764387","DDS demands","Known Flow","460629.349497","87419.479998","","0.000000","","","","","-5.050000","","","-4.515800","-5.050000","","","","","","","D1 PROFILE","",""
"82009000000481","Nodes","-1462521","21.000000","21.413958","Default Known Flow Node","Known Flow","460943.184552","87300.585624","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000087","Nodes","87","21.000000","30.992157","Default Known Flow Node","Known Flow","460937.748581","87055.516899","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"82009000000088","Nodes","88","21.000000","30.991572","DDS demands","Known Flow","460939.294390","87054.810155","","0.000000","","","","","-0.639999","","","-0.572299","-0.639999","","","","","","","D1 PROFILE","",""
