"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000900001051","Nodes","1051",21.000000,40.119446,"Default Known Flow Node","Known Flow",367310.187500,81449.851562,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000237","Nodes","237",21.000000,39.744597,"DDS demands","Known Flow",367328.750000,81419.000000,,0.000000,,,,,,,-10.629999,,,,,,,,,-9.505536,-10.629999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900001052","Nodes","1052",21.000000,39.613928,"Default Known Flow Node","Known Flow",367335.562500,81404.140625,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900002651","Nodes","2651",21.000000,38.401750,"Default Known Flow Node","Known Flow",367367.593750,81349.500000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900002512","Nodes","2512",21.000000,40.727448,"DDS demands","Known Flow",367294.593750,81476.898437,,0.000000,,,,,,,-2.559999,,,,,,,,,-2.289197,-2.559999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"820009-149976","Nodes","-149976",21.000000,24.685183,"Default Known Flow Node","Known Flow",367646.500000,80889.250000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001050","Nodes","1050",21.000000,24.685183,"Default Known Flow Node","Known Flow",367616.875000,80867.593750,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001048","Nodes","1048",21.000000,29.761251,"Default Known Flow Node","Known Flow",365740.531250,79236.960937,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001344","Nodes","1344",21.000000,29.770446,"DDS demands","Known Flow",365684.593750,79221.296875,,0.000000,,,,,,,,,,,-12.399999,,,,,-11.088301,-12.399999,,"",,,,,,,,,,,"I2 PROFILE",,,,
"82000900001049","Nodes","1049",21.000000,28.368618,"Default Known Flow Node","Known Flow",365783.937500,79261.312500,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900009015","Nodes","09015, P12130599, Preston Road, SCH 9.23",22.999998,46.126006,"CSEP Unmatched","Known Flow",369566.898872,82440.268627,,0.000000,,,,,,,,,,,,,,-9.229999,,-8.253630,-9.229999,,"",,,,,,,,,,,,,,"DC PROFILE",
"82000900002280","Nodes","2280",21.000000,28.157609,"DDS demands","Known Flow",365784.812500,79250.296875,,0.000000,-19.340000,,,,,,,,,,,,,,,-17.294174,-19.340000,,"","C1 PROFILE",,,,,,,,,,,,,,
"82000900000795","Nodes","795",21.000000,41.156551,"DDS demands","Known Flow",367277.500000,78377.601562,,0.000000,,-15.999999,,,,,-7.570000,,,,,,,,,-21.076716,-23.569999,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,,,
"82000900001047","Nodes","1047",21.000000,41.169977,"Default Known Flow Node","Known Flow",367278.468750,78378.382812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000794","Nodes","794",21.000000,42.790551,"DDS demands","Known Flow",367436.312500,78445.398437,,0.000000,,,,-31.059998,,,-14.330000,,,,,,,,,-40.588548,-45.390000,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,
"82000900002843","Nodes","2843",21.000000,40.949251,"Default Known Flow Node","Known Flow",367278.312500,78366.898437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000796","Nodes","796",21.000000,41.112036,"DDS demands","Known Flow",367274.312500,78384.500000,,0.000000,,,,,,,-4.460000,,,,,,,,,-3.988211,-4.460000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900000378","Nodes","378",21.000000,23.559619,"DDS demands","Known Flow",367774.000000,80681.796875,,0.000000,-0.889999,-6.190000,,,,,-13.850000,,,,,,,,,-18.715980,-20.930000,,"","C1 PROFILE","C2 PROFILE",,,,,"D1 PROFILE",,,,,,,,
"82000900002737","Nodes","""Logger ID3194 Fernhill Avenue""",21.000000,23.578048,"DDS demands","Known Flow",367764.406250,80697.601562,,0.000000,,-3.479999,,,,,-12.770000,,,,,,,,,-14.531041,-16.250001,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,,,,
"82000900000800","Nodes","800",21.000000,38.091566,"Default Known Flow Node","Known Flow",367823.593750,78583.546875,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000758","Nodes","758",21.000000,38.091179,"DDS demands","Known Flow",367814.843750,78590.742187,,0.000000,,,,,,,-0.460000,,,,,,,,,-0.411340,-0.460000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900000760","Nodes","P08119580, STANLEY ROAD, -5.91",22.999998,31.741211,"CSEP Unmatched","Known Flow",368029.366662,79706.405467,,0.000000,,,,,,,,,,,,,,-5.909999,,-5.284827,-5.909999,,"",,,,,,,,,,,,,,"DC PROFILE",
"820009-110097","Nodes","-110097",21.000000,38.134564,"Default Known Flow Node","Known Flow",367827.375000,78567.882812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000764","Nodes","764",21.000000,38.200749,"Default Known Flow Node","Known Flow",367792.031250,78576.773437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000763","Nodes","763",21.000000,38.172911,"DDS demands","Known Flow",367787.812500,78593.523437,,0.000000,,,,,,,-1.139999,,,,,,,,,-1.019408,-1.139999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900000754","Nodes","754",21.000000,38.060604,"DDS demands","Known Flow",367825.031250,78601.437500,,0.000000,,,,,,,-2.099999,,,,,,,,,-1.877857,-2.099999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900002845","Nodes","2845",21.000000,38.169574,"DDS demands","Known Flow",367784.593750,78608.640625,,0.000000,,,,,,,-1.770000,,,,,,,,,-1.582765,-1.770000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900000753","Nodes","753",21.000000,38.269224,"DDS demands","Known Flow",367795.500000,78561.101562,,0.000000,,,,,,,-2.840000,,,,,,,,,-2.539578,-2.840000,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900001045","Nodes","1045",21.000000,49.882020,"Default Known Flow Node","Known Flow",366740.312500,80580.250000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001046","Nodes","1046",21.000000,49.921357,"Default Known Flow Node","Known Flow",366740.218750,80581.109375,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900000003","Nodes","Group Profile 1, SOUTHILL GARDEN DRIVE DG,3019",21.000000,50.000023,"Default Known Pressure Node","Known Pressure",366740.062500,80581.703125,,4850.000082,,,,,,,,,,,,,,,,2161.849669,2417.587555,,"",,,,,,,,,,,,,,,
"82000900001293","Nodes","1293",21.000000,49.772565,"Default Known Flow Node","Known Flow",366734.312500,80576.398437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"820009-167080","Nodes","-167080",21.000000,49.727175,"Default Known Flow Node","Known Flow",366726.500000,80570.882812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900001296","Nodes","1296",21.000000,49.200645,"DDS demands","Known Flow",366742.406250,80456.796875,,0.000000,,,,,,,-9.939999,,,,,,,,,-8.888526,-9.939999,,"",,,,,,,"D1 PROFILE",,,,,,,,
"82000900001827","Nodes","1827",21.000000,49.057200,"Default Known Flow Node","Known Flow",366626.093750,80718.898437,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,
"82000900002636","Nodes","2636",21.000000,51.873284,"DDS demands","Known Flow",372511.031250,82856.429687,,0.000000,,,-1.479999,,,,,,,,,,,,,-1.323442,-1.479999,,"",,,"C3  PROFILE",,,,,,,,,,,,
