"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82011800000358","Nodes","358",21.000000,25.096073,"DDS demands","Known Flow",439389.760718,119576.434748,,0.000000,,,,,-3.299999,,,,,,-2.950918,-3.299999,,"",,,,,"D1 PROFILE",,,,,
"82011800000075","Nodes","75",21.000000,28.541116,"DDS demands","Known Flow",439469.760740,119692.309779,,0.000000,,,,,-12.270000,,,,,,-10.972053,-12.270000,,"",,,,,"D1 PROFILE",,,,,
"82011800000073","Nodes","73",21.000000,33.721130,"DDS demands","Known Flow",439475.010741,119855.184824,,0.000000,,,,,-10.289999,,,,,,-9.201502,-10.289999,,"",,,,,"D1 PROFILE",,,,,
"82011800000377","Nodes","377",21.000000,34.989080,"DDS demands","Known Flow",439493.802153,119874.644844,,0.000000,,,,,-2.219999,,,,,,-1.985163,-2.219999,,"",,,,,"D1 PROFILE",,,,,
"82011800000097","Nodes","97",21.000000,34.902967,"DDS demands","Known Flow",439495.766595,119876.679182,,0.000000,,,,,-7.080000,,,,,,-6.331062,-7.080000,,"",,,,,"D1 PROFILE",,,,,
"82011800000383","Nodes","383",21.000000,25.049172,"DDS demands","Known Flow",439438.010731,119505.684729,,0.000000,,,,,-0.910000,,,,,,-0.813738,-0.910000,,"",,,,,"D1 PROFILE",,,,,
"82011800000382","Nodes",,21.000000,23.125754,"DDS demands","Known Flow",439500.736748,119515.410731,,0.000000,,,,,-5.320000,,,,,,-4.757239,-5.320000,,"",,,,,"D1 PROFILE",,,,,
"82011800001008","Nodes","1008",21.000000,35.273871,"Default Known Flow Node","Known Flow",439467.514739,119970.370855,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000170","Nodes","170",21.000000,35.361574,"DDS demands","Known Flow",439542.205410,119924.749323,,0.000000,-5.550000,,,,-13.000000,,,,,,-16.587742,-18.549999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"82011800008006","Nodes","-12006",21.000000,35.070216,"Default Known Flow Node","Known Flow",439511.240866,119892.704036,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000098","Nodes","98",21.000000,34.551663,"DDS demands","Known Flow",439542.760760,119827.309816,,0.000000,,,,,-13.489999,,,,,,-12.062999,-13.489999,,"",,,,,"D1 PROFILE",,,,,
"82011800008054","Nodes","-53771",21.000000,34.053734,"Default Known Flow Node","Known Flow",439604.010776,119699.559781,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000366","Nodes","366",21.000000,34.053734,"Default Known Flow Node","Known Flow",439613.760779,119700.809782,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000365","Nodes","365",21.000000,25.057578,"Default Known Flow Node","Known Flow",439645.135787,119592.434752,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82011800000363","Nodes","363",21.000000,25.057578,"DDS demands","Known Flow",439659.888969,119619.571756,,0.000000,-15.999999,,,,,,,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,,,,,,,
"82011800000360","Nodes","360",21.000000,25.282895,"DDS demands","Known Flow",439538.260758,119550.559741,,0.000000,,,-1.909999,,-1.949999,,,,,,-3.451680,-3.859999,,"",,,"C4 PROFILE",,"D1 PROFILE",,,,,
"82011800000381","Nodes","381",21.000000,27.652618,"DDS demands","Known Flow",439612.760779,119645.059767,,0.000000,,,,,-5.500000,,,,,,-4.918198,-5.500000,,"",,,,,"D1 PROFILE",,,,,
"82011800000096","Nodes","96",21.000000,35.423534,"DDS demands","Known Flow",439550.903472,119933.346244,,0.000000,,,,,,,,-13.689999,,,-12.241842,-13.689999,,"",,,,,,,,"I2 PROFILE",,
"82011800000004","Nodes","ROWNHAMS ROAD SR03D, Site ID 2234",21.000000,35.999999,"Default Known Pressure Node","Known Pressure",439554.510763,119932.934845,,2099.999985,,,,,,,,,,,955.987439,1069.076565,,"",,,,,,,,,,
"82011800000102","Nodes","102",21.000000,34.076828,"DDS demands","Known Flow",439612.050608,119720.315546,,0.000000,,,,,-1.869999,,,,,,-1.672187,-1.869999,,"",,,,,"D1 PROFILE",,,,,
"82011800000100","Nodes","100",21.000000,34.210028,"DDS demands","Known Flow",439597.760774,119747.809795,,0.000000,,,,,-3.059999,,,,,,-2.736306,-3.059999,,"",,,,,"D1 PROFILE",,,,,
"82011800000172","Nodes","172",21.000000,34.176469,"DDS demands","Known Flow",439604.906139,119752.151282,,0.000000,,,,,-4.419999,,,,,,-3.952443,-4.419999,,"",,,,,"D1 PROFILE",,,,,
