"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82007700000172","Nodes","172",21.000000,33.985498,"DDS demands","Known Flow",472632.179764,110343.892236,,0.000000,,,,-12.399999,,,,,,-11.088301,-12.399999,,"",,,,"D1 PROFILE",,,,,
"82007700000175","Nodes","175",21.000000,34.640936,"Default Known Flow Node","Known Flow",472670.946474,110234.746034,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000090","Nodes","90",21.000000,38.582872,"DDS demands","Known Flow",472898.217150,110382.644479,,0.000000,,,,-20.109999,,,,,,-17.982721,-20.109999,,"",,,,"D1 PROFILE",,,,,
"82007700000157","Nodes","157",21.000000,38.089268,"DDS demands","Known Flow",472933.158845,110303.529225,,0.000000,,,,-1.940000,,,,,,-1.734782,-1.940000,,"",,,,"D1 PROFILE",,,,,
"82007700008018","Nodes","8018",21.000000,39.031015,"Default Known Flow Node","Known Flow",472997.697376,110329.348757,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008004","Nodes","8004",21.000000,33.985498,"Default Known Flow Node","Known Flow",472627.727762,110356.797239,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008005","Nodes","8005",21.000000,33.985498,"Default Known Flow Node","Known Flow",472656.485770,110350.662237,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000147","Nodes","147",21.000000,38.558231,"DDS demands","Known Flow",473023.849645,110240.014914,,0.000000,,,,-11.029999,,,,,,-9.863223,-11.029999,,"",,,,"D1 PROFILE",,,,,
"82007700000100","Nodes","100",21.000000,39.154698,"DDS demands","Known Flow",473030.983473,110322.949556,,0.000000,,,,-12.700000,,,,,,-11.356567,-12.700000,,"",,,,"D1 PROFILE",,,,,
"82007700000148","Nodes","148",21.000000,39.560709,"DDS demands","Known Flow",473031.697872,110382.814246,,0.000000,,,,-9.790000,,,,,,-8.754393,-9.790000,,"",,,,"D1 PROFILE",,,,,
"82007700000158","Nodes","158",21.000000,34.336737,"DDS demands","Known Flow",473496.857999,110444.735263,,0.000000,,,,-2.869999,,,,,,-2.566405,-2.869999,,"",,,,"D1 PROFILE",,,,,
"82007700008021","Nodes","8021",21.000000,39.560709,"Default Known Flow Node","Known Flow",473026.270871,110383.117246,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700008022","Nodes","8022",21.000000,34.193136,"Default Known Flow Node","Known Flow",473487.944996,110447.410264,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82007700000109","Nodes","109",21.000000,33.907397,"DDS demands","Known Flow",473503.655001,110366.962242,,0.000000,,,,-6.900000,,,,,,-6.170103,-6.900000,,"",,,,"D1 PROFILE",,,,,
"82007700000084","Nodes","84",21.000000,35.132616,"DDS demands","Known Flow",473521.293523,110458.719845,,0.000000,,,,-0.920000,,,,,,-0.822680,-0.920000,,"",,,,"D1 PROFILE",,,,,
