"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"82006300010750","Nodes","10750","21.000000","26.454578","Default Known Flow Node","Known Flow","435357.917621","89670.858610","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000032","Nodes","32","21.000000","26.458788","DDS demands","Known Flow","435363.318021","89670.430448","","0.000000","-19.209998","","","","","","-2.200000","","","","-19.145203","-21.409999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"82006300000692","Nodes","692","21.000000","69.923174","DDS demands","Known Flow","436920.043828","89883.200519","","0.000000","","","","","","","-1.570000","","","","-1.403922","-1.570000","","","","","","","","","D1 PROFILE","","",""
"82006300000617","Nodes","617","21.000000","69.786234","Default Known Flow Node","Known Flow","436903.521731","89927.881522","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000729","Nodes","729","21.000000","28.926446","DDS demands","Known Flow","432690.799325","87389.100685","","0.000000","","","","","","","-6.199999","","","","-5.544150","-6.199999","","","","","","","","","D1 PROFILE","","",""
"82006300000123","Nodes","123","21.000000","32.956692","Default Known Flow Node","Known Flow","433189.844031","87514.975024","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000103","Nodes","103","21.000000","32.955558","Default Known Flow Node","Known Flow","433129.622014","87559.625036","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000639","Nodes","639","21.000000","29.092326","Default Known Flow Node","Known Flow","434021.326188","86320.039556","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300010735","Nodes","10735","21.000000","29.135758","Default Known Flow Node","Known Flow","433961.011241","86351.428707","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000649","Nodes","649","21.000000","29.007046","Default Known Flow Node","Known Flow","434074.592272","86344.134705","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000547","Nodes","547","21.000000","29.009051","DDS demands","Known Flow","434074.421436","86349.864796","","0.000000","","","","","","","-5.119999","","","","-4.578395","-5.119999","","","","","","","","","D1 PROFILE","","",""
"82006300000152","Nodes","CSEP, P08116941, AFTON DOWN, -13.75 SCMH","22.999998","32.760479","CSEP DDS Matched","Known Flow","434869.982692","85756.488293","","0.000000","","","","","","","","-6.020000","","","-5.383191","-6.020000","","","","","","","","","","DC PROFILE","",""
"82006300000168","Nodes","168","21.000000","33.224783","DDS demands","Known Flow","435131.551440","85803.920030","","0.000000","-3.859999","","","","","","-2.990000","","","","-6.125392","-6.849999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"82006300010683","Nodes","10683","21.000000","33.111716","Default Known Flow Node","Known Flow","435078.100568","85970.876565","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300010646","Nodes","10646","21.000000","33.808510","Default Known Flow Node","Known Flow","432271.721239","86541.788521","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000577","Nodes","577","21.000000","32.313022","DDS demands","Known Flow","432248.517665","86441.305793","","0.000000","","","","","","","-12.340000","","","","-11.034649","-12.340000","","","","","","","","","D1 PROFILE","","",""
"82006300000516","Nodes","516","21.000000","32.350074","DDS demands","Known Flow","432440.650827","87174.793931","","0.000000","-1.669999","","","","","","-5.330000","","","","-6.259525","-6.999999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"82006300008004","Nodes","8004","21.000000","32.301049","Default Known Flow Node","Known Flow","432394.520616","87219.244215","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000068","Nodes","68","21.000000","30.862649","DDS demands","Known Flow","433584.896569","87071.153947","","0.000000","","","","","","","-13.910000","","","","-12.438570","-13.910000","","","","","","","","","D1 PROFILE","","",""
"82006300000423","Nodes","423","21.000000","28.617526","DDS demands","Known Flow","434156.059849","86842.012468","","0.000000","","","","","","","-6.229999","","","","-5.570977","-6.229999","","","","","","","","","D1 PROFILE","","",""
"82006300008007","Nodes","Logger 2501, Camp Road","21.000000","27.794043","Val Log Cath","Known Flow","434082.408284","86833.608478","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300010777","Nodes","10777","21.000000","37.943197","Default Known Flow Node","Known Flow","433534.133497","87446.795604","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82006300000196","Nodes","196","21.000000","37.348354","DDS demands","Known Flow","434064.826619","87093.502181","","0.000000","","","","","","","-14.640000","","","","-13.091350","-14.640000","","","","","","","","","D1 PROFILE","","",""
"82006300000004","Nodes","KENDAL ROAD DG, WK01D, Tel, Clocked, Site ID 2619","21.000000","38.000000","Default Known Pressure Node","Known Pressure","432613.576712","86957.379637","","7150.000080","","","","","","","","","","","843.384939","943.153741","","","","","","","","","","","",""
