"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82005700000352","Nodes","352",21.000000,68.206748,"DDS demands","Known Flow",465461.817812,111424.307530,,0.000000,,,,,,,-10.869999,,,,-9.720147,-10.869999,,"",,,,,,,"D1 PROFILE",,,
"82005700004101","Nodes","4101",21.000000,68.623892,"Default Known Flow Node","Known Flow",465500.736776,111446.321033,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000349","Nodes","349",21.000000,69.719889,"DDS demands","Known Flow",465542.380834,111422.097529,,0.000000,,,,,,,-2.499999,,,,-2.235544,-2.499999,,"",,,,,,,"D1 PROFILE",,,
"82005700000353","Nodes","353",21.000000,67.914531,"DDS demands","Known Flow",465515.161827,111478.812544,,0.000000,,,,,,,-4.269999,,,,-3.818310,-4.269999,,"",,,,,,,"D1 PROFILE",,,
"82005700000355","Nodes","355",21.000000,67.729406,"DDS demands","Known Flow",465570.765842,111465.400541,,0.000000,,,,,,,-6.860000,,,,-6.134335,-6.860000,,"",,,,,,,"D1 PROFILE",,,
"82005700000006","Nodes","Forest Road DG, Constant/Seasonal, Site ID 4405",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",465609.914853,111380.073518,,999998.967025,,,,,,,,,,,144.103220,161.149992,,"",,,,,,,,,,
"82005700000277","Nodes","277",21.000000,69.934040,"DDS demands","Known Flow",465606.517852,111382.318518,,0.000000,,,,,,,-3.450000,,,,-3.085051,-3.450000,,"",,,,,,,"D1 PROFILE",,,
"82005700000383","Nodes","383",21.000000,68.904619,"DDS demands","Known Flow",465637.117860,111458.457539,,0.000000,,,,,,,-7.219999,,,,-6.456253,-7.219999,,"",,,,,,,"D1 PROFILE",,,
"82005700000384","Nodes","384",21.000000,68.178260,"DDS demands","Known Flow",465677.474385,111442.298113,,0.000000,,,,,,,-18.520000,,,,-16.560915,-18.520000,,"",,,,,,,"D1 PROFILE",,,
"82005700004104","Nodes","4104",21.000000,69.328466,"Default Known Flow Node","Known Flow",465709.900880,111332.604505,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"82005700000267","Nodes","267",21.000000,69.328466,"DDS demands","Known Flow",465713.995881,111337.935506,,0.000000,,,,,,,-5.590000,,,,-4.998678,-5.590000,,"",,,,,,,"D1 PROFILE",,,
"82005700000268","Nodes","268",21.000000,68.289844,"DDS demands","Known Flow",465832.569913,111364.664513,,0.000000,,,,,,,-2.700000,,,,-2.414388,-2.700000,,"",,,,,,,"D1 PROFILE",,,
"82005700000269","Nodes","269",21.000000,68.340059,"DDS demands","Known Flow",465794.893903,111434.967533,,0.000000,,,,,,,-3.089999,,,,-2.763133,-3.089999,,"",,,,,,,"D1 PROFILE",,,
"82005700000308","Nodes","308",21.000000,66.986178,"DDS demands","Known Flow",465843.276916,111301.202496,,0.000000,,,,,,,-0.419999,,,,-0.375571,-0.419999,,"",,,,,,,"D1 PROFILE",,,
