"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"82012300008553","Nodes","-282694",21.000000,32.296327,"Default Known Flow Node","Known Flow",379234.865275,114456.071620,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008001","Nodes","Logger 3095, Rixon Hill",21.000000,32.339546,"Val Log Post","Known Flow",379250.000000,114434.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000066","Nodes","66",21.000000,32.488136,"DDS demands","Known Flow",379246.869352,114432.058348,,0.000000,,,,,,-8.669999,,,,-7.752868,-8.669999,,"",,,,,,"D1 PROFILE",,,
"82012300000067","Nodes","67",21.000000,31.650841,"DDS demands","Known Flow",379311.850907,114462.849869,,0.000000,-5.989999,,,,,-3.759999,,,,-8.718624,-9.750000,,"","C1 PROFILE",,,,,"D1 PROFILE",,,
"82012300000302","Nodes","302",21.000000,30.489085,"DDS demands","Known Flow",377949.993999,114674.183414,,0.000000,,,,,,-2.559999,,,,-2.289197,-2.559999,,"",,,,,,"D1 PROFILE",,,
"82012300000313","Nodes","313",21.000000,32.908646,"Default Known Flow Node","Known Flow",378954.744273,114511.558370,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008536","Nodes","-276193",21.000000,27.743881,"Default Known Flow Node","Known Flow",378789.369228,114977.808497,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008537","Nodes","-276194",21.000000,27.743881,"Default Known Flow Node","Known Flow",378791.114643,114964.088359,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008541","Nodes","-276212",21.000000,32.842751,"Default Known Flow Node","Known Flow",378945.494270,114607.058396,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000282","Nodes","282",21.000000,32.842751,"Default Known Flow Node","Known Flow",378961.119275,114606.058395,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008542","Nodes","-276213",21.000000,32.906039,"Default Known Flow Node","Known Flow",378946.994271,114542.058378,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008543","Nodes","-276215",21.000000,32.906039,"Default Known Flow Node","Known Flow",378956.619273,114541.558378,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000159","Nodes","159",21.000000,32.816581,"Default Known Flow Node","Known Flow",378976.994279,114569.558385,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000156","Nodes","156",21.000000,32.821653,"Default Known Flow Node","Known Flow",378958.494274,114568.058385,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000350","Nodes","350",21.000000,28.006988,"DDS demands","Known Flow",378704.619205,114950.808489,,0.000000,,-56.290002,,,,,,,,-50.335529,-56.290002,,"",,"C2 PROFILE",,,,,,,
"82012300000142","Nodes","142",21.000000,29.729979,"DDS demands","Known Flow",378788.352314,114727.849277,,0.000000,,,,,,-9.409999,,,,-8.414590,-9.409999,,"",,,,,,"D1 PROFILE",,,
"82012300000057","Nodes","57",21.000000,30.085934,"DDS demands","Known Flow",378665.119194,114685.808417,,0.000000,,,,,,-10.920000,,,,-9.764859,-10.920000,,"",,,,,,"D1 PROFILE",,,
"82012300008539","Nodes","-276199",21.000000,27.458164,"Default Known Flow Node","Known Flow",378829.619239,114948.808489,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000063","Nodes","63",21.000000,27.458201,"DDS demands","Known Flow",378834.430240,114950.679489,,0.000000,,,,,,-6.900000,,,,-6.170103,-6.900000,,"",,,,,,"D1 PROFILE",,,
"82012300000176","Nodes","176",21.000000,27.466837,"DDS demands","Known Flow",378853.777108,114946.526321,,0.000000,-5.169999,,,,,-3.980000,,,,-8.182093,-9.150000,,"","C1 PROFILE",,,,,"D1 PROFILE",,,
"82012300000144","Nodes","144",21.000000,29.656721,"DDS demands","Known Flow",378846.119243,114739.808432,,0.000000,,,,,,-5.680000,,,,-5.079157,-5.680000,,"",,,,,,"D1 PROFILE",,,
"82012300000146","Nodes","146",21.000000,29.533253,"DDS demands","Known Flow",378854.494246,114741.058432,,0.000000,,,,,,-9.350000,,,,-8.360937,-9.350000,,"",,,,,,"D1 PROFILE",,,
"82012300000147","Nodes","147",21.000000,29.236462,"DDS demands","Known Flow",378888.744255,114777.308442,,0.000000,,,,,,-6.989999,,,,-6.250582,-6.989999,,"",,,,,,"D1 PROFILE",,,
"82012300000275","Nodes","275",21.000000,31.415258,"DDS demands","Known Flow",379296.744366,114500.308367,,0.000000,,,,,,-0.469999,,,,-0.420282,-0.469999,,"",,,,,,"D1 PROFILE",,,
"82012300000101","Nodes","101",21.000000,21.556789,"DDS demands","Known Flow",379113.744316,114745.808433,,0.000000,,,,,,-5.650000,,,,-5.052331,-5.650000,,"",,,,,,"D1 PROFILE",,,
"82012300008550","Nodes","-282671",21.000000,21.734192,"Default Known Flow Node","Known Flow",379152.994327,114734.308430,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000180","Nodes","180",21.000000,29.840835,"DDS demands","Known Flow",379077.994306,114735.058430,,0.000000,,,,,,-3.970000,,,,-3.550045,-3.970000,,"",,,,,,"D1 PROFILE",,,
"82012300008549","Nodes","-282656",21.000000,29.840835,"Default Known Flow Node","Known Flow",379086.619309,114732.308430,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008552","Nodes","-282693",21.000000,27.796673,"Default Known Flow Node","Known Flow",379218.744345,114644.808406,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008551","Nodes","-282691",21.000000,32.135432,"Default Known Flow Node","Known Flow",379211.869343,114536.558376,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000074","Nodes","Logger 5886, Green Close",21.000000,22.143368,"Val Log Post","Known Flow",379247.865105,114753.819830,,0.000000,,,,,,-2.219999,,,,-1.985163,-2.219999,,"",,,,,,"D1 PROFILE",,,
"82012300000323","Nodes","323",21.000000,28.750134,"DDS demands","Known Flow",380602.348721,110890.871384,,0.000000,,,,,,-8.699999,,,,-7.779695,-8.699999,,"",,,,,,"D1 PROFILE",,,
"82012300000139","Nodes","139",21.000000,29.135216,"DDS demands","Known Flow",380633.104533,110946.906230,,0.000000,,-8.300000,-2.779999,,,-9.880000,,,,-18.742807,-20.960000,,"",,"C2 PROFILE","C3  PROFILE",,,"D1 PROFILE",,,
"82012300008521","Nodes","-228510",21.000000,26.188346,"Default Known Flow Node","Known Flow",380663.795738,110899.010387,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000270","Nodes","270",21.000000,28.885802,"DDS demands","Known Flow",380346.826652,111190.466466,,0.000000,,,,,,-4.670000,,,,-4.175997,-4.670000,,"",,,,,,"D1 PROFILE",,,
"82012300000271","Nodes","271",21.000000,28.856567,"DDS demands","Known Flow",380329.321647,111213.269472,,0.000000,,,,,,-3.810000,,,,-3.406970,-3.810000,,"",,,,,,"D1 PROFILE",,,
"82012300000327","Nodes","327",21.000000,36.726074,"DDS demands","Known Flow",380476.744687,111171.571461,,0.000000,,,,,,-6.280000,,,,-5.615688,-6.280000,,"",,,,,,"D1 PROFILE",,,
"82012300000272","Nodes","272",21.000000,28.929652,"Default Known Flow Node","Known Flow",380358.656655,111151.294455,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000268","Nodes","268",21.000000,29.081588,"DDS demands","Known Flow",380375.416659,111210.753472,,0.000000,,,,,,-12.550000,,,,-11.222435,-12.550000,,"",,,,,,"D1 PROFILE",,,
"82012300008505","Nodes","-181",21.000000,32.704769,"Default Known Flow Node","Known Flow",379130.369321,114391.933337,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008564","Nodes","-4904563",21.000000,32.673865,"DDS demands","Known Flow",379156.256092,114399.626929,,0.000000,,,,,,-1.179999,,,,-1.055177,-1.179999,,"",,,,,,"D1 PROFILE",,,
"82012300000255","Nodes","255",21.000000,32.692679,"Default Known Flow Node","Known Flow",379176.770812,114406.727494,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300008507","Nodes","-187",21.000000,32.679954,"Default Known Flow Node","Known Flow",379189.994337,114411.058342,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82012300000349","Nodes","349",21.000000,29.405120,"Default Known Flow Node","Known Flow",378706.994205,114784.558444,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
