"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82012700000640","Nodes","640",21.000000,28.994696,"DDS demands","Known Flow",398861.000000,90722.000000,,0.000000,,,,,,-4.309999,,,,,,,-3.854079,-4.309999,,"",,,,,,"D1 PROFILE",,,,,,
"820127-158631","Nodes","-158631",21.000000,32.187160,"Default Known Flow Node","Known Flow",399247.750000,90728.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-158630","Nodes","-158630",21.000000,32.325033,"Default Known Flow Node","Known Flow",399245.000000,90715.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000348","Nodes","348",21.000000,37.159053,"DDS demands","Known Flow",399267.375000,90924.000000,,0.000000,,,,,,-6.989999,,,,,,,-6.250582,-6.989999,,"",,,,,,"D1 PROFILE",,,,,,
"820127-4877","Nodes","-4877",21.000000,37.171666,"Default Known Flow Node","Known Flow",399260.875000,90917.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000023","Nodes","23",21.000000,39.705116,"DDS demands","Known Flow",399415.000000,90909.250000,,0.000000,,,,,,-10.800000,,,,,,,-9.657553,-10.800000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700001009","Nodes","1009",21.000000,39.705116,"Default Known Flow Node","Known Flow",399404.250000,90895.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"82012700000018","Nodes","18",21.000000,39.954154,"DDS demands","Known Flow",399462.750000,90754.250000,,0.000000,,,,,,-18.350000,,,,,,,-16.408899,-18.350000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000159","Nodes","159",21.000000,34.192225,"DDS demands","Known Flow",399279.500000,90673.000000,,0.000000,,,-20.499999,,,-8.800000,,,,,,,-26.200584,-29.299999,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,
"82012700000031","Nodes","31",21.000000,37.168653,"DDS demands","Known Flow",399259.750000,90916.000000,,0.000000,,,,,,-27.180001,,,,,,,-24.304842,-27.180001,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000154","Nodes","154",21.000000,31.608198,"DDS demands","Known Flow",399651.125000,90474.000000,,0.000000,,,,,,-23.709998,,,,,,,-21.201905,-23.709998,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000155","Nodes","155",21.000000,31.637195,"DDS demands","Known Flow",399485.750000,90534.500000,,0.000000,,,,,,-6.320000,,,,,,,-5.651457,-6.320000,,"",,,,,,"D1 PROFILE",,,,,,
"82012700000193","Nodes","193, P10122986, PLOTS 1-11 HINCHCLIFFE ROAD, 16.71SCH",24.000000,41.536586,"CSEP Unmatched","Known Flow",399610.250000,90811.000000,,0.000000,,,,,,-10.119999,,,,,-16.709999,,-23.991864,-26.829997,,"",,,,,,"D1 PROFILE",,,,,"DC PROFILE",
"82012700000834","Nodes","834",21.000000,41.272680,"Default Known Flow Node","Known Flow",399668.750000,90730.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"820127-158679","Nodes","-158679",21.000000,31.694495,"Default Known Flow Node","Known Flow",399670.000000,90596.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
