"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82012101470866","Nodes","","21.000000","34.891288","Default Known Flow Node","Known Flow","425220.716862","96090.956357","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470869","Nodes","","21.000000","34.859496","Default Known Flow Node","Known Flow","425203.581858","96070.565352","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470870","Nodes","","21.000000","34.859496","Default Known Flow Node","Known Flow","425215.030861","96078.519354","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470871","Nodes","","21.000000","34.187859","DDS demands","Known Flow","425224.594863","95977.755326","","0.000000","","","","","","","-3.720000","","","","","-3.326490","-3.720000","","","","","","","","","D1 PROFILE","","","",""
"82012101470883","Nodes","","21.000000","41.725919","Default Known Flow Node","Known Flow","425148.409843","96620.031501","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470884","Nodes","","21.000000","41.720606","DDS demands","Known Flow","425149.636843","96555.595484","","0.000000","","","","","","","-1.059999","","","","","-0.947870","-1.059999","","","","","","","","","D1 PROFILE","","","",""
"82012101470886","Nodes","","21.000000","42.590254","Default Known Flow Node","Known Flow","425149.628843","96674.165516","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470887","Nodes","","21.000000","44.018593","Default Known Flow Node","Known Flow","425158.993846","96744.695535","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470621","Nodes","","21.000000","42.415456","Default Known Flow Node","Known Flow","425144.182842","96670.035515","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470888","Nodes","","21.000000","42.448596","Default Known Flow Node","Known Flow","425149.351843","96666.890514","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470885","Nodes","","21.000000","41.995583","Default Known Flow Node","Known Flow","425148.116843","96635.690506","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470891","Nodes","","21.000000","38.584750","Default Known Flow Node","Known Flow","426377.362177","94274.171863","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470939","Nodes","","21.000000","41.784420","Default Known Flow Node","Known Flow","425808.014022","95092.531086","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470918","Nodes","","21.000000","41.509804","Default Known Flow Node","Known Flow","425833.073029","95050.908074","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470919","Nodes","","21.000000","41.509804","Default Known Flow Node","Known Flow","425832.129029","95050.579074","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470932","Nodes","","21.000000","43.321638","Default Known Flow Node","Known Flow","425713.381379","95314.616366","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470926","Nodes","","21.000000","42.778461","Default Known Flow Node","Known Flow","425756.295373","95235.704994","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470927","Nodes","","21.000000","42.778461","Default Known Flow Node","Known Flow","425752.873007","95234.653124","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470934","Nodes","","21.000000","41.254245","Default Known Flow Node","Known Flow","425795.058019","94994.375059","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470937","Nodes","","21.000000","41.828343","Default Known Flow Node","Known Flow","425816.203078","95101.555691","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"82012101470940","Nodes","","21.000000","41.254245","Default Known Flow Node","Known Flow","425837.351030","95010.101063","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
