"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82001900000917","Nodes","","21.000000","29.067288","DDS demands","Known Flow","448778.586568","134483.540094","","0.000000","","","","","","-11.130000","","","","","","","","","-9.952645","-11.130000","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900001605","Nodes","","21.000000","35.470614","DDS demands","Known Flow","446303.887599","131000.812857","","0.000000","","","","","","-3.660000","","","","","","","","","-3.272837","-3.660000","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900001604","Nodes","","21.000000","35.517336","DDS demands","Known Flow","446283.012594","131022.312862","","0.000000","","","","","","-6.119999","","","","","","","","","-5.472613","-6.119999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900000007","Nodes","Teg Down Meads DG, Constant, Site ID 2586","21.000000","40.000000","Default Known Pressure Node","Known Pressure","446451.137639","130581.562742","","3117.000112","","","","","","","","","","","","","","","1252.017001","1400.125101","","","","","","","","","","","","","","","",""
"82001900009009","Nodes","","21.000000","39.948277","Default Known Flow Node","Known Flow","446452.710341","130580.673824","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900001331","Nodes","P11127190, Burma Road, -125.73","24.000000","26.445894","CSEP DDS Matched","Known Flow","447085.515056","129212.474785","","0.000000","","","","","-125.730007","","","","","","","","","","-112.430024","-125.730007","","","","","","","CC PROFILE","","","","","","","","",""
"82001900001337","Nodes","","21.000000","38.551980","DDS demands","Known Flow","446406.546195","130466.445181","","0.000000","","","","","","-13.529999","","","","","","","","","-12.098767","-13.529999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900001336","Nodes","","21.000000","39.818360","DDS demands","Known Flow","446456.151582","130568.390688","","0.000000","","","","","","-9.370000","","","","","","","","","-8.378822","-9.370000","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900000085","Nodes","","21.000000","39.326992","DDS demands","Known Flow","444180.029508","133901.131400","","0.000000","","","","","","-1.179999","","","","","","","","","-1.055177","-1.179999","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900001072","Nodes","","21.000000","42.671044","DDS demands","Known Flow","444689.906681","133554.558630","","0.000000","","","","","","-3.430000","","","","","","","","","-3.067167","-3.430000","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900017497","Nodes","","21.000000","28.963537","Default Known Flow Node","Known Flow","450083.901155","130978.618257","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900006032","Nodes","","21.000000","28.688125","Default Known Flow Node","Known Flow","449942.778792","130837.220908","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900017493","Nodes","","21.000000","28.470146","Default Known Flow Node","Known Flow","449917.263583","130798.812802","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900002027","Nodes","","21.000000","28.527156","Default Known Flow Node","Known Flow","450231.213668","131327.077945","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900000434","Nodes","","21.000000","36.131675","DDS demands","Known Flow","446955.762777","131454.062980","","0.000000","","","","","","-4.990000","","","","","","","","","-4.462147","-4.990000","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900000435","Nodes","","21.000000","36.415245","DDS demands","Known Flow","446908.526447","131406.833307","","0.000000","","","","","","-5.500000","","","","","","","","","-4.918198","-5.500000","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900016261","Nodes","","21.000000","45.520038","Default Known Flow Node","Known Flow","447960.388050","129890.437554","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900001456","Nodes","","21.000000","47.389226","DDS demands","Known Flow","447901.888034","129938.312567","","0.000000","-1.330000","","","","","","","","","","","","","","-1.189309","-1.330000","","","C1 PROFILE","","","","","","","","","","","","",""
"82001900000841","Nodes","","21.000000","40.400710","DDS demands","Known Flow","448226.138122","129870.062549","","0.000000","","","","","","-27.569998","","","","","","","","","-24.653586","-27.569998","","","","","","","","D1 PROFILE","","","","","","","",""
"82001900016253","Nodes","","21.000000","40.426987","Default Known Flow Node","Known Flow","448228.138123","129869.437549","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900002153","Nodes","","21.000000","40.131507","Default Known Flow Node","Known Flow","448249.263129","129864.187547","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900001532","Nodes","","21.000000","49.978776","Default Known Flow Node","Known Flow","447797.513006","128390.437146","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900000017","Nodes","Kingsgate Road / Garnier Road DG, Constant, Site ID 2595","21.000000","49.999998","Default Known Pressure Node","Known Pressure","447798.888006","128390.437146","","3731.000136","","","","","","","","","","","","","","","894.705132","1000.544843","","","","","","","","","","","","","","","",""
"82001900009010","Nodes","","21.000000","39.740972","Default Known Flow Node","Known Flow","446081.262539","128783.687253","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900000009","Nodes","Kings Road / Romsey Road DG, Constant, Site ID 2588","21.000000","40.000000","Default Known Pressure Node","Known Pressure","446081.131362","128783.568001","","1773.999950","","","","","","","","","","","","","","","744.210705","832.247590","","","","","","","","","","","","","","","",""
"82001900001525","Nodes","","21.000000","44.838572","Default Known Flow Node","Known Flow","447454.720172","128280.372092","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"82001900000005","Nodes","Barnes Close / Christchurch Road DG, Constant, Site ID 2585","21.000000","45.000001","Default Known Pressure Node","Known Pressure","447457.512913","128279.562116","","3721.999898","","","","","","","","","","","","","","","1816.871986","2031.800100","","","","","","","","","","","","","","","",""
