"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"82060900000028","Nodes","28",21.000000,40.287853,"Default Known Flow Node","Known Flow",383051.312500,113145.796875,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000109","Nodes","109",21.000000,44.259962,"DDS demands","Known Flow",383470.593750,113026.898437,,0.000000,,,,,,-0.469999,,-0.420282,-0.469999,,"",,,,,,"D1 PROFILE",
"82060900000005","Nodes",,21.000000,37.432243,"Default Known Flow Node","Known Flow",383217.822983,113347.793643,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000116","Nodes",,21.000000,39.881730,"Default Known Flow Node","Known Flow",382959.025642,113354.862604,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000120","Nodes",,21.000000,25.005759,"Default Known Flow Node","Known Flow",382491.398590,111250.196817,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000118","Nodes",,21.000000,38.996712,"Default Known Flow Node","Known Flow",383273.599680,112350.076234,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000086","Nodes",,21.000000,39.398651,"Default Known Flow Node","Known Flow",382886.947140,113443.390697,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000112","Nodes",,21.000000,39.398651,"Default Known Flow Node","Known Flow",382911.183011,113477.656349,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000117","Nodes",,21.000000,39.881730,"Default Known Flow Node","Known Flow",382978.887964,113392.301814,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000119","Nodes",,21.000000,38.996712,"Default Known Flow Node","Known Flow",383245.666239,112315.629099,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"82060900000121","Nodes",,21.000000,25.005759,"Default Known Flow Node","Known Flow",382460.547429,111237.454343,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
