"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82010500000739","Nodes","739",21.000000,31.505199,"Default Known Flow Node","Known Flow",459666.516235,83911.550043,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013444","Nodes","13444",21.000000,31.065195,"Default Known Flow Node","Known Flow",459549.141203,83981.050062,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013270","Nodes","13270",21.000000,31.212481,"Default Known Flow Node","Known Flow",459572.465267,83995.970152,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013269","Nodes","13269",21.000000,31.065195,"Default Known Flow Node","Known Flow",459539.771572,83996.540924,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000195","Nodes","195",21.000000,31.505199,"Default Known Flow Node","Known Flow",459640.516228,83883.175035,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013272","Nodes","13272",21.000000,31.505199,"Default Known Flow Node","Known Flow",459634.641227,83877.300034,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500013248","Nodes","13248",21.000000,32.961629,"Default Known Flow Node","Known Flow",458683.390968,84034.300077,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000048","Nodes","48",21.000000,32.389274,"Default Known Flow Node","Known Flow",458772.390992,84057.675083,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82010500000054","Nodes","54",21.000000,35.522584,"DDS demands","Known Flow",458930.891035,84204.050123,,0.000000,,,,,,,-3.520000,,,,,,,-3.147647,-3.520000,,"",,,,,,,"D1 PROFILE",,,,,,
"82010500000055","Nodes","55",21.000000,35.349479,"DDS demands","Known Flow",458907.766029,84258.175138,,0.000000,,,,,,,-3.829999,,,,,,,-3.424854,-3.829999,,"",,,,,,,"D1 PROFILE",,,,,,
