"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"82110200001795","Nodes","1795",21.000000,29.340262,"DDS demands","Known Flow",442157.750000,117643.500000,,0.000000,,,-4.790000,,,,-12.420000,,,,,,,,,-15.389491,-17.210000,,,"",,,"C3  PROFILE",,,,"D1 PROFILE",,,,,,,,,
"82110200001796","Nodes","1796",21.000000,29.353986,"Default Known Flow Node","Known Flow",442002.500000,117491.250000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001449","Nodes","1449",21.000000,28.466772,"Default Known Flow Node","Known Flow",442571.312500,117731.476562,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001445","Nodes","1445",21.000000,28.466772,"Default Known Flow Node","Known Flow",442548.781250,117697.679687,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200105264","Nodes","105264",21.000000,28.729985,"Default Known Flow Node","Known Flow",442413.875000,117687.882812,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200004449","Nodes","S14134137",21.000000,35.851996,"Point Loads","Known Flow",442843.718750,111878.500000,,0.000000,,,,,,,,,,,,,-143.080004,,,-127.944705,-143.080004,,,"",,,,,,,,,,,,,"PL-AF PROFILE",,,
"82110200004447","Nodes","4447",21.000000,35.432723,"Default Known Flow Node","Known Flow",442978.000000,111857.750000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200001367","Nodes","1367",21.000000,35.266169,"Default Known Flow Node","Known Flow",442967.375000,111830.000000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200197776","Nodes","197776",21.000000,34.158019,"Default Known Flow Node","Known Flow",442993.375000,111888.500000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"82110200004445","Nodes","4445",21.000000,36.885391,"Default Known Flow Node","Known Flow",442864.781250,112128.000000,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
