"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82006400000097","Nodes","97",21.000000,21.947535,"DDS demands","Known Flow",348270.644568,92665.338180,,0.000000,,,,,,-27.879998,,,,,,,,-24.930793,-27.879998,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400001008","Nodes","1008",21.000000,21.910117,"Default Known Flow Node","Known Flow",348248.639072,92698.368572,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400008001","Nodes","Group Profile 1, Sense Point, Uplands/Walditch, Site ID 3321",21.000000,21.715392,"Low Point","Known Flow",348169.126896,92855.155477,,0.000000,,,,,,-13.600000,,,,,,,,-12.161363,-13.600000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400008007","Nodes","PYMORE ROAD, ID 3050",21.000000,46.575731,"Val Log Cath","Known Flow",347005.372021,94313.168169,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000392","Nodes","392",21.000000,43.859806,"Default Known Flow Node","Known Flow",346978.850028,94202.092428,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000004","Nodes","Group Profile 1, Beaminster Road DG, BB77D, Site ID 3049",21.000000,47.999998,"Default Known Pressure Node","Known Pressure",347794.182224,94736.430269,,7029.999785,,,,,,,,,,,,,,1238.429807,1384.930556,,"",,,,,,,,,,,,,
"82006400000091","Nodes","91",21.000000,47.906221,"DDS demands","Known Flow",345668.097087,91012.879438,,0.000000,,,,,,-10.100000,,,,,,,,-9.031600,-10.100000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400012856","Nodes","-8008",21.000000,47.915583,"Default Known Flow Node","Known Flow",345666.915834,91013.647397,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000002","Nodes","Group Profile 1, West Bay DG, BW38D, Site ID 3048",21.000000,47.999998,"Default Known Pressure Node","Known Pressure",345665.466808,91021.810189,,2945.000073,,,,,,,,,,,,,,229.874028,257.067125,,"",,,,,,,,,,,,,
"82006400001002","Nodes","1002",21.000000,23.365968,"DDS demands","Known Flow",348022.855524,92585.592021,,0.000000,,,,,,-6.719999,,,,,,,,-6.009144,-6.719999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400012702","Nodes",,21.000000,27.859053,"Default Known Flow Node","Known Flow",347924.955236,93065.915469,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400012814","Nodes","-156549",21.000000,23.189749,"Default Known Flow Node","Known Flow",348118.416973,92570.567175,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000998","Nodes","998",21.000000,37.229968,"Default Known Flow Node","Known Flow",346027.199313,92842.107473,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400009031","Nodes","9031",21.000000,37.272622,"Default Known Flow Node","Known Flow",345976.094036,92850.488248,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400012837","Nodes","-196555",21.000000,38.638849,"Default Known Flow Node","Known Flow",345971.519637,92806.142136,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000996","Nodes","996",21.000000,29.685300,"Default Known Flow Node","Known Flow",346605.617532,93562.858445,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000994","Nodes","994",21.000000,27.834373,"Default Known Flow Node","Known Flow",346713.375625,92880.808065,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000995","Nodes","995",21.000000,27.747613,"Default Known Flow Node","Known Flow",346708.530452,92864.932083,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000993","Nodes","993",21.000000,27.834373,"DDS demands","Known Flow",346721.313502,92906.704491,,0.000000,,,-15.229999,,,-0.529999,,,,,,,,-14.092873,-15.759999,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,,,
"82006400012803","Nodes","12803",21.000000,28.440772,"DDS demands","Known Flow",346774.319516,92898.160489,,0.000000,,,,-2.519999,,,,,,,,,,-2.253428,-2.519999,,"",,,,"C4 PROFILE",,,,,,,,,
"82006400000386","Nodes","386",21.000000,27.294049,"DDS demands","Known Flow",346576.597462,92939.270500,,0.000000,-2.779999,,-14.869999,-7.880000,,-0.899999,,,,,,,,-23.634179,-26.429999,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE",,"D1 PROFILE",,,,,,,
"82006400000895","Nodes","895",21.000000,31.249543,"DDS demands","Known Flow",346982.085573,92948.657502,,0.000000,,,,,,-7.760000,,,,,,,,-6.939131,-7.760000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000220","Nodes","220",21.000000,31.933637,"DDS demands","Known Flow",346837.528128,92953.994080,,0.000000,,,,-4.579999,,-28.019999,,,,,,,,-29.151502,-32.599999,,"",,,,"C4 PROFILE",,"D1 PROFILE",,,,,,,
"82006400000991","Nodes","991",21.000000,27.885034,"DDS demands","Known Flow",346661.671774,93178.634834,,0.000000,,,,,,-13.149999,,,,,,,,-11.758964,-13.149999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000989","Nodes","989",21.000000,38.497113,"DDS demands","Known Flow",347603.603402,94578.344373,,0.000000,,,,,,-1.409999,,,,,,,,-1.260847,-1.409999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000990","Nodes","990",21.000000,38.539709,"DDS demands","Known Flow",347615.756289,94574.782149,,0.000000,-30.950000,,,,,,,,,-6.000000,,,,-33.041353,-36.949999,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,,
"82006400012840","Nodes","-2004",21.000000,38.862312,"Default Known Flow Node","Known Flow",347608.259855,94510.980660,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400002005","Nodes","2005",21.000000,38.534038,"Default Known Flow Node","Known Flow",347639.407076,94593.554589,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000987","Nodes",,0.000000,37.773265,"Default Known Flow Node","Known Flow",347541.220725,94541.075936,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000988","Nodes","988",21.000000,37.776882,"DDS demands","Known Flow",347539.344926,94532.566579,,0.000000,-26.639999,,,0.000000,,-5.709999,,,,-63.349996,,,,-85.576647,-95.699994,,"","C1 PROFILE",,,"C4 PROFILE",,"D1 PROFILE",,,,"I2 PROFILE",,,
"82006400000712","Nodes","712",21.000000,38.382200,"DDS demands","Known Flow",347554.788729,94527.358932,,0.000000,,,,,,-2.920000,,,,,,,,-2.611116,-2.920000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000985","Nodes","985",21.000000,37.776573,"Default Known Flow Node","Known Flow",347538.306724,94532.910933,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000983","Nodes","983",21.000000,37.774819,"Default Known Flow Node","Known Flow",347501.496633,94544.423992,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400012839","Nodes","-2003",21.000000,37.774572,"Default Known Flow Node","Known Flow",347496.160119,94546.836252,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000981","Nodes","981",21.000000,37.774572,"Default Known Flow Node","Known Flow",347495.714712,94556.589940,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000979","Nodes","979",21.000000,27.991762,"DDS demands","Known Flow",347865.130935,93043.679136,,0.000000,,,,,,-12.399999,,,,,,,,-11.088301,-12.399999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000978","Nodes","978",21.000000,28.026213,"DDS demands","Known Flow",347866.873229,93134.505605,,0.000000,,,,,,-11.810000,,,,,,,,-10.560714,-11.810000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000888","Nodes","888",21.000000,27.975942,"DDS demands","Known Flow",347926.500007,93152.933862,,0.000000,,,,,,-11.729999,,,,,,,,-10.489175,-11.729999,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000889","Nodes","889",21.000000,28.023800,"DDS demands","Known Flow",347842.511839,93127.482026,,0.000000,,,,,,-1.850000,,,,,,,,-1.654303,-1.850000,,"",,,,,,"D1 PROFILE",,,,,,,
"82006400000887","Nodes",,21.000000,23.480860,"Default Known Flow Node","Known Flow",347993.167373,92594.932789,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000972","Nodes","972",21.000000,37.999877,"Default Known Flow Node","Known Flow",347338.653659,94447.966975,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82006400000970","Nodes","970",21.000000,36.242839,"DDS demands","Known Flow",347997.570849,94506.123926,,0.000000,,,,,,-3.250000,,,,,,,,-2.906208,-3.250000,,"",,,,,,"D1 PROFILE",,,,,,,
