"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82002300000075","Nodes","75","21.000000","30.470584","Default Known Flow Node","Known Flow","477726.646150","127300.561850","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000321","Nodes","321","21.000000","26.479953","DDS demands","Known Flow","477533.896097","127366.811868","","0.000000","","","","-8.669999","","","","","","","-7.752868","-8.669999","","","","","","D1 PROFILE","","","","","",""
"820023-42876","Nodes","-42876","21.000000","26.479953","Default Known Flow Node","Known Flow","477567.271106","127371.811869","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000071","Nodes","71","21.000000","30.131836","Default Known Flow Node","Known Flow","477705.646144","127302.561850","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000423","Nodes","423","21.000000","25.926068","DDS demands","Known Flow","478235.021288","127114.061799","","0.000000","","-6.000000","","-20.079999","","","","","","","-23.321201","-26.080000","","","","C2 PROFILE","","D1 PROFILE","","","","","",""
"820023-43016","Nodes","-43016","21.000000","25.926068","Default Known Flow Node","Known Flow","478237.396289","127113.811799","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000434","Nodes","434","21.000000","22.906018","Default Known Flow Node","Known Flow","478266.521297","127392.811875","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000435","Nodes","435","21.000000","22.950424","Default Known Flow Node","Known Flow","478257.396294","127363.561867","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000389","Nodes","389","21.000000","22.941322","Default Known Flow Node","Known Flow","478329.646314","127345.811862","","0.000000","","","","-15.859999","","","","","","","-14.182295","-15.859999","","","","","","D1 PROFILE","","","","","",""
"82002300000384","Nodes","384","21.000000","22.817296","Default Known Flow Node","Known Flow","478346.271318","127386.061873","","0.000000","","","","-4.839999","","","","","","","-4.328014","-4.839999","","","","","","D1 PROFILE","","","","","",""
"82002300000385","Nodes","385","21.000000","22.943767","Default Known Flow Node","Known Flow","478339.947869","127371.041175","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82002300000572","Nodes","572","21.000000","22.895150","Default Known Flow Node","Known Flow","478466.771351","127338.311860","","0.000000","","","","-19.830000","","","","","","","-17.732341","-19.830000","","","","","","D1 PROFILE","","","","","",""
"82002300000424","Nodes","","21.000000","23.485502","DDS demands","Known Flow","478233.146288","127252.561837","","0.000000","","","","-14.129999","","","","","","","-12.635299","-14.129999","","","","","","D1 PROFILE","","","","","",""
