"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82007200002216","Nodes","2216","21.000000","37.498633","DDS demands","Known Flow","466042.931060","105689.004728","","0.000000","","","","","","-10.869999","","","","","","","-9.720147","-10.869999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001330","Nodes","1330","21.000000","37.758935","DDS demands","Known Flow","466055.892974","105799.180999","","0.000000","","","","","","-12.130000","","","","","","","-10.846863","-12.130000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001167","Nodes","1167","21.000000","36.544122","DDS demands","Known Flow","466490.269312","105076.707386","","0.000000","","","","","","-9.869999","","","","","","","-8.825930","-9.869999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001918","Nodes","1918","21.000000","36.609666","DDS demands","Known Flow","466325.303993","105098.148613","","0.000000","","","","","","-18.490000","","","","","","","-16.534088","-18.490000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001246","Nodes","1246","21.000000","36.979374","DDS demands","Known Flow","466196.143012","105188.680833","","0.000000","","","","-1.399999","","-8.109999","","","","","","","-8.504012","-9.509999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","",""
"82007200001247","Nodes","1247","21.000000","36.979990","DDS demands","Known Flow","466205.518015","105187.930833","","0.000000","","","","","","-16.540001","","","","","","","-14.790365","-16.540001","","","","","","","","D1 PROFILE","","","","","",""
"82007200001917","Nodes","1917","21.000000","36.655554","DDS demands","Known Flow","466339.499965","105102.973548","","0.000000","","","","","","-17.700000","","","","","","","-15.827657","-17.700000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001168","Nodes","1168","21.000000","36.590639","DDS demands","Known Flow","466492.143093","105085.680805","","0.000000","","","","","","-9.569999","","","","","","","-8.557664","-9.569999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001916","Nodes","1916","21.000000","36.879432","DDS demands","Known Flow","466317.376996","105194.213948","","0.000000","","","","","","-22.800000","","","","","","","-20.388169","-22.800000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001170","Nodes","1170","21.000000","36.995360","DDS demands","Known Flow","466506.393097","105188.305833","","0.000000","","","","","","-10.159999","","","","","","","-9.085253","-10.159999","","","","","","","","D1 PROFILE","","","","","",""
"82007200001171","Nodes","1171","21.000000","36.830084","DDS demands","Known Flow","466509.143097","105257.680852","","0.000000","","","","","","-10.150000","","","","","","","-9.076311","-10.150000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001915","Nodes","1915","21.000000","36.584667","DDS demands","Known Flow","466324.981146","105263.644701","","0.000000","","","","","","-20.070000","","","","","","","-17.946953","-20.070000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001249","Nodes","1249","21.000000","36.546839","DDS demands","Known Flow","466136.431687","105274.118863","","0.000000","","","","","","-10.220000","","","","","","","-9.138907","-10.220000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001251","Nodes","1251","21.000000","36.500581","DDS demands","Known Flow","466137.874159","105283.664368","","0.000000","","","","","","-8.760000","","","","","","","-7.833349","-8.760000","","","","","","","","D1 PROFILE","","","","","",""
"82007200001914","Nodes","1914","21.000000","36.543374","DDS demands","Known Flow","466333.887031","105272.236232","","0.000000","","","","","","-19.879999","","","","","","","-17.777052","-19.879999","","","","","","","","D1 PROFILE","","","","","",""
