"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82520900000114","Nodes","114",21.000000,25.677696,"Default Known Flow Node","Known Flow",382568.802500,88565.151562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000006","Nodes","6",21.000000,24.053015,"Default Known Flow Node","Known Flow",382584.583750,88513.846875,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000007","Nodes","7",21.000000,24.146120,"Default Known Flow Node","Known Flow",382616.490000,88546.151562,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000108","Nodes","108",21.000000,25.817038,"Default Known Flow Node","Known Flow",382645.396250,88553.448437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307831","Nodes","-307831",21.000000,25.817038,"Default Known Flow Node","Known Flow",382685.490000,88534.300000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000111","Nodes","111",21.000000,25.956427,"Default Known Flow Node","Known Flow",382673.396250,88581.346875,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000106","Nodes","106",21.000000,25.724138,"Default Known Flow Node","Known Flow",382679.083750,88510.448437,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000107","Nodes","107",21.000000,25.817038,"Default Known Flow Node","Known Flow",382713.896250,88544.346875,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000148","Nodes","148",21.000000,26.229183,"Default Known Flow Node","Known Flow",382783.490000,88537.846875,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900307865","Nodes","-307865",21.000000,26.208855,"Default Known Flow Node","Known Flow",382789.240000,88519.932812,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000068","Nodes","68",21.000000,26.189376,"DDS demands","Known Flow",382852.302500,88604.151562,,0.000000,,,,-6.579999,-1.139999,,,,,-6.903361,-7.719999,,"",,,,"C4 PROFILE","D1 PROFILE",,,,
"82520900000122","Nodes","122",21.000000,25.710166,"Default Known Flow Node","Known Flow",382922.396250,88869.050000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"82520900000150","Nodes","150",21.000000,24.620677,"Default Known Flow Node","Known Flow",382951.896250,88850.846875,,0.000000,,,,,-2.730000,,,,,-2.441214,-2.730000,,"",,,,,"D1 PROFILE",,,,
"82520900000123","Nodes","123",21.000000,23.417211,"DDS demands","Known Flow",382988.302500,88869.050000,,0.000000,,,,,-3.359999,,,,,-3.004572,-3.359999,,"",,,,,"D1 PROFILE",,,,
"82520900000151","Nodes","151",21.000000,24.618631,"DDS demands","Known Flow",382959.896250,88829.948437,,0.000000,,,,,-1.059999,,,,,-0.947870,-1.059999,,"",,,,,"D1 PROFILE",,,,
"82520900000124","Nodes","124",21.000000,23.500309,"DDS demands","Known Flow",383027.583750,88872.050000,,0.000000,,,,,-5.330000,,,,,-4.766181,-5.330000,,"",,,,,"D1 PROFILE",,,,
