"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82000800000662","Nodes","662","21.000000","32.612277","DDS demands","Known Flow","404106.376117","100793.804637","","0.000000","","","","","-1.620000","","","","","","-1.448633","-1.620000","","","","","","","D1 PROFILE","","","","",""
"82000800000659","Nodes","659","21.000000","32.980345","Default Known Flow Node","Known Flow","404074.376108","100701.054612","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000603","Nodes","603","21.000000","31.969927","DDS demands","Known Flow","404124.387711","100717.523352","","0.000000","","","","","-6.510000","","","","","","-5.821358","-6.510000","","","","","","","D1 PROFILE","","","","",""
"82000800000665","Nodes","665","21.000000","29.937544","DDS demands","Known Flow","404200.001142","100808.054641","","0.000000","","","","","-1.309999","","","","","","-1.171425","-1.309999","","","","","","","D1 PROFILE","","","","",""
"82000800000666","Nodes","666","21.000000","29.877916","DDS demands","Known Flow","404256.251158","100805.054640","","0.000000","","","","","-3.890000","","","","","","-3.478507","-3.890000","","","","","","","D1 PROFILE","","","","",""
"82000800001232","Nodes","1232","21.000000","34.898611","DDS demands","Known Flow","404264.126160","100490.304554","","0.000000","","","","","-7.450000","","","","","","-6.661923","-7.450000","","","","","","","D1 PROFILE","","","","",""
"82000800000362","Nodes","362","21.000000","25.870670","DDS demands","Known Flow","402452.468667","101094.539719","","0.000000","","-63.919996","","","","","","","","","-57.158406","-63.919996","","","","C2 PROFILE","","","","","","","",""
"82000800001565","Nodes","1565","21.000000","25.914647","Default Known Flow Node","Known Flow","402411.581656","101110.323723","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800001596","Nodes","1596","21.000000","31.490232","Default Known Flow Node","Known Flow","402898.720524","101001.886254","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000153","Nodes","153","21.000000","24.556148","DDS demands","Known Flow","402967.625807","101391.304800","","0.000000","","","","","-21.610000","","","","","","-19.324049","-21.610000","","","","","","","D1 PROFILE","","","","",""
"82000800001023","Nodes","1023","21.000000","31.966160","DDS demands","Known Flow","402816.000766","101255.304763","","0.000000","","","","","-12.319999","","","","","","-11.016764","-12.319999","","","","","","","D1 PROFILE","","","","",""
"82000800000170","Nodes","170","21.000000","31.480404","DDS demands","Known Flow","402895.644787","101013.268697","","0.000000","","","-1.539999","","-13.499999","","","","","","-13.449037","-15.039999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"82000800000852","Nodes","852","21.000000","26.369663","DDS demands","Known Flow","402529.125688","101205.054749","","0.000000","","","","","-2.990000","","","","","","-2.673711","-2.990000","","","","","","","D1 PROFILE","","","","",""
"82000800001567","Nodes","1567","21.000000","29.266306","Default Known Flow Node","Known Flow","402688.375731","101140.804731","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000552","Nodes","552","21.000000","25.850589","DDS demands","Known Flow","402536.750690","101277.804769","","0.000000","","","","","-13.340000","","","","","","-11.928867","-13.340000","","","","","","","D1 PROFILE","","","","",""
"82000800000853","Nodes","853, P13132513, COLEHILL LANE, SCH 9.05","22.999998","25.176253","CSEP Unmatched","Known Flow","402547.375693","101326.054782","","0.000000","","","","","-6.340000","","","","-9.050000","","-13.762014","-15.389999","","","","","","","D1 PROFILE","","","","PL-DC PROFILE",""
"82000800000553","Nodes","553","21.000000","25.720797","DDS demands","Known Flow","402579.250701","101218.304752","","0.000000","","","","","-4.139999","","","","","","-3.702062","-4.139999","","","","","","","D1 PROFILE","","","","",""
"82000800001566","Nodes","1566","21.000000","25.720775","Default Known Flow Node","Known Flow","402581.250702","101217.304752","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000555","Nodes","555","21.000000","25.557034","DDS demands","Known Flow","402634.750716","101291.304772","","0.000000","","","","","-7.730000","","","","","","-6.912304","-7.730000","","","","","","","D1 PROFILE","","","","",""
"82000800001012","Nodes","1012","21.000000","29.727614","DDS demands","Known Flow","402692.753440","101139.302240","","0.000000","","","","","-5.019999","","","","","","-4.488973","-5.019999","","","","","","","D1 PROFILE","","","","",""
"82000800001568","Nodes","1568","21.000000","29.722321","Default Known Flow Node","Known Flow","402691.375732","101137.804731","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000152","Nodes","152","21.000000","30.424967","DDS demands","Known Flow","402698.375734","101144.054732","","0.000000","","","","","-5.400000","","","","","","-4.828776","-5.400000","","","","","","","D1 PROFILE","","","","",""
"82000800000393","Nodes","393","21.000000","32.014277","Default Known Flow Node","Known Flow","402807.250763","101249.304761","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"82000800000956","Nodes","956","21.000000","33.219876","DDS demands","Known Flow","402844.125773","101181.054742","","0.000000","","","","","-0.340000","","","","","","-0.304034","-0.340000","","","","","","","D1 PROFILE","","","","",""
"82000800000957","Nodes","957","21.000000","33.435690","DDS demands","Known Flow","402858.625777","101183.054743","","0.000000","","","","","-0.150000","","","","","","-0.134132","-0.150000","","","","","","","D1 PROFILE","","","","",""
