"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82820900000136","Nodes","136",21.000000,28.366066,"DDS demands","Known Flow",383837.120601,86645.050787,,0.000000,,,,-18.319999,,,,,-16.382072,-18.319999,,"",,,,"D1 PROFILE",,,,
"82820900000039","Nodes","39",21.000000,33.602130,"DDS demands","Known Flow",383987.370642,86313.925697,,0.000000,,,,-3.289999,,,,,-2.941976,-3.289999,,"",,,,"D1 PROFILE",,,,
"82820900259643","Nodes","-259643",21.000000,30.736407,"Default Known Flow Node","Known Flow",383806.370593,86310.550696,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000252","Nodes","252",21.000000,30.335914,"DDS demands","Known Flow",383801.495592,86380.800715,,0.000000,,,,-7.880000,,,,,-7.046437,-7.880000,,"",,,,"D1 PROFILE",,,,
"82820900000034","Nodes","34",21.000000,33.948300,"DDS demands","Known Flow",383873.120611,86357.925709,,0.000000,,,,-4.469999,,,,,-3.997153,-4.469999,,"",,,,"D1 PROFILE",,,,
"82820900000057","Nodes","57",21.000000,32.461925,"DDS demands","Known Flow",383896.245617,86186.050662,,0.000000,,,,-4.219999,,,,,-3.773599,-4.219999,,"",,,,"D1 PROFILE",,,,
"82820900000042","Nodes","42",21.000000,33.641798,"DDS demands","Known Flow",383979.120640,86210.425669,,0.000000,,,,-5.209999,,,,,-4.658875,-5.209999,,"",,,,"D1 PROFILE",,,,
"82820900000056","Nodes","56",21.000000,33.449603,"DDS demands","Known Flow",383993.870644,86183.925662,,0.000000,,,,-10.189999,,,,,-9.112080,-10.189999,,"",,,,"D1 PROFILE",,,,
"82820900000040","Nodes","40",21.000000,33.649600,"DDS demands","Known Flow",383988.120642,86272.050685,,0.000000,,,,-5.209999,,,,,-4.658875,-5.209999,,"",,,,"D1 PROFILE",,,,
"82820900000038","Nodes","38",21.000000,33.601769,"DDS demands","Known Flow",383998.370645,86314.300697,,0.000000,,,,-1.700000,,,,,-1.520170,-1.700000,,"",,,,"D1 PROFILE",,,,
"82820900000058","Nodes","58",21.000000,33.152808,"DDS demands","Known Flow",383974.370639,86130.675647,,0.000000,,,,-5.940000,,,,,-5.311654,-5.940000,,"",,,,"D1 PROFILE",,,,
"82820900259672","Nodes","-259672",21.000000,33.573480,"Default Known Flow Node","Known Flow",384043.120657,86287.550690,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900259673","Nodes","-259673",21.000000,33.573480,"Default Known Flow Node","Known Flow",384047.870659,86287.675690,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000048","Nodes","48",21.000000,35.787032,"DDS demands","Known Flow",384082.245668,86386.050717,,0.000000,,,,-1.279999,,,,,-1.144598,-1.279999,,"",,,,"D1 PROFILE",,,,
"82820900000047","Nodes","47",21.000000,35.746869,"DDS demands","Known Flow",384068.620664,86390.925718,,0.000000,,,,-3.880000,,,,,-3.469565,-3.880000,,"",,,,"D1 PROFILE",,,,
"82820900259716","Nodes","-259716",21.000000,36.615687,"DDS demands","Known Flow",384214.620704,86489.925745,,0.000000,,,,-1.710000,,,,,-1.529112,-1.710000,,"",,,,"D1 PROFILE",,,,
"82820900259715","Nodes","-259715",21.000000,36.617429,"Default Known Flow Node","Known Flow",384205.995702,86489.550745,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000098","Nodes","98",21.000000,34.769332,"DDS demands","Known Flow",384473.745775,86486.675744,,0.000000,,,,-5.749999,,,,,-5.141752,-5.749999,,"",,,,"D1 PROFILE",,,,
"82820900259670","Nodes","-259670",21.000000,33.644217,"Default Known Flow Node","Known Flow",384032.495655,86314.800697,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900259679","Nodes","-259679",21.000000,33.573480,"Default Known Flow Node","Known Flow",384060.370662,86287.675690,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000041","Nodes","41",21.000000,33.659663,"DDS demands","Known Flow",384048.048074,86268.426168,,0.000000,,,,-5.140000,,,,,-4.596280,-5.140000,,"",,,,"D1 PROFILE",,,,
"82820900000049","Nodes","49",21.000000,35.743721,"DDS demands","Known Flow",384053.245660,86397.925720,,0.000000,,,,-1.269999,,,,,-1.135656,-1.269999,,"",,,,"D1 PROFILE",,,,
"82820900000054","Nodes","54",21.000000,33.975374,"DDS demands","Known Flow",384076.245666,86267.925684,,0.000000,,,,-3.489999,,,,,-3.120820,-3.489999,,"",,,,"D1 PROFILE",,,,
"82820900000055","Nodes","55",21.000000,33.937213,"DDS demands","Known Flow",384075.620666,86232.800675,,0.000000,,,,-3.899999,,,,,-3.487449,-3.899999,,"",,,,"D1 PROFILE",,,,
"82820900000032","Nodes","32",21.000000,36.200186,"DDS demands","Known Flow",384050.745660,86468.550739,,0.000000,,,,-2.339999,,,,,-2.092469,-2.339999,,"",,,,"D1 PROFILE",,,,
"82820900000053","Nodes","53",21.000000,34.091485,"DDS demands","Known Flow",384083.870669,86277.550687,,0.000000,,,,-2.929999,,,,,-2.620058,-2.929999,,"",,,,"D1 PROFILE",,,,
"82820900259692","Nodes","-259692",21.000000,35.894802,"Default Known Flow Node","Known Flow",384093.745671,86330.800701,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000051","Nodes","51",21.000000,35.900633,"DDS demands","Known Flow",384094.495671,86335.550703,,0.000000,,,,-11.119999,,,,,-9.943702,-11.119999,,"",,,,"D1 PROFILE",,,,
"82820900000052","Nodes","52",21.000000,35.796574,"DDS demands","Known Flow",384070.370665,86366.425711,,0.000000,,,,-3.989999,,,,,-3.567929,-3.989999,,"",,,,"D1 PROFILE",,,,
"82820900259695","Nodes","-259695",21.000000,35.966745,"Default Known Flow Node","Known Flow",384104.745674,86386.050717,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900000030","Nodes","30",21.000000,36.045386,"DDS demands","Known Flow",384109.370675,86406.925722,,0.000000,,,,-3.829999,,,,,-3.424854,-3.829999,,"",,,,"D1 PROFILE",,,,
"82820900000024","Nodes","24",21.000000,36.284864,"DDS demands","Known Flow",384116.495677,86490.800745,,0.000000,,,,-3.530000,,,,,-3.156589,-3.530000,,"",,,,"D1 PROFILE",,,,
"82820900000025","Nodes","25",21.000000,36.304093,"Default Known Flow Node","Known Flow",384126.878220,86455.926659,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900259708","Nodes","-259708",21.000000,36.304093,"Default Known Flow Node","Known Flow",384135.245683,86458.300736,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"82820900259713","Nodes","-259713",21.000000,36.617059,"DDS demands","Known Flow",384195.870699,86487.425744,,0.000000,,,,-0.720000,,,,,-0.643836,-0.720000,,"",,,,"D1 PROFILE",,,,
"82820900000099","Nodes","99",21.000000,34.373800,"DDS demands","Known Flow",384309.620730,86498.800747,,0.000000,,,,-9.739999,,,,,-8.709681,-9.739999,,"",,,,"D1 PROFILE",,,,
"82820900000101","Nodes","101",21.000000,30.782656,"DDS demands","Known Flow",384546.745794,86405.675722,,0.000000,,,,-16.620000,,,,,-14.861901,-16.620000,,"",,,,"D1 PROFILE",,,,
"82820900000126","Nodes","126",21.000000,30.434795,"DDS demands","Known Flow",384587.120805,86360.800710,,0.000000,,,,-4.360000,,,,,-3.898790,-4.360000,,"",,,,"D1 PROFILE",,,,
"82820900000127","Nodes","127",21.000000,30.656514,"DDS demands","Known Flow",384673.120829,86287.175690,,0.000000,,,,-3.720000,,,,,-3.326490,-3.720000,,"",,,,"D1 PROFILE",,,,
"82820900000124","Nodes","124",21.000000,30.466351,"DDS demands","Known Flow",384594.120807,86384.675716,,0.000000,,,,-1.290000,,,,,-1.153541,-1.290000,,"",,,,"D1 PROFILE",,,,
"82820900000128","Nodes","128",21.000000,30.042937,"DDS demands","Known Flow",384607.495811,86181.675661,,0.000000,,,,-11.779999,,,,,-10.533886,-11.779999,,"",,,,"D1 PROFILE",,,,
"82820900000129","Nodes","129",21.000000,29.928750,"DDS demands","Known Flow",384597.995808,86047.925625,,0.000000,,,,-4.110000,,,,,-3.675235,-4.110000,,"",,,,"D1 PROFILE",,,,
"82820900000087","Nodes","87",21.000000,40.044746,"DDS demands","Known Flow",383132.745410,86885.175852,,0.000000,,,,-7.610000,,,,,-6.804998,-7.610000,,"",,,,"D1 PROFILE",,,,
"82820900000088","Nodes","88",21.000000,39.527023,"DDS demands","Known Flow",383217.495433,86865.800847,,0.000000,,,,-6.959999,,,,,-6.223756,-6.959999,,"",,,,"D1 PROFILE",,,,
"82820900000089","Nodes","89",21.000000,33.579630,"DDS demands","Known Flow",383112.481171,86740.302455,,0.000000,,,,-2.769999,,,,,-2.476983,-2.769999,,"",,,,"D1 PROFILE",,,,
"82820900000091","Nodes","91",21.000000,31.164902,"DDS demands","Known Flow",383134.620410,86602.800775,,0.000000,,,,-7.550000,,,,,-6.751345,-7.550000,,"",,,,"D1 PROFILE",,,,
"82820900000090","Nodes","90",21.000000,33.556456,"DDS demands","Known Flow",383194.995427,86722.800808,,0.000000,,,,-1.990000,,,,,-1.779493,-1.990000,,"",,,,"D1 PROFILE",,,,
"82820900000131","Nodes","131",21.000000,34.329533,"DDS demands","Known Flow",383116.495405,86771.925822,,0.000000,,,,-5.680000,,,,,-5.079157,-5.680000,,"",,,,"D1 PROFILE",,,,
