"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82013300000239","Nodes","239","21.000000","35.858370","Default Known Flow Node","Known Flow","422978.020087","148591.182187","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000213","Nodes","213","21.000000","37.048789","Default Known Flow Node","Known Flow","423264.963662","148755.939285","","0.000000","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000212","Nodes","212","21.000000","39.312687","DDS demands","Known Flow","423303.081656","148756.163915","","0.000000","-18.000000","0.000000","","","","","","","","","","","","-16.095922","-18.000000","","","C1 PROFILE","C2 PROFILE","","","","","","","","","","",""
"82013300000294","Nodes","294","21.000000","39.295172","DDS demands","Known Flow","421941.004970","147989.878479","","0.000000","-7.629999","","","","","","","","","","","","","-6.822882","-7.629999","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000293","Nodes","293","21.000000","38.598110","Default Known Flow Node","Known Flow","421990.570976","148185.674284","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000392","Nodes","392","21.000000","28.138170","DDS demands","Known Flow","423558.708410","149273.102829","","0.000000","","","","","","-5.949999","","","","","","","","-5.320596","-5.949999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000399","Nodes","399","21.000000","59.221943","DDS demands","Known Flow","423609.959687","148268.983637","","0.000000","","","","","","-4.999999","","","","","","","","-4.471089","-4.999999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000006","Nodes","Bazaar Road DG, Constant","21.000000","40.000000","Default Known Pressure Node","Known Pressure","422964.389248","148528.088626","","4239.999973","","","","","","","","","","","","","","360.714978","403.385988","","","","","","","","","","","","","","",""
"82013300000230","Nodes","230","21.000000","26.026284","DDS demands","Known Flow","423012.262261","148794.033698","","0.000000","-10.689999","","-1.630000","","","","","","","","","","","-11.016764","-12.319999","","","C1 PROFILE","","C4 PROFILE","","","","","","","","","",""
"82013300000289","Nodes","289","21.000000","38.407511","Default Known Flow Node","Known Flow","421989.852430","148395.557550","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000292","Nodes","292","21.000000","38.363970","Default Known Flow Node","Known Flow","421926.840966","148445.501603","","0.000000","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000273","Nodes","273","21.000000","38.352985","Default Known Flow Node","Known Flow","422157.659450","148150.033429","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000270","Nodes","270","21.000000","38.356881","DDS demands","Known Flow","422162.660405","148150.897755","","0.000000","","","-4.449999","","","","","","","","","","","-3.979269","-4.449999","","","","","C4 PROFILE","","","","","","","","","",""
"82013300000412","Nodes","412","21.000000","38.356939","Default Known Flow Node","Known Flow","422172.961729","148147.071698","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000247","Nodes","247","21.000000","37.056885","DDS demands","Known Flow","422702.764564","148269.893699","","0.000000","-72.000001","","","","","","","","","","","","","-64.383691","-72.000001","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000245","Nodes","245","21.000000","37.031023","DDS demands","Known Flow","422802.421204","148334.549573","","0.000000","-120.260002","","","","","0.000000","","","","","","","","-107.538646","-120.260002","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"82013300000242","Nodes","242","21.000000","38.858630","DDS demands","Known Flow","422960.804247","148522.152624","","0.000000","-56.070001","","","","","","","","","","","","","-50.138797","-56.070001","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000231","Nodes","231","21.000000","25.655662","DDS demands","Known Flow","423007.985907","148780.870488","","0.000000","","","-14.680000","","","","","","","","","","","-13.127118","-14.680000","","","","","C4 PROFILE","","","","","","","","","",""
"82013300000015","Nodes","Church Lane DG, Constant","21.000000","22.999999","Default Known Pressure Node","Known Pressure","423727.772456","147968.858474","","419.999989","","","","","","","","","","","","","","29.312462","32.779999","","","","","","","","","","","","","","",""
"82013300000114","Nodes","114","21.000000","31.283377","DDS demands","Known Flow","423610.400424","148999.070754","","0.000000","","","","","","-5.209999","","","","","","","","-4.658875","-5.209999","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000113","Nodes","113","21.000000","31.330412","DDS demands","Known Flow","423637.273233","148971.080883","","0.000000","","","","","","-5.070000","","","","","","","","-4.533684","-5.070000","","","","","","","","D1 PROFILE","","","","","","",""
"82013300000112","Nodes","112","21.000000","31.332479","Default Known Flow Node","Known Flow","423644.813434","148976.395748","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000013","Nodes","Ashdown Terrace DG, Constant","21.000000","69.999999","Default Known Pressure Node","Known Pressure","423933.513512","148392.893589","","1979.999977","","","","","","","","","","","","","","173.326256","193.829991","","","","","","","","","","","","","","",""
"82013300000330","Nodes","330","21.000000","21.926149","Default Known Flow Node","Known Flow","422712.186180","148060.315499","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000326","Nodes","326","21.000000","25.500733","DDS demands","Known Flow","422830.842212","148197.604536","","0.000000","-6.000000","","","","","","","","","","","","","-5.365307","-6.000000","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000325","Nodes","325","21.000000","25.386443","Default Known Flow Node","Known Flow","422794.941202","148118.945515","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000321","Nodes","321","21.000000","44.739609","Default Known Flow Node","Known Flow","422826.129136","148006.705946","","0.000000","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","C1 PROFILE","","","","","","","","","","","",""
"82013300000007","Nodes","Dasna Road DG, Constant","21.000000","45.000001","Default Known Pressure Node","Known Pressure","422824.650210","148005.790484","","2099.999985","","","","","","","","","","","","","","446.232631","499.020000","","","","","","","","","","","","","","",""
"82013300000234","Nodes","234","21.000000","32.463540","Default Known Flow Node","Known Flow","422989.850332","148654.965395","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300003791","Nodes","3791","21.000000","32.627036","Default Known Flow Node","Known Flow","422992.169129","148649.804927","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000238","Nodes","238","21.000000","35.206046","Default Known Flow Node","Known Flow","423006.552369","148597.438987","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000251","Nodes","251","21.000000","37.251729","Default Known Flow Node","Known Flow","422703.840177","148224.858543","","0.000000","","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","C4 PROFILE","","","","","","","","","",""
"82013300000254","Nodes","254","21.000000","37.511558","Default Known Flow Node","Known Flow","422666.881263","148242.915952","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"82013300000424","Nodes","424","21.000000","37.912387","DDS demands","Known Flow","422629.238074","148215.545338","","0.000000","-295.179997","","","","","","","","","","","","","-263.955238","-295.179997","","","C1 PROFILE","","","","","","","","","","","",""
