"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"82005100001031","Nodes","1031",21.000000,35.779631,"Default Known Flow Node","Known Flow",369745.473703,89844.437757,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001017","Nodes","1017",21.000000,35.064397,"DDS demands","Known Flow",369814.335786,89796.836645,,0.000000,,,,,,,-3.510000,,,,,,,-3.138704,-3.510000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001024","Nodes","1024",21.000000,35.051098,"DDS demands","Known Flow",369842.001793,89821.723651,,0.000000,,,,,,,-2.049999,,,,,,,-1.833146,-2.049999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001026","Nodes","1026",21.000000,35.051098,"Default Known Flow Node","Known Flow",369821.549788,89856.401661,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001025","Nodes","1025",21.000000,35.051098,"Default Known Flow Node","Known Flow",369829.735790,89823.379652,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001022","Nodes","1022",21.000000,33.373592,"Default Known Flow Node","Known Flow",369937.396819,89780.125640,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001029","Nodes","1029",21.000000,33.330166,"Default Known Flow Node","Known Flow",369942.027820,89756.392634,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001020","Nodes","1020",21.000000,33.402879,"Default Known Flow Node","Known Flow",369906.696811,89774.192638,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001019","Nodes","1019",21.000000,34.042948,"Default Known Flow Node","Known Flow",369875.882802,89776.719639,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001018","Nodes","1018",21.000000,34.531366,"Default Known Flow Node","Known Flow",369850.910796,89763.422636,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000602","Nodes","602",21.000000,36.435871,"DDS demands","Known Flow",369955.318824,90176.999748,,0.000000,,,,,,,-20.659999,,,-18.069999,,,,-34.633059,-38.730000,,"",,,,,,,"D1 PROFILE",,,"I2 PROFILE",,,
"82005100001016","Nodes","1016",21.000000,35.619903,"Default Known Flow Node","Known Flow",370054.114851,90166.469745,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000304","Nodes","304",21.000000,34.207774,"DDS demands","Known Flow",370093.909478,90134.313467,,0.000000,,,,,,,-1.479999,,,,,,,-1.323442,-1.479999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100000580","Nodes","580",21.000000,34.487845,"DDS demands","Known Flow",370025.675472,90240.093688,,0.000000,,,,,,,-16.760000,,,,,,,-14.987092,-16.760000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001010","Nodes","1010",21.000000,32.346070,"Default Known Flow Node","Known Flow",370018.368349,90550.199249,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100001012","Nodes","1012",21.000000,32.294603,"Default Known Flow Node","Known Flow",369995.754365,90409.766909,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000293","Nodes","293",21.000000,32.355781,"DDS demands","Known Flow",370003.548837,90364.304799,,0.000000,,,,,,,-0.340000,,,,,,,-0.304034,-0.340000,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001008","Nodes","1008",21.000000,37.173663,"Default Known Flow Node","Known Flow",369396.289672,90755.844906,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000948","Nodes","948",21.000000,37.159727,"DDS demands","Known Flow",369402.538674,90791.735915,,0.000000,,,,,,,-4.469999,,,,,,,-3.997153,-4.469999,,"",,,,,,,"D1 PROFILE",,,,,,
"82005100001009","Nodes","1009",21.000000,37.735679,"Default Known Flow Node","Known Flow",369413.254677,90824.674924,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82005100000969","Nodes","969",21.000000,30.034342,"Default Known Flow Node","Known Flow",368514.151432,91071.310991,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
