"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"82012400001135","Nodes","1135",21.000000,28.416232,"DDS demands","Known Flow",464352.173719,99699.968010,,0.000000,,,,,,,-2.640000,,,,,,,-2.360735,-2.640000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400002938","Nodes","2938",21.000000,28.578906,"DDS demands","Known Flow",464353.641650,99674.069526,,0.000000,,,,,,,-16.389999,,,,,,,-14.656231,-16.389999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400006567","Nodes","6567",21.000000,28.704397,"Default Known Flow Node","Known Flow",464353.892511,99659.054328,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001100","Nodes","1100",21.000000,28.697525,"DDS demands","Known Flow",464372.767516,99636.929322,,0.000000,,,,,,,-1.830000,,,,,,,-1.636418,-1.830000,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400006383","Nodes","6383",21.000000,28.697525,"Default Known Flow Node","Known Flow",464384.767519,99625.054319,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001128","Nodes","1128",21.000000,30.033834,"DDS demands","Known Flow",464490.391230,99727.265865,,0.000000,,,,,,,-12.799999,,,,,,,-11.445988,-12.799999,,"",,,,,,,"D1 PROFILE",,,,,,
"82012400001129","Nodes","1129",21.000000,29.912303,"Default Known Flow Node","Known Flow",464433.774257,99730.554035,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001131","Nodes","1131",21.000000,29.800438,"Default Known Flow Node","Known Flow",464431.142532,99678.429333,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001489","Nodes","1489",21.000000,29.190254,"Default Known Flow Node","Known Flow",464287.642493,99172.054196,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"82012400001488","Nodes","1488",21.000000,28.322911,"Default Known Flow Node","Known Flow",464257.675738,99182.182985,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
