"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96113000010430","Nodes","10430,","21.000000","21.482214","Default Known Flow Node","Known Flow","559944.043522","149154.817796","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000011423","Nodes","11423,","21.000000","21.575013","DDS demands","Known Flow","559983.668533","149197.817808","","0.000000","","","","","","-4.590000","","","","","","","","","","-4.104460","-4.590000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113006703017","Nodes","6703017,","21.000000","20.886133","DDS demands","Known Flow","559936.918520","149284.817832","","0.000000","","","","","","-22.750000","","","","","","","","","","-20.343458","-22.750000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000011273","Nodes","11273,","21.000000","21.566185","DDS demands","Known Flow","559977.918531","149202.317809","","0.000000","","","","","","-5.630000","","","","","","","","","","-5.034446","-5.630000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000011485","Nodes","11485,","21.000000","21.478137","DDS demands","Known Flow","559923.668516","149188.817806","","0.000000","","","","","","-5.409999","","","","","","","","","","-4.837718","-5.409999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010419","Nodes","10419,","21.000000","20.854633","Default Known Flow Node","Known Flow","559969.918529","149305.317837","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010253","Nodes","10253,","21.000000","21.395986","Default Known Flow Node","Known Flow","559994.418536","149100.567782","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113000010435","Nodes","10435,","21.000000","21.339040","Default Known Flow Node","Known Flow","559985.418533","149068.317773","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96113006703027","Nodes","6703027,","21.000000","21.339040","DDS demands","Known Flow","559991.043535","149073.192774","","0.000000","","","","","","-11.029999","","","","","","","","","","-9.863223","-11.029999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96113000010626","Nodes","10626,","21.000000","33.715011","Default Known Flow Node","Known Flow","556731.667648","149833.067981","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
