"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96115007314082","Nodes","-328930","21.000000","31.041585","Default Known Flow Node","Known Flow","583993.430000","177621.020000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314083","Nodes","-328933","21.000000","31.034307","Default Known Flow Node","Known Flow","584009.305000","177623.270000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314089","Nodes","-368024","21.000000","21.024456","Default Known Flow Node","Known Flow","584302.430000","178245.145000","","0.000000","","","-6.929999","","","","-6.196929","-6.929999","","","","","D1 PROFILE","","",""
"96115007314088","Nodes","-368022","21.000000","21.052369","Default Known Flow Node","Known Flow","584292.555000","178245.145000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314044","Nodes","7314044","21.000000","24.182381","DDS demands","Known Flow","584007.555000","178210.895000","","0.000000","","","-12.420000","","","","-11.106186","-12.420000","","","","","D1 PROFILE","","",""
"96115007314045","Nodes","7314045","21.000000","24.259544","DDS demands","Known Flow","583911.555000","178226.270000","","0.000000","","","-12.810000","","","","-11.454931","-12.810000","","","","","D1 PROFILE","","",""
"96115007314046","Nodes","7314046","21.000000","24.269496","DDS demands","Known Flow","584055.180000","178335.270000","","0.000000","","","-0.939999","","","","-0.840564","-0.939999","","","","","D1 PROFILE","","",""
"96115007314047","Nodes","7314047","21.000000","24.149676","DDS demands","Known Flow","584050.930000","178296.770000","","0.000000","","","-15.350000","","","","-13.726245","-15.350000","","","","","D1 PROFILE","","",""
"96115007314087","Nodes","-368021","21.000000","21.030021","Default Known Flow Node","Known Flow","584275.555000","178245.270000","","0.000000","","","-4.389999","","","","-3.925616","-4.389999","","","","","D1 PROFILE","","",""
"96115007314049","Nodes","7314049","21.000000","21.308242","DDS demands","Known Flow","584292.680000","178277.770000","","0.000000","","","-3.930000","","","","-3.514276","-3.930000","","","","","D1 PROFILE","","",""
"96115007314048","Nodes","7314048","21.000000","21.572742","Default Known Flow Node","Known Flow","584272.305000","178277.145000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314018","Nodes","7314018","21.000000","23.318022","DDS demands","Known Flow","584104.930000","178292.645000","","0.000000","","","-14.770000","","","","-13.207598","-14.770000","","","","","D1 PROFILE","","",""
"96115007314085","Nodes","-367690","21.000000","29.758676","Default Known Flow Node","Known Flow","583964.430000","177699.270000","","0.000000","","","-9.370000","","","","-8.378822","-9.370000","","","","","D1 PROFILE","","",""
"96115007314086","Nodes","-367691","21.000000","29.896116","Default Known Flow Node","Known Flow","583972.305000","177700.895000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96115007314057","Nodes","-1481838","21.000000","21.575545","Default Known Flow Node","Known Flow","584268.555000","178276.645000","","0.000000","","","-13.959999","","","","-12.483281","-13.959999","","","","","D1 PROFILE","","",""
"96115007314050","Nodes","7314050","21.000000","21.332643","DDS demands","Known Flow","584372.680000","178290.770000","","0.000000","","","-7.459999","","","","-6.670865","-7.459999","","","","","D1 PROFILE","","",""
"96115007314051","Nodes","7314051","21.000000","21.275616","DDS demands","Known Flow","584397.055000","178292.395000","","0.000000","","-6.229999","","","","","-5.570977","-6.229999","","","","C4 PROFILE","","","",""
"96115000001008","Nodes","","21.000000","24.161512","Default Known Flow Node","Known Flow","583573.519594","177532.296023","","0.000000","","","-9.319999","","","","-8.334110","-9.319999","","","","","D1 PROFILE","","",""
"96115000000001","Nodes","Maximo, 245413, -38.77 scmh","21.000000","21.022330","Point Loads","Known Flow","583516.207464","177528.814614","","0.000000","","","","","-38.769999","","-34.668826","-38.769999","","","","","","","PL-AF PROFILE",""
"96115000000002","Nodes","P07115311, Avery way, -32.01 SCMH","24.000000","24.616169","CSEP DDS Matched","Known Flow","583931.671297","177992.447989","","0.000000","-32.279998","","","","","-32.009997","-57.489266","-64.289996","","","C2 PROFILE","","","","","DC PROFILE"
