"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-DC)"
"96112706323243","Nodes","6323243","21.000000","26.697767","DDS demands","Known Flow","606228.806115","158173.570250","","0.000000","","","","","","","-5.320000","","","","","","","-4.757239","-5.320000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323269","Nodes","6323269","21.000000","26.705031","DDS demands","Known Flow","606254.674465","157956.070044","","0.000000","","","","","","","-3.209999","","","","","","","-2.870439","-3.209999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323175","Nodes","6323175","21.000000","25.515001","DDS demands","Known Flow","605017.430785","161978.071286","","0.000000","","","","","","","-9.149999","","","","","","","-8.182093","-9.149999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323166","Nodes","6323166","21.000000","27.353164","Default Known Flow Node","Known Flow","604941.125507","161807.107566","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323167","Nodes","6323167","21.000000","30.134404","DDS demands","Known Flow","604740.881159","161605.965423","","0.000000","","","","","","","-7.869999","","","","","","","-7.037494","-7.869999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324183","Nodes","-1877","21.000000","31.078298","Default Known Flow Node","Known Flow","604691.587487","161535.537152","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324182","Nodes","-1876","21.000000","31.202361","Default Known Flow Node","Known Flow","604683.642791","161528.111717","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323168","Nodes","6323168","21.000000","32.843830","DDS demands","Known Flow","604606.705447","161407.556940","","0.000000","","","","","","","-14.389999","","","","","","","-12.867795","-14.389999","","","","","","","","","D1 PROFILE","","","","","",""
"96112706324157","Nodes","-1833","21.000000","39.535830","Default Known Flow Node","Known Flow","605430.816971","160426.337140","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323185","Nodes","6323185","21.000000","40.467422","Default Known Flow Node","Known Flow","605588.732195","160317.659329","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706324156","Nodes","-1832","21.000000","41.852540","DDS demands","Known Flow","605860.311370","160163.208912","","0.000000","","","","","","","-3.520000","","","","","","","-3.147647","-3.520000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323183","Nodes","6323183","21.000000","38.969622","DDS demands","Known Flow","605012.430784","160559.070900","","0.000000","","","","","","","-4.770000","","","","","","","-4.265419","-4.770000","","","","","","","","","D1 PROFILE","","","","","",""
"96112706323184","Nodes","6323184","21.000000","39.193307","Default Known Flow Node","Known Flow","605297.361651","160469.269038","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"96112706323181","Nodes","6323181","21.000000","37.673505","DDS demands","Known Flow","604664.037254","160798.573872","","0.000000","","","","","","","-3.260000","","","","","","","-2.915150","-3.260000","","","","","","","","","D1 PROFILE","","","","","",""
