"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"96120509703407","Nodes","9703407","21.000000","47.591521","DDS demands","Known Flow","573614.650000","123540.800000","","0.000000","","","-18.299999","","-16.364187","-18.299999","","","","","D1 PROFILE",""
"96120509703472","Nodes","-310274","21.000000","47.882764","Default Known Flow Node","Known Flow","573646.900000","123557.432812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703473","Nodes","-310275","21.000000","47.848140","Default Known Flow Node","Known Flow","573648.400000","123550.550000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703474","Nodes","-310276","21.000000","47.884744","Default Known Flow Node","Known Flow","573658.650000","123560.800000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703475","Nodes","-310277","21.000000","47.917843","Default Known Flow Node","Known Flow","573660.400000","123554.300000","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703484","Nodes","-310286","21.000000","48.070539","Default Known Flow Node","Known Flow","573702.650000","123613.432812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703519","Nodes","-507933","21.000000","47.929403","DDS demands","Known Flow","573704.275000","123637.800000","","0.000000","","","-6.300000","","-5.633573","-6.300000","","","","","D1 PROFILE",""
"96120509703406","Nodes","9703406","21.000000","48.183849","DDS demands","Known Flow","573704.400000","123566.182812","","0.000000","","","-8.810000","","-7.878060","-8.810000","","","","","D1 PROFILE",""
"96120509703487","Nodes","-310293","21.000000","49.104476","Default Known Flow Node","Known Flow","573771.525000","123634.182812","","0.000000","","","","","0.000000","0.000000","","","","","",""
"96120509703404","Nodes","9703404","21.000000","48.588669","DDS demands","Known Flow","573794.275000","123710.182812","","0.000000","","","-5.780000","","-5.168579","-5.780000","","","","","D1 PROFILE",""
