"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96108905506027","Nodes","","21.000000","35.852687","Default Known Flow Node","Known Flow","613899.173509","159776.218042","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102436","Nodes","","21.000000","33.078019","Default Known Flow Node","Known Flow","614344.000000","160187.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900001405","Nodes","","21.000000","30.997648","DDS demands","Known Flow","614245.562500","160413.000000","","0.000000","","","","","-9.439999","","","-8.441416","-9.439999","","","","","","","D1 PROFILE","",""
"96108905506121","Nodes","","21.000000","28.106829","DDS demands","Known Flow","614114.000000","160754.750000","","0.000000","","","","-4.990000","-0.699999","","","-5.088099","-5.689999","","","","","","C4 PROFILE","D1 PROFILE","",""
"96108900001406","Nodes","","21.000000","27.201920","DDS demands","Known Flow","614053.812500","160886.500000","","0.000000","","","","","-11.170000","","","-9.988414","-11.170000","","","","","","","D1 PROFILE","",""
"96108905506079","Nodes","","21.000000","27.147889","DDS demands","Known Flow","614053.375000","160897.250000","","0.000000","","","","","-23.780001","","","-21.264503","-23.780001","","","","","","","D1 PROFILE","",""
"96108905506077","Nodes","","21.000000","26.602302","DDS demands","Known Flow","614101.625000","161321.500000","","0.000000","-6.000000","","","","-7.750000","","","-12.295496","-13.750000","","","C1 PROFILE","","","","D1 PROFILE","",""
"96108900001407","Nodes","","21.000000","26.557830","Default Known Flow Node","Known Flow","614126.125000","161424.562500","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506216","Nodes","","21.000000","26.557723","DDS demands","Known Flow","614136.500000","161442.000000","","0.000000","","","","","-1.529999","","","-1.368153","-1.529999","","","","","","","D1 PROFILE","",""
"96108900001403","Nodes","","21.000000","35.025705","Default Known Flow Node","Known Flow","613905.250000","159839.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506031","Nodes","","21.000000","34.880159","DDS demands","Known Flow","613906.250000","159849.750000","","0.000000","","","","","-1.150000","","","-1.028350","-1.150000","","","","","","","D1 PROFILE","",""
"96108905506078","Nodes","","21.000000","26.732411","DDS demands","Known Flow","614067.250000","161025.000000","","0.000000","","","","","-29.509999","","","-26.388369","-29.509999","","","","","","","D1 PROFILE","",""
"96108905506016","Nodes","","21.000000","27.105211","DDS demands","Known Flow","613977.125000","160830.750000","","0.000000","","","","","-11.279999","","","-10.086777","-11.279999","","","","","","","D1 PROFILE","",""
"96108905506028","Nodes","","21.000000","26.777027","Default Known Flow Node","Known Flow","613951.375000","160869.593750","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108905506163","Nodes","","21.000000","26.359018","DDS demands","Known Flow","613912.750000","160936.500000","","0.000000","","","","","-3.450000","","","-3.085051","-3.450000","","","","","","","D1 PROFILE","",""
"96108905506095","Nodes","","21.000000","32.859251","Default Known Flow Node","Known Flow","613747.250000","159941.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96108900102317","Nodes","","21.000000","32.859251","Default Known Flow Node","Known Flow","613744.750000","159932.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
