"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64402900000218","Nodes","218",21.000000,24.325501,"DDS demands","Known Flow",280977.592612,680879.587483,,0.000000,,,,-3.260000,,,,,-2.915150,-3.260000,,"",,,,"D1 PROFILE",,,,
"64402900003101","Nodes","-593747",21.000000,24.325501,"Default Known Flow Node","Known Flow",280975.592612,680887.587485,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000216","Nodes","216",21.000000,24.286020,"DDS demands","Known Flow",280953.967606,680872.462481,,0.000000,,,,-7.699999,,,,,-6.885477,-7.699999,,"",,,,"D1 PROFILE",,,,
"64402900003102","Nodes","-593749",21.000000,24.374369,"Default Known Flow Node","Known Flow",280951.592605,680880.462483,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003103","Nodes","-593750",21.000000,24.286020,"Default Known Flow Node","Known Flow",280944.467603,680869.587480,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000220","Nodes","220",21.000000,24.394914,"DDS demands","Known Flow",280868.217582,680776.212455,,0.000000,,,,-9.149999,,,,,-8.182093,-9.149999,,"",,,,"D1 PROFILE",,,,
"64402900003017","Nodes","-263258",21.000000,24.453869,"Default Known Flow Node","Known Flow",280871.467583,680778.212455,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000532","Nodes","532",21.000000,22.926052,"DDS demands","Known Flow",280961.342608,680716.837439,,0.000000,,,,-12.010000,,,,,-10.739556,-12.010000,,"",,,,"D1 PROFILE",,,,
"64402900000165","Nodes","165",21.000000,24.257915,"DDS demands","Known Flow",280965.342609,680736.712444,,0.000000,,,,-4.790000,,,,,-4.283303,-4.790000,,"",,,,"D1 PROFILE",,,,
"64402900000515","Nodes","515",21.000000,22.045358,"DDS demands","Known Flow",280884.092587,680678.712428,,0.000000,,,,-12.350000,,,,,-11.043591,-12.350000,,"",,,,"D1 PROFILE",,,,
