"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64403000003054","Nodes","-510","21.000000","27.475286","Default Known Flow Node","Known Flow","282005.075305","667992.815460","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003056","Nodes","-514","21.000000","24.621746","Default Known Flow Node","Known Flow","282580.545035","668003.921648","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000357","Nodes","357","21.000000","35.300900","DDS demands","Known Flow","282068.861999","667665.025276","","0.000000","","","","-12.859999","","","","","","","-11.499641","-12.859999","","","","","","","D1 PROFILE","","","","","","",""
"64403000001012","Nodes","","21.000000","35.725117","Default Known Flow Node","Known Flow","282070.673016","667659.683690","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000439","Nodes","439","21.000000","28.887189","DDS demands","Known Flow","279080.375000","666876.000000","","0.000000","","","","-8.579999","","","","","","","-7.672389","-8.579999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000438","Nodes","438","21.000000","29.129068","DDS demands","Known Flow","279136.625000","666917.500000","","0.000000","","","","-12.210000","","","","","","","-10.918401","-12.210000","","","","","","","D1 PROFILE","","","","","","",""
"64403000000471","Nodes","471","21.000000","29.298235","DDS demands","Known Flow","279168.000000","666760.375000","","0.000000","","","","-11.709999","","","","","","","-10.471291","-11.709999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000463","Nodes","463","21.000000","29.733127","DDS demands","Known Flow","279225.250000","666780.125000","","0.000000","","","","-5.630000","","","","","","","-5.034446","-5.630000","","","","","","","D1 PROFILE","","","","","","",""
"64403000002941","Nodes","2941","21.000000","24.945140","DDS demands","Known Flow","279029.625000","666904.750000","","0.000000","","","","-3.599999","","","","","","","-3.219184","-3.599999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000426","Nodes","426","21.000000","27.072725","DDS demands","Known Flow","279062.375000","666928.625000","","0.000000","","","","-11.589999","","","","","","","-10.363985","-11.589999","","","","","","","D1 PROFILE","","","","","","",""
"64403000002979","Nodes","-25","21.000000","35.708715","DDS demands","Known Flow","279303.875000","666638.875000","","0.000000","","","","-5.099999","","","","","","","-4.560511","-5.099999","","","","","","","D1 PROFILE","","","","","","",""
"64403000003067","Nodes","-54","21.000000","35.659458","Default Known Flow Node","Known Flow","279275.375000","666701.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002808","Nodes","-1462476","21.000000","30.327122","Default Known Flow Node","Known Flow","279329.500000","666856.125000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000449","Nodes","449","21.000000","30.327122","DDS demands","Known Flow","279332.625000","666856.750000","","0.000000","","","","-13.480000","","","","","","","-12.054057","-13.480000","","","","","","","D1 PROFILE","","","","","","",""
"64403000002851","Nodes","-1462570","21.000000","35.675966","Default Known Flow Node","Known Flow","279438.250000","666743.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003073","Nodes","-55","21.000000","35.587601","Default Known Flow Node","Known Flow","279455.342658","666706.506930","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000038","Nodes","38","21.000000","26.644532","DDS demands","Known Flow","279021.125000","666930.875000","","0.000000","","","","-17.580000","","","","","","","-15.720351","-17.580000","","","","","","","D1 PROFILE","","","","","","",""
"64403000000425","Nodes","425","21.000000","27.808579","DDS demands","Known Flow","279124.750000","666974.500000","","0.000000","","","","-11.209999","","","","","","","-10.024182","-11.209999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000423","Nodes","423","21.000000","27.740520","Default Known Flow Node","Known Flow","279114.500000","666988.375000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000437","Nodes","437","21.000000","29.441060","DDS demands","Known Flow","279225.223763","666989.194873","","0.000000","","","","-9.999999","","","","","","","-8.942178","-9.999999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000440","Nodes","440","21.000000","29.557111","DDS demands","Known Flow","279250.217853","666955.198401","","0.000000","","","","-11.449999","","","","","","","-10.238795","-11.449999","","","","","","","D1 PROFILE","","","","","","",""
"64403000002798","Nodes","-129","21.000000","30.119090","Default Known Flow Node","Known Flow","279306.204811","666875.446056","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002793","Nodes","-124","21.000000","30.315186","Default Known Flow Node","Known Flow","279364.000000","666868.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000448","Nodes","448","21.000000","30.344481","DDS demands","Known Flow","279323.216686","666851.198488","","0.000000","","","","-3.459999","","","","","","","-3.093993","-3.459999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000460","Nodes","MAIN STREET CSEP, P07111730, 24.0 scmh","24.000000","34.867058","CSEP DDS Matched","Known Flow","279562.846910","666763.218553","","0.000000","","","","","-22.200000","","","","","","-19.851637","-22.200000","","","","","","","","DC PROFILE","","","","","",""
"64403000000450","Nodes","450","21.000000","30.559969","DDS demands","Known Flow","279339.871011","666827.487245","","0.000000","","","","-9.239999","","","","","","","-8.262573","-9.239999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000497","Nodes","497","21.000000","30.435638","Default Known Flow Node","Known Flow","279326.839237","666837.762117","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000461","Nodes","461","21.000000","30.299277","DDS demands","Known Flow","279297.125000","666825.125000","","0.000000","","","","-4.159999","","","","","","","-3.719946","-4.159999","","","","","","","D1 PROFILE","","","","","","",""
"64403000002783","Nodes","-108","21.000000","30.299277","Default Known Flow Node","Known Flow","279291.625000","666834.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002782","Nodes","-104","21.000000","31.098937","Default Known Flow Node","Known Flow","279347.605393","666816.572546","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000462","Nodes","462","21.000000","30.114857","DDS demands","Known Flow","279252.500000","666801.875000","","0.000000","","","","-16.479999","","","","","","","-14.736710","-16.479999","","","","","","","D1 PROFILE","","","","","","",""
"64403000003104","Nodes","-98","21.000000","30.114857","Default Known Flow Node","Known Flow","279248.625000","666808.625000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000466","Nodes","466","21.000000","29.684163","Default Known Flow Node","Known Flow","279234.750000","666764.125000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002848","Nodes","-1462561","21.000000","29.298235","Default Known Flow Node","Known Flow","279157.125000","666744.625000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002875","Nodes","-1462609","21.000000","29.253572","Default Known Flow Node","Known Flow","279155.250000","666787.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002809","Nodes","-1462481","21.000000","29.298235","Default Known Flow Node","Known Flow","279131.500000","666772.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000464","Nodes","464","21.000000","29.558307","DDS demands","Known Flow","279247.750000","666742.750000","","0.000000","","","","-8.189999","","","","","","","-7.323644","-8.189999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000472","Nodes","472","21.000000","29.558307","Default Known Flow Node","Known Flow","279192.125000","666732.500000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000465","Nodes","465","21.000000","29.496012","DDS demands","Known Flow","279258.625000","666725.500000","","0.000000","","","","-5.150000","","","","","","","-4.605222","-5.150000","","","","","","","D1 PROFILE","","","","","","",""
"64403000000469","Nodes","469","21.000000","29.434222","Default Known Flow Node","Known Flow","279267.250000","666730.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003099","Nodes","-66","21.000000","29.414276","Default Known Flow Node","Known Flow","279270.000000","666732.500000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002835","Nodes","-1462533","21.000000","29.434222","Default Known Flow Node","Known Flow","279280.250000","666710.250000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003051","Nodes","-50","21.000000","29.327494","Default Known Flow Node","Known Flow","279215.412820","666693.871554","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000468","Nodes","468","21.000000","29.247952","DDS demands","Known Flow","279199.375000","666646.250000","","0.000000","","","","-4.010000","","","","","","","-3.585814","-4.010000","","","","","","","D1 PROFILE","","","","","","",""
"64403000000064","Nodes","64","21.000000","35.592480","DDS demands","Known Flow","279237.000000","666671.750000","","0.000000","","-33.749999","","","","","","","","","-30.179854","-33.749999","","","","","C2 PROFILE","","","","","","","","",""
"64403000003011","Nodes","-38","21.000000","35.592480","Default Known Flow Node","Known Flow","279239.000000","666670.375000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000495","Nodes","495 (C4, -2.550)","21.000000","35.853496","DDS demands","Known Flow","279400.875000","666690.250000","","0.000000","","","-2.549999","-18.290000","","","","","","","-18.635502","-20.839999","","","","","","C4 PROFILE","D1 PROFILE","","","","","","",""
"64403000002880","Nodes","-1462618","21.000000","35.853496","Default Known Flow Node","Known Flow","279402.745971","666691.460093","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000494","Nodes","494","21.000000","35.881199","Default Known Flow Node","Known Flow","279408.125000","666692.000000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000493","Nodes","493","21.000000","35.887327","Default Known Flow Node","Known Flow","279416.500000","666692.250000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000080","Nodes","80 (C1, -3.970)","21.000000","35.838661","DDS demands","Known Flow","279420.250000","666687.750000","","0.000000","-3.970000","","","-24.329999","","","","","","","-25.306366","-28.300001","","","","C1 PROFILE","","","D1 PROFILE","","","","","","",""
"64403000000069","Nodes","69","21.000000","30.248754","DDS demands","Known Flow","279421.350000","666890.927219","","0.000000","","","","-14.979999","","","","","","","-13.395383","-14.979999","","","","","","","D1 PROFILE","","","","","","",""
"64403000002795","Nodes","-126","21.000000","30.254265","Default Known Flow Node","Known Flow","279428.000000","666871.375000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002806","Nodes","-142","21.000000","30.200698","Default Known Flow Node","Known Flow","279436.278707","666896.835844","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000071","Nodes","71","21.000000","30.265336","DDS demands","Known Flow","279459.375000","666845.250000","","0.000000","","","","-11.719999","","","","","","","-10.480234","-11.719999","","","","","","","D1 PROFILE","","","","","","",""
"64403000000072","Nodes","72","21.000000","30.302027","DDS demands","Known Flow","279445.125000","666812.000000","","0.000000","","","","-4.940000","","","","","","","-4.417436","-4.940000","","","","","","","D1 PROFILE","","","","","","",""
"64403000003103","Nodes","-96","21.000000","30.302027","Default Known Flow Node","Known Flow","279428.250000","666806.875000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000427","Nodes","MEADOWHEAD ROAD CSEP, P08118247, -33.05 scmh","22.999998","23.298766","CSEP DDS Matched","Known Flow","279042.125000","666872.375000","","0.000000","","","","","-33.050000","","","","","","-29.553901","-33.050000","","","","","","","","DC PROFILE","","","","","",""
"64403000002815","Nodes","-1462492","21.000000","29.327494","Default Known Flow Node","Known Flow","279210.091507","666690.605369","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003010","Nodes","-37","21.000000","35.592480","Default Known Flow Node","Known Flow","279240.875000","666668.875000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002869","Nodes","-1462603","21.000000","30.114857","Default Known Flow Node","Known Flow","279237.875000","666835.000000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002817","Nodes","-1462495","21.000000","30.114857","Default Known Flow Node","Known Flow","279229.375000","666797.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000470","Nodes","470","21.000000","28.951231","DDS demands","Known Flow","279340.375000","666754.750000","","0.000000","","","","-10.859999","","","","","","","-9.711205","-10.859999","","","","","","","D1 PROFILE","","","","","","",""
"64403000002841","Nodes","-1462550","21.000000","30.299277","Default Known Flow Node","Known Flow","279303.500000","666841.750000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002925","Nodes","-1462702","21.000000","30.299277","Default Known Flow Node","Known Flow","279282.250000","666828.875000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000002800","Nodes","-133","21.000000","30.163681","Default Known Flow Node","Known Flow","279333.250396","666882.941279","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
