"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"644046-308267","Nodes","-308267",21.000000,32.703454,"Default Known Flow Node","Known Flow",276758.250000,662775.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600000916","Nodes","916",21.000000,32.546392,"DDS demands","Known Flow",276759.000000,662835.750000,,0.000000,,,,-6.040000,,,,,-5.401076,-6.040000,,"",,,,"D1 PROFILE",,,,
"644046-308291","Nodes","-308291",21.000000,32.838097,"Default Known Flow Node","Known Flow",276787.000000,662739.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308299","Nodes","-308299",21.000000,31.823060,"Default Known Flow Node","Known Flow",276796.750000,662962.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308288","Nodes","-308288",21.000000,32.959942,"Default Known Flow Node","Known Flow",276785.500000,662637.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308296","Nodes","-308296",21.000000,32.778783,"Default Known Flow Node","Known Flow",276791.250000,662599.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308323","Nodes","-308323",21.000000,32.774092,"Default Known Flow Node","Known Flow",276818.000000,662720.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308304","Nodes","-308304",21.000000,32.832021,"Default Known Flow Node","Known Flow",276801.000000,662656.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308307","Nodes","-308307",21.000000,31.268899,"Default Known Flow Node","Known Flow",276805.750000,662912.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308297","Nodes","-308297",21.000000,31.268899,"Default Known Flow Node","Known Flow",276792.625000,662920.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308305","Nodes","-308305",21.000000,31.754154,"Default Known Flow Node","Known Flow",276802.625000,662807.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
