"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-PL)"
"64306000000266","Nodes",,21.000000,24.950947,"Default Known Flow Node","Known Flow",312681.640239,672479.459197,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000312","Nodes",,21.000000,29.848109,"Default Known Flow Node","Known Flow",313431.651443,672422.156182,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000313","Nodes",,21.000000,29.555200,"DDS demands","Known Flow",313488.145442,672402.190074,,0.000000,,,,,-1.019999,,-0.912102,-1.019999,,"",,,,,"D1 PROFILE",
"64306000000314","Nodes",,21.000000,29.555200,"Default Known Flow Node","Known Flow",313486.510458,672421.552182,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000343","Nodes",,21.000000,23.822826,"Default Known Flow Node","Known Flow",314587.892139,672749.686652,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000344","Nodes",,21.000000,23.822826,"Default Known Flow Node","Known Flow",314593.516080,672744.567570,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000347","Nodes",,21.000000,23.822826,"Default Known Flow Node","Known Flow",314594.651125,672744.962905,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000345","Nodes",,21.000000,23.822826,"Default Known Flow Node","Known Flow",314593.079759,672743.141269,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000348","Nodes",,21.000000,23.866739,"Default Known Flow Node","Known Flow",314632.767770,672722.793264,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000001","Nodes","NEWBRIDGE DG, Tel, Site ID 5985",21.000000,28.000000,"Default Known Pressure Node","Known Pressure",312250.980000,672816.210000,,999998.967025,,,,,,,189.699394,212.139999,,"",,,,,,
